ratings,rev_head,revs
3.0,Not bad for the price,"It is not bad for the price. It runs fine enough, but keep in mind that the storage capacity is low so do not plan to download lots of files, apps, or games, and it is passavly cooled so it will get hot really quick. The usb type C port is great with all of the things that you can do with it, and so far all of the functions of the computer and Windows 10 Home work as exspected. It is great for light use, but if you plan to run a couple or more programs at once or do other multitasking then I would reconmend looking at other options. It does NOT support a SIM or eSIM.  I hope this helps."
4.0,Perfect for traveling and school!,"So to start this off, I'm a gamer. I have a gaming laptop, but it feels like it weighs about ten pounds, and its a massive piece of tech. It has to be so it can hold all of the necessary hardware."
5.0,Excellent basic laptop,So i decided to check this laptop out because my small laptop being the dell 11.6 inspiron with the 9220e was a little lackluster and I wanted to see if it was worth upgrading. Im going to be mostly comparing this laptop to that one since they are in the same price range and are only a few months apart in release date.
2.0,32gb of storage is just not enough for a Windows machine,"I love Asus.  I've had three other Asus laptops.  I needed a small Windows laptop for use with the nonprofit I volunteer for -- I need to connect a mobile printer via USB, which you can't do on a Chromebook (at least with our printer).  For that purpose, it will work fine.  I didn't install anything on it except Chrome, a few extensions, and Adobe Reader.  I deleted as much as I could of the preinstalled files/programs."
5.0,Scary,"Great little laptop. Boots up fast, does what it's supposed to.  Had a black screen my first day and almost sent it back. Went into my bios and made some changes and no more black screen, so I'm happy."
1.0,Hostage to Microsoft!,"Bought this simply to do school work at home. Problem is our school system works on Google and this software would not let me download Chrome because ""Windows 10 is now the fastest."" Spent an hour getting help from Amazon support to try to download Chrome; finally, they connected me to the manufacturer. Asus's response: we can not alter the setup, so in short I was stuck with something I could not download Google on."
5.0,Highly recommend,"I did not buy this from Amazon, but direct from BestBuy; however, it is a great notebook computer.  Mine came with Windows 10S, which is the cloud-based Windows 10, meaning you can only load apps from the Windows Store.  But you have the option to switch to Windows 10 Home for free.  Just be sure to run Windows Update before doing so to get the latest download.  Then you can load anything you want on this little bugger.  I added a 128GB microSD card and load apps there--leave the 32G internal storage for the Windows 10 operating system, which takes up ~10GB."
5.0,Great,I got this so I could do school work. Honestly for $200 it is a good computer!
5.0,Does what it does very well for its size,"I bought this as a second (portable) laptop for limited application at work. I really like the weight and ease of use. Touch screens are wonderful when they work as well as this one. I wish it was a few inches bigger, as my senior eyes don't see details like they did. But that's my problem, not the laptop's. I would recommend this to anyone who has basic computing needs and wants a lightweight computer to travel with ease."
5.0,"QUALITY PRODUCT, JUST LOVE IT!","just a little user-adaptability learning curve... but, overall, SWEET. petite, yet, great screen viewing, silent, LONG BATTERY CHARGE!! STREAM FOR HOURS... recommend! why? because it's like a silent partner that is extremely portable and lightweight. lightning speed."
5.0,Minimal task.,I needed this just for minor school and business also this is great for anyone who just using it for minimal task work dont expect this to play modern games but i did test it for emulators work frekin great.
2.0,"Decent Linux machine, trackpad & Bluetooth don't work well","This computer comes with Windows 10 S, which I cannot recommend using. I believe Windows requires too much drive space and processing power to work well on a laptop like this one. I ran Windows for a day just to see how it would work, but I installed Elementary OS (Linux, Ubuntu) instead and it works great. Firefox runs well enough for everything I do on the web, and some graphics software like Inkscape and Blender work surprisingly well. Performance-wise it's a great computer for the price!"
4.0,"Beware !! Great computer, but the operating system....","I love Asus. My all-day every day computer is a 17 inch Asus laptop. Looking for a tiny, very light weight  computer for myself and my husband for travel, found this 11.7"", 2.2 # computer. Compared all the small, light-weight computers. Realized we DID NOT want Windows 10 S. This computer was advertised as Win 10.  Discovered this computer has Win10 S. What that means is you CANNOT download any program not from the the Microsoft Store.  We had to have our IT guy come in to fix the problem. It is fixable, but a pain. Now we are operating Win 10, so it is now acting like a normal computer.  I can't rate the battery life yet, but it seems to be excellent.  My 17"" Asus has very good battery life."
