ratings,rev_head,revs
5.0,"This is a typewriter with internet, and that's why I love it","I work and play mainly from a desktop, but I wanted something cheap and portable that I can use when I need a change of scenery. I was looking for three things in a laptop: 1) small footprint, 2) looooong battery life, and 3) low cost. Basically, I needed a typewriter with internet, and I didn't want to invest too much money or time into it. This machine checks all three of my boxes. It's itty bitty and very lightweight, and so far I haven't been able to drain the battery in a single day of on and off use. I also purchased this during a Deal of the Day promotion for $179, which is a great price for a PC with these specs. I don't know if I would pay full price for this, which is around $230 at the time of posting. If I'm going to spend that much, I might as well increase my budget slightly and get something with a few more bells and whistles, like a convertible hinge or a touch screen."
5.0,Excellent Linux Laptop!,"The mother of all motherboard makers, Asus again teams with Intel to create yet another awesome, small but full-function laptop. On day 1 I plugged in the power, then my "
1.0,HDMI port died after two months.,"This notebook is not of a great quality. The HDMI port died after two months. I spoke to ASUS tech support, they issued RMA number and I sent the notebook to ASUS with Windows 10 Pro operating system as I upgraded it from Windows S mode. I got back my notebook after two weeks. They had to replace the motherboard. However, it came back with ""Windows 10 Home Single Language"" installed on it. They downgraded my operating system. I was extremely unhappy. I spoke to ASUS tech support and complained, they issued me another RMA number and I had to send the notebook right back to them for correct operating system. Now, I'm out of my notebook for almost a month now. I'm still waiting for my computer to get back. I'll post the progress when I get the notebook back the second time."
5.0,Great basic PC laptop,"I purchased this PC laptop for school. I didn't want to spend too much, but I needed it to have Windows 10 and the ability to house/run Office 365. I was far more interested in the technical specs, I hadn't paid much attention to the dimensions. It is pretty small (see photos for reference), but other than the occasional need to divide my screen view between 2 programs, I actually like the size. It will be easy to bring along when traveling and it is extremely lightweight. This order arrived to me in winter, so I let the computer sit and come up to temperature before attempting to run it. Windows Cortana prompts you through all of the setup. It connected to my WiFi without any problems. I happen to prefer Chrome as a browser, but Microsoft Edge is the default for Windows 10 S. I was able to upgrade to Windows 10 Pro for free and download Chrome as my default. I had no issues executing this & once again Cortana prompted me throughout the process. I was able to install Office 365 without issues. The battery life seems great - a fully charged battery will get you roughly 10 hours of use, depending on how you're using it. It seems to charge really fast as well, which is another nice perk. I have had no problems completing my coursework using this laptop. It seems like a really big bang for very little buck. I would highly recommend it for students, commuters or the general population who mainly will utilize for surfing the web. Obviously internet speed will play a role in video performance, but the visual quality of the screen is great for streaming. The built-in speakers are perfectly adequate for general notification sounds, listening to music or videos. I like that it has a USB port on either side and also offers the mini-SD card reader, HDMI and mini-USB ports. It has a decent amount of capabilities for such a relatively small and extremely inexpensive computer. Given the Intel processor, on-board storage and ram, I find this to be a cut above its Chromebook counterparts which can limit your capabilities being an app-based operating system. I ranked the material quality slightly lower among the features, purely because it is SO lightweight. I don't know how durable this plastic housing will prove to be in comparison to many of the laptops with a metal shell. I don't see it being a problem for me, but I wouldn't recommend this for use of small children."
1.0,Failed after eight months.,"April 20, 2019 update:  Well, you can see my earlier, glowing report below.  But now eight months later, the screen went black while using, can't reboot.  %^&*."
5.0,what's wrong with it,"I would like to ask the people who give this computer a bad review: what's wrong with it?  This is one of the nicest computers that I have ever owned.  Not because it is a workhorse computer--because it isn't.  But because it works perfectly for what it was designed to do.  It is super light; it is small; it is very fast; it has a battery that lasts all day; and it never fails to perform the functions that it was designed for.  It does a fantastic job for the price.  Of course you are not going to do any heavy gaming or video editing on this computer.  If that is what you want a computer to do then you have to spend big money.  But if you want a computer that does the basic functions, like web browsing or using Microsoft office, then this would be the computer for you.  There is no such thing as a company that doesn't produce a lemon on occasion, and if you are one of the unlucky people who happen to buy a lemon, then, of course, buy all means, return it.  However, after using the replacement for awhile you will find that this computer is really perfect for what you want to do.  I see so many bad reviews that end by saying ""I am going to return this computer.""  Really!  maybe you should have returned it and received a replacement and then used it for awhile before you gave it a bad review.  If, by chance, you did receive another lemon--which is highly unlikely--then, and only then, would you be justified in giving it a bad rating.  All-in-all, my personal opinion is simply this: this computer far exceeds the purpose for which it was designed.  I have had not problems with it whatsoever.  It is faster than I thought it would be.  It runs cooler than I thought it would.  The screen is brighter than I imagined it would be.  The sound is louder and more clear than I expected.  The track pad works smoother than I anticipated.  And, last-but-not-least, the keypad is very responsive.  I have not been disappointed in this computer, and for the price, I don't think you will be either."
5.0,Linux Perspective,"I bought this specifically for Linux Mint. I was surprised fast boot was enabled by default. This made setting the boot order or any Firmware settings impossible without starting Windows. I used advanced startup in Windows to make it boot to the Bios. I disabled fast boot and secure boot , then saved and restarted. Now the F2 key worked to enter the Bios. Then a restart and tapping the ESC key provided a boot menu. The Mint 19.1 installer live provided my wireless network. I did a custom install using Btrfs with no swap (4GB memory is plenty for what I use.) Everything went well. When I booted to the freshly installed system, everything looked okay. At this point I decided to update the firmware in the Bios. I had downloaded the file from Asus using the model E203MA version 304. The Bios flash did not complete. It informed me it was the wrong one. After much digging, including a support call to Asus, I was ready to give up. On a whim, I tried the Bios flash for a E203MAS version 202 and it worked. The Asus tech had assured me this laptop was an E203MS.  So 'm guessing these are either E203MAS  or E203MA. The laptop says model: E203M on the back. It is a very confusing way they have their models identified. Anyway, Everything on this laptop is real nice. The location of the power button (and indicator light) the responsiveness of the whole system, and the build quality. Neither Mint nor Windows show the hyper threading is active. I tried several system monitors with both OS and no certainty. It may be active or not. I have read that due to security recently, hyper threading has been disabled on some mobos. At any rate, the machine is very responsive. It's not easy to find a laptop that runs Linux these days. I've returned 2 others from Wally World that would not, or had issues like wireless cards that I could not find drivers for. On these Windows 10  Pro can be clean installed. Just download a copy of the Oct version of Windows 10 and use the Media Creation Tool -  select USB with an 8GB - to 32GB flash drive attached. It will create a FAT32 installer. It must be FAT32 or it won't show up in the boot menu. (tap ESC key after pressing power button) Some PCs will detect a GPT table flash drive with NTFS - not these Vivo. Boot to it,  Erase the drive and install. It won't ask for a license key or version of Windows you want (auto-detects.) Once installed  and connected to the internet it will activate your fresh copy of Pro. Before doing this make sure you have previously booted the factory install of Windows 10 s. I did this after having Linux on it just to test. I put it back to Linux when done."
5.0,Excellent Value Ultra portable,"at $169 this was an excellent value ultra portable. intel N4100 isn't the fastest processor but it will handle anything you throw at it with exception to intensive games and maybe some advanced processor-intensive software. upgrade to windows 10 pro for free, and re-install a fresh copy of windows without the asus bloat and this thing is snappy. expect to get about 6 hrs of medium use, and over 10 for light use like just web browsing, email, etc."
4.0,Great Travel Laptop For The Price!,"This is, what I consider to be, an ideal Travel Laptop.  It is certainly light weight and has everything you need for online activities.  Yes, it has only 64gb of storage, but that is enough to handle the Windows 10 pro operating system (easily installed from your free Microsoft Account) as well as office applications.  If you want more storage, you can use a micro SD card and/or a flash USB drive.  The ports are adequate (HDMI, USB, MICRO-C, etc.).  The display is easy enough to read (which is what I want most), and I have found no issues with WI-FI or Bluetooth connections to any device.  If you want lots of built-in storage and power to do multi-tasking and play intense games, then this laptop is not for you.  But if you just want to connect to online services, surf the web, run basic office applications, and travel light, then you cannot beat the features for the price!"
5.0,GOODBYE CHROMEBOOKS,OK! this laptop (if it already hasnt) will cause a wave of other laptop manufacturers to create budget laptops just like this one.
5.0,A 2019 Netbook,"I don't like to write immediate reviews on any of my Amazon purchases because first impressions can easily change with some experience, but I've now had three weeks to use the ASUS E203MA, and I am very satisfied with this purchase.  The battery life has remained good, and there's little doubt that I can get between 9-10 hours of life with normal use and the screen brightness reduced from the highest level. Under those conditions, I've used the computer for just about 8 hours and the battery still has about 22% left on it. The battery meter does give some screwy readings occasionally regarding the length of time the battery will continue to run; for instance, with the percentage remaining at 50%, swinging from a little over ten hours to less than three hours in a manner of a few minutes so I've measured battery life by monitoring the cumulative amount of time I've run it."
3.0,A little disappointing,"I must say that I was a little disappointed by this laptop. Yeah, I know its never going to read any speed contests, but I had a E200HA for over a year so I felt like I knew what I was getting with this laptop. Unfortunately there were a few things that disappointed, the biggest of which was the smallest change: the lack of perceived performance improvement from the E200HA model."
5.0,ASUS finally got it right,"I have multiple ASUS laptops (x205ta, e200ha, ux305la). Their laptops tend to be the most portable among the peers, but some fatal flaws keep them from being great."
2.0,Can't beat it for the price,Update 2 months after purchase:
1.0,Got black screen in less than 2 weeks,"After 11 days of purchased, all I get is a black screen.  Had to return it!!"
