ratings,rev_head,revs
5.0,"Excellent value for a $249 laptop, compares nicely to HP Stream 14", Video review posting soon!
4.0,A very solid laptop for the price.,"This laptop is a great buy that fits nicely between ""cheap"" and ""too cheap"". You're obviously not going to be playing graphics intensive games on this. That's not what it's for. If you're looking for a solid internet/email/office apps laptop that is light weight, has decent battery life, is surprisingly speedy, and is cheap, this is it."
5.0,Great little computer for the price!!,"I haven't owned a new laptop since I bought my Asus 6 years ago. I am comparing this little gem with that monster. This is smaller and lighter. The battery life so far much surpasses what I was used to. This Acer has a much more user-friendly keypad and touchpad, and the display and sound are much improved as well. The internet speed is faster and the response to new tasks is quick. The set-up was pretty easy. Nice to have Office included for the first year, therefore saving $60+ out of the gate. I was used to Windows 10 and the s mode does not seem to be a problem as I just use Edge to access what I need without downloading the apps, ie google photos, etc. I did not need anything with bells and whistles and therefore did not want to spend a lot of money - just something better for word processing, social media, emailing, etc. That is exactly what I found."
1.0,NEVER AGAIN - JUST 60GB STORAGE and HORRIBLE technical support.,"This laptop only has 60GB of storage. That is awfully low. Keep that in mind b-4 buying. Also keep in mind that Acer tech support is HORRIBLE. I could not plug my HDMI cable into my Acer laptop HDMI port.  I had received a document from Amazon with a phone number for 24/7 Acer tech support exclusive for Amazon customers. I called five times. Three times I was disconnected. One time, the incompetent Acer rep told me my laptop had no HDMI connected. When I read to her the specs, she hung up. The next Acer rep told me to send in the computer (brand new) for repair."
5.0,This is why it’s good,"For around $250, this thing is worth it. I’m running an el gato game capture card on it that’s recording gameplay, I have multiple tabs open, playing music on YouTube from one of them, and I’m downloading mp4 from the game capture all at once. It’s not slowing down or lagging at all right now. I approve."
4.0,Very Basic student laptop with eMMC chip and only 40GB free storage,"If you are in the market for a laptop for basic surfing and email needs (which most phones can do), or for mostly word processing, then this device may be a good option for you. Anything beyond that may end with you quickly running into issues with storage space and speed."
2.0,"Still waiting a week later,fail on next day delivery. Good laptop","One week after ordering, the laptop still isn't here.  I'd selected next day delivery because it was important I receive the laptop ASAP.  After calling Amazon they did give me a $10 credit, which is the only reason this doesn't get one star.  It wasn't until the 3rd call several days later that I got a shipment date.  This WAS a good deal, but the delay and loss in productivity cost me much more than $10.  If you NEED something fast, get it at a real store, don't rely on Amazon shipping to get it there or for Amazon to offer fair compensation for delays.  Their policy is fine for socks and stuff, but not for anything work related.  The price of $200 WAS good, if only it would finally get here."
1.0,Laptop freezing,"Hi I  got my laptop on Saturday and I set it up but now and then it freeze, is this a new computer"
5.0,MS Office One Year Include,"I love it ,Even I don't really need it any more but I decided to keep it ...Very Thin with Smooth Looking , MSOffice  One Year"
1.0,"This cheap!y made thing sucks, big time!","This thing is not used friendly!  Email does not work.  The screen is flooded with adds selling updates.  Seems like a shopping device for Microsoft software more than a computer.  I hope Acer reads this review.  The right and left click works sometimes.  My opinion of Amazon is starting to deminish.  I wanted a computer to do simple tasks.  Due to my lack of a computer engineering degree, this was not it!  I can't give this product anything more than 1 star and that is because there's no 0 box to check.  How can they get by with selling something this awful?"
5.0,Good for what it is.,"This review is for the Acer A114-32-C1YA.  64gb of storage, 4gb of RAM, Windows S."
5.0,Excellent for the price,"You get what you pay for! I think this is value for money. It’s not built like a tank, it’s plastic but if you are someone that takes care of your things, it lasts just as well. Very good screen resolution and set up is very simple. So far I’ve had no problems with it at all and it does everything I need it to do. I’m not a gaming person at all so this handles everything else very well at a fraction of the cost. I suppose it depends what you need it for. Highly recommended for a low budget computer. If I were to rate it according to those in its class - there would be five stars throughout."
