ratings,rev_head,revs
4.0,"Easy upgrade, solid performer.",I've found three real cons for this laptop:
4.0,Fast Value Laptop with Washed Out Screen,SUMMARY
3.0,Install a 128gb SSD drive and Reinstall Win 10 and you will be very happy,update 11/13/18 - still quite happy with this laptop...works well so far..
5.0,Exceeds expectations for the price,"Bought this as a gift for my dad.. he just needed something to surf the web and play videos.  I bought this along with a 256GB ADATA SSD ($55) that I immediately installed with no issues.  The panel at the back has 3 screws that need to be removed and has a notch on one side that can be used to pry it open, it requires a little pressure to pop out but not too much.  You will find a m.2 slot to pop in a SATA3 ssd.  The retaining screw is included."
4.0,Very nice value laptop,"This is a nice setup for under $400. The laptop features the Intel i3-8130U 8th generation (latest generation for 4/2018, a 2 core processor), a 1TB drive and 6gb RAM.  The battery is supposed to last for 12 hours (I tested this a bit but not a lot).  The laptop has 6gb, a read/write DVD drive, and a lot of connections and a 1920 x 1080 display."
5.0,Nice,"I’m not the most tech savvy person on earth. My old PC was starting to become unreliable, and I knew I needed to replace it before it died. I did a bit of comparison shopping on Amazon, and decided on this Acer. It has lots of space and is fast enough for me. I do not play games on this laptop, so I don’t know anything about graphics, etc. I feel I got a great laptop for the price, and it suits my simple needs."
5.0,Solid product,"Very happy-shipping was prompt & product worked out of the box.--have only had small issues w/Windows 10, after experience w/Windows7 & Chrome (wife still prefers Chrome)  Wehave found Cortana the voice Assistant to be very helpful, when neither of us thought it would matter. Screen picture quality is fine-really don't know what people expect, especially at under $400.. SOUND IS WAY BETTER THAN EXPECTED, & WE BOTH LOVE OUR MUSIC.. Everything works & is well laid out. The speed is like greased lightning, compared to our old equipment  I appreciate the ease of serviceability offer by Acer on the bottom-only 3 screws."
4.0,"Defrag and cleanup, then you have a great laptop!","This is a great laptop if you immediately run maintenance checks on it (defrag, disk cleanup) and remove a little bloatware. It is not a laptop to game with, but as a working/school laptop, you're getting a great bang for your buck. Only giving it four stars just because of the above mentioned things I did afterward, but by no means is this a horrible laptop."
1.0,S.L.O.W!,"Started out good, but became increasingly slow with updates.  I got rid of the bloat and this thing struggles to open programs and browser pages.  I want to like this, but it is irritatingly slow!"
5.0,Fantastic budget laptop In need of a simple drive upgrade,Fantastic product. This laptop is a step up from the previous product which only had the skylake 6 series. The 8th gen processor handles some really impressive things for the price. The only thing is that pesky 5400rpm hard drive. Simply buy a 2.5” ssd and a Sata to USB adapter. Plug the drive into the pc and use macrium reflect to copy the drive as soon as the computer is set up. Then pop out the old drive and insert the new ssd. It blows even my aging desktop out of the water. Even without a discreet card the graphics are impressive. It easily outputs 4K with less than 50% draw on integrated graphics. Although it might be limited for rendering and such. My biggest qualm is that the older model had a backlit keyboard that was great. I would have gladly paid 400 for this laptop if it only had that backlighting. As far as budget laptops go this acer is fantastic.
1.0,"Was great for a couple of weeks, then...","Worked great for about 2 weeks, then became very slow to load and respond. Scanned for virus, but unable to figure out why it was running so slow. Returning it for a refund."
5.0,A treasure in disguise ;-)," So far so impressive! From what everyone else was saying I didnt expect much. But it's just what I need. I was surprised to kno its run by microsoft & not google. You need a Microsoft account to setup this bad boy so if you're an xbox/outlook kind of person all the better, this pc is for you! Just like ""ok google"" ""Bixby"" & ""Alexa"". This has ""Cortona"" idk if she's a Microsoft or a windows 10 thing but she's voice activated & apart of this laptop, she's very helpful. I thought I was unable to get a lot of stuff on this device, but you can. You have to build it, it's like it comes empty so to speak aside from the preinstalled apps, you can uninstall & install the drivers & apps you like, like a media player, google play, & if u need more memory it's an option too on amazon, All hope is not lost' its cooperative & leave room for what u want to install. If ur an IT u can put it to good use & if not, it's simple for those  who aren't. I feel fortunate to have gotten this laptop at this price. You can play roblox, minecraft & probably fortnite. It also has a CD/DVD drive/burner, it holds battery life for 12hrs. Think about' your going to pay a good 800 for another. It's a steal to me!"
1.0,Hard Drive failed at 7 months,"I bought this May 15, 2018 based on reviews.  It stopped working yesterday, rather started working strangely.  Today I called for tech support only to find the warranty expired at 6 months.  The tech support person was kind and knowledgeable but did not tell me that my service expired until he found what he said was corrupted data and that he would be able to fix the data if the for a fee of $129 for a year other options for 2 and 3 years at higher rates.  I decided I wanted to get a second opinion and took it to a local computer shop who told me that the hard drive was bad. The cost of a new hard drive, reinstall the operating system, recover my data files and transfer to the new hard drive was quoted just under the total amount I paid for the computer at $379.  The hard drive going bad at 7 months, I am very disappointed and disturbed."
3.0,Good home laptop - keep expectations realistic," I loved the price for the 8th generation Intel Core i3. I didn't like that the correct Intel UHD Graphics 620 video driver was not installed. I had to go to Intel's website, download and install the right driver, which did then improve performance over the Microsoft Basic video driver."
1.0,Shuts off Randomly,I bought this for work because I dont need a lot of fancy features to email and use microsoft office.  Within a few days computer randomly cut off and I thought it was something I had done wrong.  But it has done it several more times within the last two week in the middle of while I was working.  One time it did it when I unplugged the power cord (yes it was fully charged).  I know other people feel like they have a good product here but I feel like I got what I paid for with a discount computer
4.0,"Reliable, Fast and Durable Laptop...if you make some changes and upgrades","I bought this laptop few weeks ago and am overall very happy with the purchase. However, as others have suggested, there are three things you should consider to do in order to reach this laptop's full potential:"
4.0,Very good home computer with subpar hard drive,"I bought this laptop for my sophomore who wanted one in his dorms to do his home work, mostly browsing, and MS office (or equivalent). The feature I am most impressed with is its long battery life, wow, just wow. The laptop looks good, it feels good, its light weight and relatively thin. Its keyboard is not that great, feels little flimsy and it perhaps is flimsy. Like some other reviewers have mentioned, the screen colors are not vivid and it was real pain to watch some old low resolution movies; the colors were acceptable for more recent movies though. Sound, well, thats kind of weak too but some decent quality bluetooth speakers/headphones can be connected without much hassle."
1.0,So SLOW!!!! Horrible,Absolutely horrible.... the SLOWEST computer I’ve ever had from the minute I turned it on. Takes about 10 minutes to load up and forget about searching the internet for something...it’s so SLOW!!! My 10 year old laptop filled with 5000 pictures is faster than this laptop
2.0,I expected better from Acer.,"The first day I had this Acer E5-576-392H home, I noticed the battery level was at 85% (plugged in, charging). After lunch, it was still at 85%. The next morning, it was still at 85%. I disconnected the charging cord and the computer immediately died and wouldn't turn back on under battery power."
4.0,"nice laptop, fast and does everything I want it to.","My HP and DELL had a few bells and whistles that I miss on this ACER. Other than the aforementioned, for speed, functionality and price this laptop is excellent!"
5.0,Easily upgradable including the Bios. This is NOT a Gaming Laptop!,"Very easy to upgrade to make a very fast laptop. I used Macrium Reflect Free (easy to find on the net) to clone the slow HDD to a Adata SU800 M.2 2280 256GB SSD. I replaced the 6GB Ram provided (1x4GB + 1x2GB) with 2x4GB Crucial DDR3L 1600mhz Ram sticks. There are 3 screws on the bottom to remove to access both. A piece of cake. One note; when I first started the laptop back up after replacing the Ram, it wouldn't boot up. I then swapped the old Ram back in and it booted fine. I could not find an answer for this online so I just tried swapping the new Ram back in again. It worked this time! I held down the power button until it booted. Everthing is fine now. It boots up in about 5 sec. Also, when you boot it up for the first time after cloning the HDD, it will automatically boot to the SSD. To get into Bios just press F2 and hold as soon as you see the Acer logo when booting up. There is new Firmware for the Bios at the Acer website and also fixes for the Intel chip hacks (Specter and Meltdown). You should probably do these ASAP."
1.0,P.O.S.,Very disappointed. So called high speed high power wi fi  is b.s.! Can't get online with enough speed to even update. Rubbish.
5.0,"Not for gamers or those into massive amounts of high speed surfing, but perfect for us old farts just wanting to dabble","Writing this review on this machine. I needed a machine that would allow me to work with my personal photos, music files and of coarse the internet. I don't venture into gaming so I didn't need a processor that could outrun the speed of light and I'm not a DJ or professional photographer. So this machine is much better than what I had. My only dislike is the way Microsoft tries to tell you how and what you will run on Windows10 rather than letting the user make that choice. Otherwise great battery life and fast charging. Very quick boot up and shut down. And the size to weight ratio is even better than I thought."
