ratings,rev_head,revs
5.0,"A Review from an average guy, (not a ""techy"")","I wish I could have read a review from an average person who doesn't work on computers for a living, or isn't a full time gaming nut.  So here it is:"
2.0,"5 Star Value - Only If It Works Reliably Though - Probably Not For ""Power Users""","I've had this laptop for close to a month. I'm self-employed in the IT Industry for 30 years and  know computers inside nad out.  I'm also super frugal but I am a power user (20 browser windows open, Photoshop, Video Editing, sometimes CAD) NO GAMING though but gaming machines work well for my purpose.  This is a mid-range laptop as far as gaming - if you're really into gaming you should be getting a laptop with a NVIDIA 1050 GPU and an Intel Processor with H at the end of the model instead of U.  More power, but less battery life. This unit is a great compromise between powerful CPU and GPU with good battery life.  It's a fantastic value if you are not one of the unlucky ones to run into issues.  I wasn't so lucky and am returning it."
5.0,Substance Over Style,"I received this laptop promptly.  I was beating myself up with all the choices.  What I finally decided was that this one was really my only option.  I wanted all the features this offers.  Great battery life, a matte screen (non-glossy) full HD, an SSD vs the HDD drive, and a backlit keyboard.  This laptop as mentioned by others will not win any style points.  It will however win with substance. It still is nice looking with a textured cover and being black overall.  But that is not what this one is about.  Its about what is inside of this amazing product.  It took me about an hour to get all the updates to get it current.  It boots up in 10 seconds and shuts down in 2 to 3 seconds. The screen quality is excellent, and I am fussy due to my interest in digital imagery.  It opens programs immediately.  I like the idea that the keyboard lights up and has a ""time out"" feature to shut off.  It also works with the battery where my older ACER did not. That one had to be plugged in for the keyboard to light up.  I can tell you for web surfing, the battery life is on par with what is advertised.  I bought this primarily to surf the web and to edit digital images.  I may play SIMS 4.  I do not think I will need to upgrade the RAM.  I will however be looking into adding a second storage drive at some point.  If you are on the fence about buying this, go for it.  Its amazing.  One more note.  Do not even consider a laptop with an HDD drive vs. an SSD.  You will already be behind the times.  The difference is incredible.  Acer made a winner here!!  I am a very happy customer!"
5.0,Fantastic machine at an affordable price!,"""She may not look like much, but she's got it where it counts, kid. I've made a lot of special modifications myself. """
5.0,As good as you'll find for 600 dollars... trust me.,"My search for the perfect laptop began 6 months ago and nothing has changed since then. No new technologies have rendered others obsolete or pushed prices down. The same laptops still cost the same amount. I first started in the 300 dollar range since I only needed the laptop for writing books and background music. In fact, the less it could do the better, because then I couldn't get distracted so easily. I quickly learned that laptops in that price range could barely function as laptops. They either didn't have hard drives or had such weak CPUs that opening a Word document was a complex task requiring several hours and a battery recharge. The best laptop in that range was the 350 dollar little brother of this one, but to make it worth it, you had to upgrade the RAM and the hard drive, bumping the price up to around 550."
1.0,"Became unresponsive after less than three months, Acer won't do anything about it.",The computer worked flawlessly up until it randomly shut off one day and became unresponsive. I've owned it for a little over two and a half months so naturally I was upset. When I sent it back to Acer to repair it they simply claimed it had water damaging and couldn't fix it. Instead they offered to sell my a replacement for the same cost of the original. I'm very careful and very strict about keeping liquids away from my electronic devices. I'm very upset with how the company has dealt with this issue. I will not be buying an Acer again.
4.0,Surprisingly decent laptop,Hello.
5.0,Warning! Not all reviews here are for the same laptop!,My laptop model is E5-576G-5762. If you are purchasing any other model this review is not relevant.
1.0,"A monumental, huge, epic fail on every possible level","I read reviews on screens going black, rendering the computer useless. Crossed fingers and ordered anyway. Huge mistake. Yep, it happened to me, and at the worst time possible (as if there is ever a good time), when a big snowstorm hit and I needed to work from home. I'm writing this after eking my way to the office through ice and snow. When I'm finished being angry about that, I'll turn to being angry about the work product that I've lost forever."
2.0,My screen now has numerous horizontal and vertical white bands ...,"My screen now has numerous horizontal and vertical white bands making it impossible to use the laptop. Acer refused to pay for shipping it back to them for warranty repairs. California law mandates that products shipped to California customers must have free shipping for warranty repairs over-riding whatever the manufacturer puts in their warranty agreements. After spending over 30 min on the phone with their supervisors, Acer finally agreed to pay for shipping as ""one-time courtesy"" even though it was their obligation under the California law. Hope your states have a similar law on the books protecting you from such scavengers."
5.0,Good machine -- buy the correct RAM memory if upgrading.,"E5-576G model.  Best PC bang for this level of buck.  I saw lots of good reviews and I concur. So far I am pleasantly impressed with this unit, however I have not used it a long time or tested many applications to date..  I am upgrading with a second storage disk (HD not SSD) and more memory.  To perhaps help some avoid confusion the memory upgrade: There are two RAM memory slots in the laptop, and it comes shipped from Acer with 1 slot filled with 8GB.  (By piecing together numerous incomplete Acer replies and posts from Acer) -- The RAM memory supported by the E5-576G model is 32GB maximum (2x16) DDR3L 1600Mhz memory 1.35v SODIMM Laptop.  DDR3L memory is low voltage ( L=1.3v )  Acer (incorrectly?) posted memory as having 260-pins -- I believe that Acer post is wrong and should be 204-pins.  This was very confusing and took a while to figure out.  I ordered the wrong memory twice and one commenter lead me astray by recommending the wrong memory -- perhaps their post was not for the E5-576G model?  To the best of my knowledge this 8GB of Kingston memory is the specification that is correct for the E5-576G. ( https://www.amazon.com/dp/B01B5SKK78?tag=wwwkingstonco-20 )  I have not found any matching 16GB single sticks (1x16) available anywhere -- only 8GB.  The photo attached is the 8GB memory stick that ACER delivered with the PC."
5.0,"Incredible laptop - full package, great price","I have been beyond pleased with this laptop purchase over the last 6 months of use. I can certainly say this is the best laptop I've ever had (but then again I've only had 3, and you would expect these things to improve over time, right). I purchased the Acer Aspire E 15, 15.6"" E5-576G-5762 laptop with 8th Gen Intel Core i5-8250U, GeForce MX150, 8GB RAM Memory, and 256GB SSD. I highly recommend this laptop for anyone looking for a great performing machine with an outstanding price (just to be clear, it won't be running the newest high-end games on ultra-high graphics settings, but it still performs phenomenally for its price range and usage category)."
1.0,Monitor went out after 1 month.,"Monitor went out 35 days after receiving. Dropped my son off at college 8 hours away. Didn't take box laptop was shipped in as it's a new product right?, opted for Amazon Basic protector case. What a mistake. 5 days too late for Amazon Warranty, 2 months too early for Square Trade Warranty, Acer will take a look if you send it back on your dime. Great freakin' great. Small college town, son having problems getting packed correctly for insurance. What a hassle... Out $700. plus probably another $40. for return shipping. Meanwhile my son has no laptop for his summer classes."
