ratings,rev_head,revs
5.0,Excellent Alternative to Windows PCs...FINALLY!!!,"Excellent Alternative to Windows PCs...FINALLY!!!  New, this is around $300, mine is ""Refurbished"" for $188.  And if it holds up which I think it will, I am walking away from Microsoft with their never ending PROBLEMS and BUGGY PRODUCTS.  One thing, Chromebooks don't have DVD/CD Drives or Hard Drives (a Negative and a Positive) but they offer abundant Cloud Storage (a Positive and a Negative).  No Drives means very few moving parts to break and very little heat to dissipate...I don't think they even have fans!  Well, I am willing to spend $188 to test out this alternative path from MS which I have been searching for for years, Chromebooks have no Operating System other than the Chrome Browser.  Google provides lifetime Free Virus Protection, An Entire Suite of Office Apps called Google Docs (no Outlook or MS Works needed...YAY!) plus Hundreds more Apps at No Charge!  Try it, You'll Like it."
5.0,excellent. What pleasantly surprised me,"This was a replacement for another Chromebook so the performance was as expected eg. excellent. What pleasantly surprised me , because I hadn't given it any thought , was that all my sites were there complete with remembered passwords. Chromebooks are the best buy for the buck."
5.0,"the keyboard is great, and even though it doesn't have too many ...","I bought these, specifically, for my 4 kids whom I homeschool. I didn't want anything outlandishly expensive; just very basic. Something they can do their schoolwork on, typing courses, etc. This computer totally fits the bill. The screen is big, the keyboard is great, and even though it doesn't have too many bells and whistles, this is perfect for our needs. And the price?! YOU BETCHA. Totally satisfied with our purchase."
2.0,"Solid Chromebook, but far from ""Premium""","I have to start off by saying that I'm a Chromebook fan. I've tested several and owned a few. There are still apps (when I was growing up, we called them ""programs"" and ""software"") that will only run on a PC, but I try when possible to take a Chromebook with me wherever I go because they are just so damn handy. Why is this important? Because this review is not here to hate on Chromebooks. They are great little machines. Many reviews hate the OS, and don't focus on the hardware when writing their reviews."
5.0,Awesome!,I’m highly impressed with this laptop! The price is unbeatable and the computer itself works flawlessly considering it is Certified Refurbished
5.0,Great Chromebook. Does everything my wife needs.,"I purchased this for my wife to use in the Master's program she has started. She was frustrated by our old computer, and this works like a breeze. The Chromebook OS lets her have immediate start-up, while our Office 365 account allows her to use a full host of Microsoft products online, if she needs something outside the Google products. She had been extremely pleased and wished she would have purchased a Chromebook years ago."
5.0,... to get a chromebook simply because i do not like windows i got this today and really expected to ...,i have had about 4 laptops int he past 10 years -after my last one i decided to get a chromebook simply because i do not like windows
5.0,What a deal,I will tell you this is a great buy.I can not believe the price and the product is great.I am so happy with my decision on this purchase.It moves very fast and adding external usb drive works fine .
1.0,BUYER BEWARE- STOPPED WORKING COMPLETELY AFTER ONLY 6 WEEKS AND NOW WE CAN'T RETURN IT!,"At first, I loved this laptop. It was easy to set up. Loved the big screen and ease of use. Unfortunately a few days ago I started to notice it glitching. It would black out and turn off in the middle of using it. It blacked out yesterday and now it won't come back on. It's only 6 weeks old so this  is a huge disappointment. The even bigger disappointment is we are past the 30 day return policy. Now we are stuck with a laptop that doesn't work. There are risks to buying refurbished items."
1.0,After not even 6 months of light to medium use ...,After not even 6 months of light to medium use my computer no longer works. The screen is all messed up. I would not reccomend.
5.0,"Refurbished, really!","Refurbished, really."
5.0,Amazing!,"I wanted to get a laptop for my stepdad because his was infected with so many different things that it didn't work properly anymore. So, when I saw this I couldn't believe my luck at the amazing price! I got it in the mail yesterday and set it up for him so it would be ready when he got home from work. It runs so smooth;y that I couldn't believe it! It answers commands immediately, the display color is fantastic, it has great speakers, he can use a regular mouse on it, and SO many other things! I'm EXTREMELY happy with this purchase, and my stepdad was even happier. THANKS GUYS!"
5.0,Great deal - Great Chromebook!  AAA+++,Great deal - Great Chromebook!  Arrived today and booted up instantly with great performance. I was up and running in minutes.  For the price its perfect for my school classes and budget.  The display is HUGE and clear for my needs.  Its a NON-GLOSS display and perfect for all the basics.  Good keyboard and soft touch keys. It also has plenty of room to rest your palm so thats nice but I always use an external mouse.  I never had a Chromebook and was surprised there is NO Delete Key. I looked over and over and NO delete key.  I find that when you Right Click you can delete stuff.  I thought it was listed as Black its really a Dark Charcoal Grey which I love even more!  Professional packing and all.
1.0,I'm glad it happened before 30 days,"The charging port is broken.  Just like that, the chromebook doesn't charge at all.  This happened the third week of use, I'm happy I can still return.  Be wary of refurbished, it's basically saying that it is either broken or will break shortly."
4.0,Scratch-less,"As a student, im not exactly rolling in money but needed a laptop for school so a Chromebook was a given. This product shipped on time, had no visible scratches and the cheapest i have found and has had no problems in these first few weeks. The only thing thats not quite as good as i wanted (given the price isn't a big deal at all) is just the track pad is a bit finicky. all being said is a solid product and i wasn't even able to tell it was refurbished."
5.0,A Great Deal,"Ok.  I've had this for several months now, and it is a great value.  First off, there are some suspect reviews that say it does not stream video.  That is absurd.  Streaming is what it is designed to do, and it does it very well.  Considering what you are paying, the top mounted speakers are great.  Then the reviewer told of dried-on food and other nonsense (while giving it a 5 star review).  Come on, man."
5.0,I love the Chrome platform and I would get one myself ...,I purchased this for a friend and now I'm jealous.  I love the Chrome platform and I would get one myself if I could get one equipped with a much larger hard drive.  I currently use the Chrome browser in my Windows 10 laptop.  It's super quick and a lot more reliable.
2.0,The charger might not work.,"The laptop came in good condition (as expected because it was refurbished). But the charger was defective. I plugged it in and the charging light wouldn’t show. I called Acer support line and they said either the laptop or the charger might be defective. However, I went to Best Buy and purchased a new charger because I needed to use the laptop immediately. Now, the laptop is working perfectly and the new charger is great. The photo below shows the defective charger (in white) and the functional charger I purchased (in black)."
5.0,Remember what ChromeOS is made for: Web apps.,"This is a good computer for what it is, and what it is is a Chromebook. That means it is a laptop running Google’s Chrome OS. The operating system is fast and very user friendly."
5.0,Grate priced laptop for un techy person,Screen is okay for price point latpop is big for the price keys feel good touch pad tracks good and clicks aubile but not to loud it has 2 big speakers grate sound beyond suprised wirh sound  quality and love the sumilted metal finish. I  Recommend A Egiant 15.6 laptop sleeve with pocket fits your laptop is tuff and holds charger and laptop and some writting pens and penclias and maybe a small not pad
1.0,problem with the laptop I got from you,this equipment I bought from you cant be used.  I cant even install office on it. this Laptop has field me.  If you have a better one in stock I can choose from and seed this one back will be of help.  please hep I am losing my customers.
1.0,"Not quite refurbished, terrible response from seller!","Our second Acer, loved the first for almost 3 years. This was its replacement, but has a high pitched whine when operating. Can’t deal with the noise!  This seller should be avoided at all cost. Poor response, returned the defective device, in their possession for three days and no word from seller!  I will never do business with them again!"
5.0,Great for this Teacher,"I was in the market for a Chromebook to do my school work on as an educator and not break my pocketbook purchasing it. This one fit the bill. So far so good. I have been using it daily, numerous times a day for over a month now. It is a great laptop for my educational classroom needs."
1.0,Terrible Customer Service!,"The Chromebook was much  heavier than the specs listed in Amazon.com said it would be (2.6 lbs), more than twice as heavy (around 6 lbs)! It worked fine for the first two weeks. Then it went dark and would not turn back on even though it was fully charged. I returned it to the Acer store that I purchased it from using the Amazon instructions and return labels. I was surprised that I had to pay return postage to UPS ($21).  UPS reported delivering it on 10-29-18 and as of today 11-8-18 I have not heard back from Amazon or the Acer Store about my refund. I've written to them twice and have heard nothing! This is terrible customer service from both the Acer Store and Amazon.com! Beware!"
5.0,First Chromebook,"9/29/17 Update:  After using this for awhile I wish the keyboard had a ""Delete"" key. No issues though."
5.0,Acer Chrome book,It was a gift for senior citizens. They had it working in minutes from unboxing.
5.0,Been playing games on it non stop while streaming videos and it just blends if u multi tasking and are addicted to YouTube like myself.,"First time using chrome wanted windows 10 but haven't had to use my phone anymore and I no longer charge then since this helps me do everything I need at light speed! Been playing games on it non stop while streaming videos and it just blends if u multi tasking and are addicted to YouTube like myself....it's a powerful laptop for a Chromebook I've run multiple pages in HD videos streaming with very minimal lag (due to area of internet). But what I love the most is the charger which is very important as to how long ur laptop will last, not only is it super fast at charging but it is delicate and easy to plug in and it pops off as a safety mechanism I believe...either way it never overheats it charges really fast even during heavy use and it has options to really dim down the screen to save energy. It's like a tablet but you can do way more and run apps with easy... A must have if you like to entertain your family or others as the speakers on this babe are crisp and clear. It's also light and it comes with this cool bubble wrapping packaging that I've been using in between my lap and the laptop and for storage . My fav thing about this is it's taken over my use or cravings to even use a mobile or smartphone/iPhone which is only explained by how easy it is to get everything social media done on a Chromebook while I do plan to get a Dell that runs windows 10 this is really good to save ur other devices from the load social media and YouTube can out on a device built to run more complex programs.  So get one for sure and forget about charging ur phone and looking like a boy who can out down his Gameboy lol jk"
2.0,DOES NOT COME WITH CORD,WARNING: my package came without the charging cord. When I asked Amazon to issue a credit so that I could buy a cord on its own they would not offer any solution other than return and refund of the entire item.
5.0,"So far,  So good","So far, very happy with this Chromebook. For my daughter, for college. Very different than a Windows-based computer,  but not too hard to figure out (And there is LOTS off online help and tutorials!)  Would certainly recommend!"
1.0,started having trouble,2 weeks ago I started having problem using my earphones ...they would  intermittently stop working.... now they will not work at all...Saturday it stopped charging....... all started 95 days after I received... not happy....also sticky keys. They responded to my e-mail  over 30 days after I sent notice to them...do not recommend. UPDATE  Nov 14 2018....stopped working altogether this AM..... Very disappointed in this piece of junk
5.0,Really fantastic device,"I've been curious about chromebooks since I've sent two kids off to college. I bought this one because the price was ideal for me to try it out! Overall, I've been extremely pleased."
5.0,Excellent! Use it daily for my remote job,"Excellent! Use it daily for my remote job. Functions fast and efficiently! Screen is large 15"" with great graphics. In general ""Love it!! """
1.0,Quit Charging 92 days after I purchased it,"Laptop is fair. It's slightly slow but is good enough speed if you use it to just surf the internet like I do. However, on day 92 after I bought it the laptop stopped charging. Local repair shop said it was a hardware malfunction and would cost $154.99 to fix, which is the cost of a new computer. Thought since it was only 2 days outside the warranty the seller gives (90 days), they might work with me. I could understand if they didn't but then they went out of their way to say I bought it 129 days ago and is far outside the warranty. That just isn't true and I don't feel this seller is honest or the laptop is built for long term use."
4.0,Great second computer for picture storage.,I was pleasantly surprised by the size and quality of this Acer .
2.0,Love it- Kind of,"For what I bought it for, it serves its purpose perfectly. I am very happy after using it for a week now. We had a Macbook Air and one of my humans spilled water on it. Game over. Couldn't afford another one so after doing some research this is a perfect band aid for a little picture management and Netflix watching. My daughter uses a Chromebook for her class so this was also a plus. Very budget friendly and we have a laptop again in the household."
2.0,Chromebooks aren't as good as Windows machines,My first and probably last chromebook.
4.0,Good affordable computer,"The laptop is great but if you have it closed sometimes it shuts off unexpectedly, so when you turn it back on you have to restore the tabs you had open."
5.0,Great!,"This is exactly what I was looking for! It’s ridiculously easy to set up and use! If you have a GMAIL account it seriously does all the work for you,just put in your email address adjust some settings and there ya go all done lol"
4.0,Great quality for the money,"I bought this as soon as I got my taxes back because I needed something if I were to keep writing. I got a Chromebook because I only needed something with basic stuff. I did not need anything extra. My accounts are linked to Chrome so the set up was SUPER easy. Sometimes it lags but I don't know if that is because of my network or the laptop itself. Either way, it is not bad at all. I know it's not a touch screen but I had one before this and I kept wanting to select options by touching the screen haha. So it was an adjustment for sure but it works for everything I use it for and I have no real complaints!"
1.0,Worst laptop ever," If I could give this laptop a 0 star I would unfortunately I’m stuck having to give it a 1 star. Please people don’t be fooled by the price because I had this laptop just for half an hour and it began to start static and we weren’t able to download windows and sketchup. I definitely would not recommend this to anyone trust me. So you’ve been warned, to each is own!!!!!!"
