ratings,rev_head,revs
1.0,What a horrible experience.,I purchased 4 of of these laptops.
1.0,Terrible. This is not a refurbished laptop,"Terrible. This is not a refurbished laptop. It is just used. Seller TECHarvard misrepresented this item. The power supply was broken and didn't work. The laptop body is damaged, dents and large scratches. I understand this is a previously owned laptop, but the product description says it will look and work like new. Not even close. I don't know who ""certified"" this refurbishment, but I have a very difficult time believing it was apple. Returning for a refund."
1.0,Just received and doesn't even work Amazon should be ashamed ...,Just received and doesn't even work Amazon should be ashamed  I had a blank screen since I powered it on
1.0,Tried to save some $. Failed.,"Buyer Beware. The first sign that something wasn't right was that this product is not being sold by Apple. I took my chances...tried to save some money. On arrival everything started fine, but definitely seemed pretty slow compared to our previous MacBook Pro. First sign of real trouble came when I downloaded Microsoft Outlook for my work e-mail. The computer couldn't handle it. Spinning beach ball time. Force quit (took a long time)... uninstalled Outlook and things went back to working, but remained slower than a normal Apple. Wife (already skeptical) told me to return it while it was still under Prime return policy. I balked. Held out (again being cheap). Computer worked well enough for about a month that I was OK with it for the cost savings being somewhat slow. Suddenly nothing worked. Literally you would move the trackpad (mouse) and the spinning beach ball would appear. Couldn't even scroll far enough to open a program without the beach ball endlessly spinning. Return policy became a little tricky. Fortunately the product was backed with a 90 day warranty. It took a couple call to Amazon customer service to: A) Return the product B) Get a full refund (they tried to apply a restocking fee). In the end was fully refunded which I appreciate greatly, but would not recommend purchasing."
1.0,Is it stolen?,"Owned and configured by ""Raleigh County School District"""
1.0,If you're expecting a refurbished computer like you would get directly from Apple,"This computer was so beat up, and the charger was FILTHY and split in several areas showing exposed wiring. I didn't even power it up, it went immediately back in the box to return. If you're expecting a refurbished computer like you would get directly from Apple, this is NOT it."
1.0,Advertised product is not the same as what was received. Only worked for 1 month.,Its works okay as expected. I understand that I ordered a refurbished product but it was full of dents and scratches. Letters came off that we had to glue back. The picture that was advertised is not the same as what was delivered. Disappointed at this one.
4.0,"Basically it is an old version, yes. It ...","Basically it is an old version, yes. It doesn't work fast."
1.0,Operating system does not work.,Turned on the computer for the first time and straight to a folder with a question mark. Meaning the operating system was bad. Never got to open iOS once. Mild scratches on the casing. I would recommend buying elsewhere.
1.0,"Hard drive not cleaned, unable to reinstall iOS","Computer was delivered with another administrator set up and much of the hard drive space not cleared. When I cleared the hard drive, I was unable to reinstall iOS and received a ""no bag entry"" error message. So unless you want to risk receiving a laptop with someone else's info on it and no ability to reinstall after cleaning, don't purchase this."
5.0,I am SO happy! I've been reading many review before buying this ...,"I am SO happy! I've been reading many review before buying this refurbished MacBook Pro from this seller, and saw many bad reviews, as well as the good."
1.0,Poor quality for the price,This item was in very rough shape. Outside has been very scratched and damaged. Not listed as being in such used shape. Poor quality for the price.
1.0,has already been returned to the amazon warehouse in USA Product Not recommended.,"Equipment totally defective, use it 02 times and then it did not turn on again. make the return of the product. has already been returned to the amazon warehouse in USA"
4.0,Great investment.,"I was a little bit nervous about purchasing a used/ refurbished MacBook, especially from a third- party seller."
5.0,Honest to goodness deal!,No scratches. Runs smooth. Great price for Macbook Pro Quality! Would buy again.
