ratings,rev_head,revs
5.0,Saves time and headaches.,"I was having problems with finding all the drivers for my upgraded computer so instead of constantly searching online for a good driver install, I purchased this disk and after I put it in it only took it 3 minutes to install all the missing drivers I needed for my new and improved computer."
5.0,2018 Driver installation CD,"I have been trying for some time to bring my 8 year old Dell Inspiron laptop back to “useable” life. The Dell software “reinstallation” CD doesnt work as it should, and the system doesnt allow you to format the HD. I ordered a HD eraser and the driver CD. They both worked wonders together!! I would recommend this product to anyone."
5.0,I'd have been well and truly screwed without this. ...,"I'd have been well and truly screwed without this. FACTORY Microsoft windows 7 disks wouldn't install, right out of the box. Loaded this up, and the install went flawlessly."
5.0,Great product that performed as promised,"The disk arrived quickly and is completely compatible with the Windows 7 operating system that I had just installed on an HP computer.  Without the disk, I had no way to download any drivers to the computer and the Windows 7 DVD didn't have drivers for this particular computer.  After installing the drivers from the disk, I was able to go on line and update all the drivers and install new drivers that were needed."
3.0,Dated offering and the links to websites for addition drivers ...,Dated offering and the links to websites for addition drivers and help is down and dead. It is no help at all with Win 10
1.0,I’m very disappointed.,"I received my disk and found after loading disk, it does not work with Windows 8. I’m very disappointed."
1.0,One Star,Would not run.  Worthless.
1.0,One Star,Does not work!!!
1.0,I have a problem with the CD received. It ...,"I have a problem with the CD received. It will not run on the cover of the disk it stated that it to be used for Compaq, IBM, and e machine only when tried to down load it gave me an error message."
1.0,Return,Could not upload. I return it.
5.0,The Essentials of Windows Driver,"It works automatically & displays what it is doing. This makes it easier to determine what is going on with the computer, and, in the event of problems, to see what can be ruled out. You don't need to be online for the disk to work, which could make it easier to get online if you have internet problems."
5.0,Automatic Driver Recovery,Assists in lost drivers being restored!
1.0,This Automatic Driver Installation CD is pure junk.,"Pure Junk, I have a laptop that had not been updated since windows 10 came out, and this CD stated that everything was updated.  Big time false reporting I had to manually update all drivers and updates. This Automatic Driver Installation CD is pure junk. Do not waste your money."
1.0,One Star,Didn't seem to do anything when installed.
5.0,Does not need to connect to the internet.,I like it.  Works great.  Using it to reload win xp on a data logging industrial computer.  Thanks.
3.0,Seems Decent,"Not much I can recommend. I'm missing the network adapter/controller from the motherboard after accidentally deleting it while installing/removing a graphics card. The flash drive did a basic Windows10 driver search, but I plugged in an old WiFi USB to get online and research the fix."
5.0,Works best on windows 7,"This driver set seems seems to work best on Windows 7 machines. Restored functionality to some long dead USB ports on one machine,  improved audio on another, among several things. Does not update as well in Windows Vista or XP. In one case had to reload the Vista OS after using this driver disk. Don't know necessarily how well it works on Windows 8.1 or 10, as apparently all their drivers were up to date."
1.0,After installing the recommended drivers my system froze,"I am running Vista with home premium package, the system has never been on the internet. After installing the recommended drivers my system froze. My only solution was to do a partition recovery. I flipped my 2018 drivers CD in the trash!"
4.0,Automatic Driver,"I use it to update my Windows 7 and Windows 10 hard drivers, and like it says you don't need internet to do it. I had one driver on my Windows 7 that needed up dated. Very happy. Thank you."
1.0,One Star,dont work
5.0,software,I happy amazon had this software at a great price
5.0,This disc works!,I am not computer savvy but this recovery disc made it so easy I was able to restore my wife's laptop without losing her files! We were both elated and relieved! Great product!
4.0,Great driver disc to get up and running after a new install.,"Driver disc installed drivers but there was a little confusion about optional drivers. Also I could not find a way to force it to roll back to an earlier version. Overall however, it is a very good tool."
5.0,Would buy it again!!!,"Solved several of my software issues.  Fast ship, too!!!"
5.0,but it's good to have it around if I need it,It replaces corrupt or missing windows drivers...
5.0,Good product good seller,Product exactly as described
5.0,Very much worth the buy.,"Was a bit confusing with the updates but ended up fixing my problems during my upgrade to W10, perfect buy."
1.0,Destroyed operations on my notebook,"This product once installed my notebook started doing things and acting weird,. All I wanted was updated drivers, but a got notebook that on its own and now it flits around from one application to another.  I have bought a new notebook"
1.0,Problematic,It'sa pretty disc. All  kinds of info and findings. My take away is it couldn't install updates on my Samsung i7 laptop running Win 7.
1.0,Usless.,I used this on two different hard drives in the same computer.  One wound up with fewer drives and wouldn't even run solitaire.  The other wound up with no wifi.  Save your money.
4.0,"When I first tried to run it, it did ...","When I first tried to run it, it did not work.  However, on the second attempt, it did.  Delivered as expected."
5.0,It works,"Excellent, it seems to be working.  That popup that kept coming up about my drivers needing updated has stopped showing up."
4.0,Came as advertised,Came as advertised look just like the photograph but started falling apart about 2 weeks into using
5.0,Win 7,Replaced all the drivers I was needing.
5.0,SWEET!!!,worked like a charm!  computer is back from the Dead!  ALIVE AND  KICKING!  5 STARS
2.0,That it fixes my driver problems,It did not work for my computer it kept throwing up error messages when I tried to install I will be returning it to Amazon.
1.0,Don’t waste your money,Absolute piece of crap. Did nothing for me. My toshiba laptop wouldn’t boot up.  Last time this happened my tech guy (after $250) told me it was a Microsoft overnight update that crashed me. This did not get windows up and running again.
1.0,None,Couldn't get it to work and found out that my computer needs a driver
5.0,Great to have all my computer drivers for all my ...,Great to have all my computer drivers for all my computers in one place instead of having to spend a lot of days finding the drivers.
3.0,Three Stars,It does not work properly
5.0,good selection of drivers,"good price, fast shipping. looks like all I need to get a computer running"
5.0,Good product and value.,Did exactly what I needed. Easy to use.  A real time saver.
1.0,did not have all the drivers as advertised and would ...,did not have all the drivers as advertised and would not download from internet search to solve driver problem.  Did not solve basic USB serial bus driver problem.
4.0,ok,it works
2.0,About half the drivers you need for XP,"Just installed windows xp 64 bit pro on a Toshiba laptop, and on a hp desktop.  This disc found about half the drivers I need in each case.  Of course the ones it didn't find are for the network and Wi-Fi cards.  So I'm still pulling my hair out trying to get connected."
5.0,Five Stars,I am able to finish building computers a lot faster with this product.
5.0,It worked to install drivers for windows XP SP3. ...,"It worked to install drivers for windows XP SP3. Got us up running, the disk does all the work looking for drivers. Thanks!"
5.0,Good product,Works great.
4.0,Software and driver access for generic hardware.,"Product was bought for backup use. Am delighted with the prompt delivery and processing. Find the product essential just in case the standard native OS system image bootable media does not contain the relevant drivers. The product allows peace of mind in using bootable media, especially for migration to another PC."
5.0,Perfect! Exactly what we needed!,Perfect! Exactly what we needed!
5.0,Driver recovery was completely successful!!!,Delivery was quick! The drivers worked as expected. I was able to revive my laptop completely. Thank you.
5.0,Valuable tool!,Worked well; no problems. Would recommend!
3.0,Unsure if it works,My computer was beyond repair so the disc never worked. Programs never loaded. Can’t really give an accurate review.
1.0,This is a rip off!,"This is a rip off. It did not work for me and seems like a copy of a copy of a copy ""home made"" disc. Don't recommend this purchase."
4.0,Four Stars,GREAT
5.0,Great Buy,"This is a good, worthwhile investment."
3.0,No instructions. I have an HP Desktop computer.,Not automatic. Are there instruction s?
5.0,Great value! Saved me countless hours of reformat and reinstallation.,"Used this disk to get my windows 7 computer to boot up, after it had started hanging after the bios and before the win7 boot processes. Worked like a charm! Saved me hours of reinstallation work!"
1.0,Don't waste your time and money,Could not install any of my needed drives on Win 7
5.0,"Works great, no viruses!",Works great when you can't download the updates.
5.0,Five Stars,Great
5.0,Works great very pleased,This driver disk worked great I  Have then without my computer for a little over a year because I couldn't get it to download the Internet drivers ordered this  Drivers disk put in my laptop and it worked great everything  Started working like magic well worth the money
3.0,Three Stars,Not enough drivers!
5.0,thanks.,Thanks for a just in case.
4.0,mostly happy.,"It covered all but one PCI driver. So, mostly happy."
3.0,recov-ery computer,automatic recovery my computer which that DVD-CD try but couldn't at all
5.0,Easy to use,Solved my computer problems in less than 5 minutes.
5.0,Five Stars,cool item
5.0,Five Stars,OK
1.0,One Star,there's a malfunctions in the program and doesn't work
5.0,Five Stars,Took care of my frozen wit 7 problem .
3.0,Useless Software Bundle,Relatively useless softwsre. I bought it to be
5.0,Five Stars,Grate product
5.0,Five Stars,Like  it.
1.0,One Star,dont work well at all
1.0,No good,Did not work right
4.0,Four Stars,is what it says
5.0,Trabaja perf,Facil instalar
1.0,poor,poor
4.0,hopes it works for you,"First, you must have a DVD drive. I tried using this help dish but was unable to get the driver to add to my computer. Hard to make it work."
3.0,good,good
1.0,I am very sorry but when I installed on my ...,I am very sorry but when I installed on my computer it froze and damage the system  I had to reinstall everything to make my computer work again
1.0,Disappointment,Did not work at all. Disappointed.
1.0,Does not work,Too good to be true believe it - a piece of garbage it went through the motions but did nothing.
3.0,Convenient,"Convenient, still needed some additional information but was worth it."
1.0,Didn't work,Didn't work
1.0,Didn't work,"Ended up paying a one year subscription with another company,"
1.0,Don't waste this much money on one,Didn't even freaking work with my laptop when I tried to reset it. Don't waste this much money on one.
1.0,did not work on my old compter,did not work!
1.0,Didn't work for me.,"Didn't work for me, but that's not saying you might have better luck."
1.0,No USB stick in the case...,I received the case but their was no USB stick inside the case......
5.0,Five Stars,I'm satisfied with this CD. It updated my Win 7 drivers without a hitch.
1.0,One Star,The cd I got today off as blank there nothing on it
2.0,It didn't work for me,It didn't work for me
4.0,Four Stars,I used one driver and it did what I needed.  Thanks.  KJ
1.0,It didn't work for me.,No drivers found for my system.
1.0,Did not work on my dell latitude,did not help!
1.0,Did not work,Did nothing for a Dell Inspiron One 2320 with a status of 0xc000000f. Going to return and get my money back...
5.0,Their service,When I thought there were a problem they worked very hard to get things right.
5.0,Five Stars,Updated several tablets to bring them up to full capability
5.0,I does the job,It works.!
1.0,Rip off,"The product is garbage, it crashed my computer. Dont buy this product, ITS A SCAM!!!!"
