ratings,rev_head,revs
5.0,"It is a beautiful laptop, arrived in perfect (refurbished but couldn't tell) ...","It is a beautiful laptop, arrived in perfect (refurbished but couldn't tell) condition. it boots up very fast, and runs in perfect condition. I can play games and do all my paper work. Surprisingly, even I opened multiple tabs and browsers, it still response very fast, no delay at all, doing much better job than my desktop (though it is old, but has i5 in it)."
4.0,"As a computer, it is okay, no complains ...","As a computer, it is okay, no complains about that. But be aware that it has no space to save almost anything in the hard disk, so  when buying it don't forget to buy as well an SD card of at least 2GB to store your stuff."
3.0,Meh...it's just okay.,"It's okay. That's really it. It's a cheap, basic computer that's really only good for surfing the internet. I bought it for mainly that purpose and video chat and unfortunately if I do want to use it for video chat I'll have to get an external webcam as this one is crap. I haven't thrown away the box yet because I'm not convinced I'm going to keep it."
1.0,... runs way too slow comes with a bunch of useless apps which take up all the space,It runs way too slow comes with a bunch of useless apps which take up all the space.  You don't know which ones you can delete to get more space because you don't know what they're for.  Plan to return if I can.
5.0,Perfect for me,"I am delighted with this item, my first laptop ever. I was having issues updating but after I researched and implemented solutions updates were installed and I find this device has been a great addition for my needs. I really haven't had time to explore all of it's advantages and offerings and look forward to the discoveries.  Added point: The communication from the seller has been supportive, positive, and didn't feel like just a sales promo."
3.0,Commit time to removing junk.,Not impressed. The system is fast but the vast majority of hard space is filled - we’re getting storage warning after a few days and only installed chrome. Must spend a lot of time setting up and cleaning up.
1.0,"Too sluggish, returned an hour after it was delivered.","The computer was very sluggish. It wouldn't allow me to even create a Google account. It was packed up and returned within the hour. My daughter has this same computer, bought new, and it works just fine for what she needs it for. I'll pay a little extra and go new next time."
2.0,"It may work for a kids first laptop or for grandma to play solitaire, but not much else.","The first thing I noticed about this laptop even when I picked up the box from my porch was just how light it was. The set up was easy, though I was not impressed by Cortana. However, once you completed set up, it just went downhill from there. I had two programs that I wanted to download onto the laptop, got one installed with little issue other than the computer moving super slow because it just isn't able to process information quickly. The other program would not install at all because it simply didn't have enough capacity to handle it. Mind you; these are pretty generic Microsoft Office programs. The laptop gives you a one-year subscription to Office 365, which is their web-based suite. That's fine, but it's only good for a year. (I'm a Mac user, so I was fine with not having Office per say, but this seemed like another I had to wait for the computer to crawl) I spent hours trying different things to make this machine work for me. However, it's basically a flip phone trying to be a smartphone, and it just can't handle it. I imagine that if you had a kid that needed a cheap computer to write papers on, this might work (if you're willing to pay for the office 365 subscription) or you can set it up for granny to play on facebook and solitaire, but it's such a weak machine that it couldn't accomplish much more than that."
1.0,"Slow as hell, didn't do anything I needed it to.","I bought this piece of crap to replace my other Windows10 laptop because the other one I have sucks and is really damn laggy. It was a waste of money. I set up the PC and went to install chrome. It wouldn't let me because apparently this computer only installs windows store apps, which I'm sure isn't just with this particular computer but it hasn't happened to me before. Had to install something off windows store that disables it, tried to then install chrome again which was a pain in the ass. It took 15 minutes alone with the installation for chrome, and on my other computers, it takes only like 5 minutes. Couldn't do ANYTHING on chrome when I opened it up, I mean it was completely freaking FROZEN. Tried to shut chrome off (which it took like 10 seconds to do, should happen instantly though) and once it did I went to look in the computer's settings to see what I can do to speed it up but it slowed down to crap before I could do so. 1/10 Would not recommend. Big waste of money."
1.0,I expected Better,This has to be the slowest laptop ever. I guess you get what you pay for. I thought since this was an Hp I would receive better quality. But we all know what they say about making assumptions. This system is just aggravating and insulting.  My 5 yr old doesn't like it my phone is faster.
