ratings,rev_head,revs
1.0,"If ""Better than expected performance at an unbeatable price"" sounds too good to be true, that's because it is.","Note, there are 3 components of this REVISED review. The 1st regarding the product, the 2nd regarding the vendor. And the third comprising my experiences of both after the unit failed within the warranty period, and the vendor's attempts to avoid honoring their supposed warranty."
2.0,Buyer Beware!,"At first I was very pleased with the computer, but after one month it started flickering on the screen. I contacted the seller who responded quickly. After a few informational email exchanges, I have not heard back from him about resolving the issue. I was leery about purchasing a refurbished computer and now wish I had not."
1.0,RIP OFF,I bought this for my husband for Christmas.  The return window closed January 31st and it DIED February 20th!  I will NEVER purchase from them again.
1.0,Screen cracked and only turns on when it wants,Great price... worth every penny apparently. Screej came cracked in the corner and when you turn it on the screen comes on when it feels like. Wish I looked harder. Merry Christmas to me...
2.0,I thought that when you got refurbished that it worked ...,"I thought that when you got refurbished that it worked. I had to replace the battery, the only way you could use this is if it was plugged in. It was also very scratched. Not someplace I would use again."
4.0,Loving the Book!,These Dell Chrome Books are really nice! We got them for our boys ages 13 and 11 for Christmas. They use them for homework and playing games! It’s one game that they really play that they can’t play on this chrome book because it doesn’t have windows. Rowblocks is the name of the game I think! Lol.... about two months after getting the books we noticed that they wouldn’t charge and they could only use them if they were plugged in. We contacted the company and sent them back and two weeks later they sent them out knew books. These are working great! Turns out the both of the books had bad battery packs. Customer service was great and I would definitely buy from them again!
1.0,Four months after product purchased the top half of the ...,Four months after product purchased the top half of the monitor stopped working.  Dell would not help since it was purchased from a 3rd party.
1.0,Waste of money,Don’t purchase my sons screen doesn’t light up. Waste of money.
5.0,Fortunately I was able to remove them,I really needed an upgrade from my old Dell pc and this definitely did the trick.  The only problem I had with the product were loose screws in the computer.  Fortunately I was able to remove them.
1.0,Arrived broken,This product arrived broken. The mouse did not move on the screen at all. I knew I was taking a chance but expected a product that at least worked when new. Returned this immediately
5.0,Refurbished and works like new,I ordered this unit to replace my daughters 7 year old laptop. She normally only works on line to read articles or research things that interest her. This is lighter than her old laptop and is faster by far as it has a SSD drive in it. if she needs to do anything more she has the google suite of apps to draw from so software is not an issue.
5.0,Refurbished is FINE!,"Received my order quickly and in good shape, So far the refurbished unit is running just fine. The outside of the case had a few scratches, Other than that it seems to be in good order and is meeting my needs. I'm finding that the 11"" screen may be a little small. So I'm kind of wishing I might've gotten a 12"" or 13"". But for the price, really can't beat it."
4.0,Good product but a bit older...,This is a perfect Chromebook for a high school student.  It will do the job very well.  My refurbished unit was bought from Certified-Technology and it looked brand new and had a battery with a life expectancy of 100%.  The cost for a student and the likelihood of damage make the price range for a refurbished product a good deal.
1.0,Chromebook  used,"This Chromebook came with out a password, therefore I could not sign in.  I called the info supplied and was told that for $129.00 they could ""fix that"",  I returned it!  Michaela"
1.0,Problems getting it to turn on,"I have had persistent problems getting this Chromebook to boot up. Now it's just dead - won't turn on at all. I suppose this is what I should have expected from a ""refurbished"" item. It had visible wear when I received it, and did not respond to the power key consistently. I just kept it turned on. Now it's dead."
1.0,Didn’t work.,I thought I’d get lucky because all the other reviews were pretty bad. But I didn’t. Don’t waste your time mine wouldn’t charge and would just shut down randomly because the battery wouldn’t hold a charge. Waste of money. And they make you pay for the return porstage also. And lastly. The touch pad was messed up. Sometimes it would work and sometimes it wouldn’t. Believe the reviews and don’t even bother with it
2.0,It works but really been used a lot,"Big line of something on the screen that won't come of and mouse pad takes a lot of taps to make it work.It is used and does work but not as good as I would have expected,maybe next time I will listen to my wife a buy new instead,you get what you pay for,like it or not"
1.0,Did not work~,"This arrived and had a cracked screen. I called to find out what could be done, was referred to the manufacturer, who said nothing. We returned it."
1.0,Cannot download games/not user friendly,Awful.  Hard to use.  Bought for 10 year old son.
1.0,Do not by from this company,Nothing they say about this Crome book is true I brought three for my kids for school because they were required and to save a few bucks but like they say you get what you pay for. None of the 3 an I mean not one works and no one from the third party sales will return my call
4.0,Thermal issues and track pad issue besides that all good,first of all i know this is a refurbished laptop but trackpad isnt the best (sometimes it doesn't detect me clicking) but it has a nice feel to it
1.0,Waste of money!,This is HORRIBLE!  The monitor will not stay on and does not come back on easily. Powering off then back on does not help! DO NOT buy it!
1.0,One Star,Product came with none functioning keys. Can be used returning to seller
1.0,This item was not in the condition that I expected,"The computer had scratches and I had to even wipe it down as it appeared to be dirty the box that it was delivered in was old and in bad condition I was not satisfied, I do not have time to send it back as it is a Christmas gift I have to send to Houston, TX very disappointed! Computer even had a sticker mark where evidentially a sticker had been. 😕"
2.0,"Bad trackpad, had to return it","The trackpad wouldn't respond to clicks half the time, so I returned it. Otherwise it would have been a good buy at $99... cosmetically it looked great, and I was able to update it to the latest ChromeOS version; I buy lots of refurbished Chromebooks and sometimes older ones can't be updated, which substantially reduces their value."
1.0,When I got this Chromebook it had scratches on it ...,When I got this Chromebook it had scratches on it which I was not expecting on the front and back.
1.0,Screen scratched,"The screen came with a scratch and the shift key sticks. I was skeptical about buying ""refurbished"" products. Some of the items seem ok...but others are sold as refurbished despite defects. For fifty dollars difference better it is better to buy the new product instead of a defective item I do not mind scratches, but not on the screen.."
1.0,Ok for a kids first laptop,"This is my second certified refurbished,  the first have a bad screen (had spots across the center). So they sent me another and this one has very deep and many scratches on and around mouse pad, but the screen is good and my daughter is ok with it. I thought for the money it should have been in a little better shape."
1.0,Disappointed buyer,"Very disappointed when I opened the computer to find a line across the middle of the screen. A screw was also not placed on the bottom of the keyboard- leaving the bottom of the keyboard falling off. Luckily, Amazon offered to send a replacement."
4.0,The tablet does not have Google play store,Overall I like the product but I think that in the specs you should let people know whether or not it has Google play store this one does not which means you can't really download anything on its 100% internet but that's still working for my purpose in the future I will sell this one and get me one that has Google play store
3.0,No instructions,Product arrived on time.  However there was only the chromebook and the charging cable in a box.  No instructions or anything explaining the product.  Good thing this was for my 9 year old and my husband already has one.
1.0,One Star,The laptop was completely busted. it doesn't worth 140 dollars. I could see the inside of the keyboard
5.0,No Frills ChromeBook,"Bought as a replacement for a ChromeBook I previously had.  The other worked really well for six years.  I damaged the screen or I would still be using it.  This works just as well.  Couldn't even tell it was a refurb.  For just surfing the net, it just works."
1.0,Attention: I NEED MY POWER CORD!!!,"Attention: I did not get the power cord to this computer and the computer is completely dead, no power to it to get on it. So what do I need to do now?? I guess I need to send it back. I’ve never had any problems or anything to be or go wrong when I’ve ordered from here. I need my power cord to my computer"
4.0,for $100 it works fine,"Didn't expect much, but it exceeded my expectations for a chromebook.  Nice having multiple usb ports as some chromebooks only have one."
1.0,The delivery of items was incomplete!!,The computer did not come with the charger cord. So my child could not use the computer right away.
5.0,So Far So Good,This is what I was expecting from the ChromeBook. It works fine. I like that I can hook up a USB mouse and keyboard to it as well. So I've had it almost a month and so far so good.
5.0,more than expected,"This is for my 14 daughter hope it can last, overall good performance for more than a month of use. I hope that it does not has any future issue dell support is really bad."
5.0,Great!,"My daughter bought this for school and it has been great. No problems with it, or dents. We are very happy with this purchase."
2.0,Screen is coming off,Screen is coming off and overheats quickly
1.0,Lines on screen,"I bought 2 of these. One for my teenage son and one for my pre-teen daughter. They worked well for about 4 months and then both like clock work ended up with lines running across the screen. I wish I would have read all these reviews, cause this seller is taking a lot of people’s hard earned money and giving junk!"
5.0,so good! purchased for a middle school student to use ...,"So far, so good!  purchased for a middle school student to use for homework an journaling.  We love it!"
1.0,No charger,Chrome book arrived with no charger.
5.0,Great Deal,I purchased this for my 10 year old son. He absolutely loves it. Perfect size and works fine!
1.0,Disappointed,"Thought this was new, BUT it does not hold battery charge, took to local Geek Squad, was told this was a ""refurbished "" computer with weak battery cell"
5.0,Good product and arrived on time.,Product arrived on time and in great shape.  Having a little trouble getting used to my ChromeBook but all is working well.
4.0,Great for the price!,This is a great chrome book for the price. My daughter loves it and able to play all her games and do her homework easily. I would recommend.
4.0,Good as New,"the battery works well and it works as if its new. the only thing is i had to find an adapter to connect to the power supply but apart from that it purrs beautifully, and works smoothly."
5.0,Small but mighty!!,"Dell Chromebook is a great value!! Not only do you receive the Dell name you know and trust, you receive it plus Chromecast in one tiny package!!"
3.0,Good,Not going to lie the laptop it self isn’t bulky and has great sound and good graphics. I thought i could play my game on this computer and bought a external cd drive and realized it can’t play pc games unless they are online. This would be good for a work computer or just to watch videos and online games
5.0,Good product,"Fast shipping, exactly as described."
1.0,Damaged,It came with a pretty noticeable scratch across the screen as well as a letter on the keyboard almost completely broken off don’t waste your money.
5.0,Great,"Cheap, functional, does basically everything I need in a personal laptop. Thrilled I went for it"
5.0,Needs more stuff added. Bad.,Did not come with soft ware or a hard drive.
5.0,Nice,Work good
5.0,Great customer service.,Great product! Super fast.
1.0,Not worth the money. Slow. Poor screen quality,Not worth the money
5.0,good buy,really like
5.0,Love it and love the price,Really nice. Good price.
5.0,Reveiw,Bought this for my 12 year old. Very good for watching videos and listening to music.
4.0,Just I hoped for,Good
5.0,Great for the price!,We bought this for my 12yr old son. He can do his homework on it and log on to classroom assignments etc. he also gets online and plays with his friends. Great quality so far and does not lag.
5.0,as to be expected,really liked the timely arrival good value
1.0,None,We didn’t keep it sent it back
5.0,Couple of scratches but otherwise just fine,Does what it was designed to no problems!
4.0,Dell,It was a gift. She seems to like it a lot. Thank you
2.0,Two Stars,Heavy and bulky and not at all what I expected.
5.0,Great price,Got this for my wife. She loves it and it was a great price. Showed up on time and no damage . so far so good.
3.0,good,Dell was okay but has some marks on it. buy in store
5.0,Great for the price.,I bought this for my grandson for his birthday and he loves it!
5.0,Five Stars,Great product......good deal.
5.0,As advertised good cheap web laptop,good cheap web browsing laptop
5.0,This was a good deal.,This was a gift for my grandson and he lives it except he can’t download any games to it. His original laptop was stolen and his games were linked. This laptop isn’t recognized so he can’t download.
2.0,The computer is fine but they do the bare minimum,"This came with no instructions. I understand it’s refurbished, but I ordered it for an older family member. How hard would it be to print out the lit and put it in the box?"
1.0,Laptop didn't even turn on!,"Tried plugging the laptop in, kept it plugged in for hours, laptop never turned on!"
5.0,Chrome book review,Works as advertised!
3.0,Might have scratches and marks,"Marks on screen, Knicks on computer side,  definitely used, dirty, had to clean it.  Okay for kid use for school. Would never send as gift."
1.0,No sound!,I just received this for my daughter and it has no sound! Very disappointed!
1.0,Don't waste your money on broken items,"Arrived late. Froze up the first use, is now unresponsive and over heating. Called dell for help but the service number is missing from the bottom of the laptop so they can't do anything"
5.0,Good price,Great for what I need it for. Scanning in inventory.
5.0,Its super light and very easy to handle,I love everything.. Exactly what I wanted and didnt cost $500
5.0,Good s,Nice size..works great!
5.0,Five Stars,"So far it seems great, bought it for a Christmas present!"
5.0,Satisfied customer!,Just as advertised.
5.0,No frills,It's a chromebook.
1.0,Broken Mouse pad,"Bought this chrome book for my daughter for her homework. She got it on Christmas and by March 26, the mouse pad is already broken. Warranty expired a month ago. Bummed I wasted my money"
5.0,????,Its fast and so far has worked flawless!
5.0,Good value,Works great and it’s aurprisingly good for the cost!
5.0,Works well,It's a nice size for taking back and forth to college.
5.0,No dvd/cd additions,It is a good deal but you can’t add a external cd/dvd or a hdmi device
5.0,replaces my heier chromebook,"cant find that light great machine at all, I bought 4 a few years ago for about $150 each"
5.0,Worth every penny,"Perfect in every way possible,"
4.0,No document editing,It's not bad for the money. Just have to get used to the operating system.
3.0,Mouse jumped around,"The computer worked great except the touchpad. Mouse skipped around. I tried having an IT person call me to see if there was a fix, but they hung up on me."
1.0,Computer sucks,No this computer sucks I can’t load the games I want . And you can’t download Microsoft witch most of my games I like to play.
5.0,Good job,For a refurbished laptop for 90 $$.i think is the best deal I ever made.it works great no problems with it at all.thank you
5.0,LIKE NEW !!!,every day use at work....... WORKS GREAT !!!!
5.0,Just right,So far it surpass' all expectations
4.0,Great price for a dell,My first chromebook and I'm stoked
5.0,*******,My son got it for Christmas. Still loves it
5.0,Amazon shopping,"Very nice, we love that thank you !!!!"
5.0,Five Stars,Good product.  Works well.
4.0,Top Shape,I did not appraise the product B4 ordering its OK
3.0,Pensé que era producto nuevo,Pensé que era producto nuevo
3.0,Find out what a Chromebook is first,"Misunderstood what a Chromebook is, thought it was more like a laptop. Might send back, don't want a need for what it can do"
5.0,Ok,Ok
3.0,Laptop was scratched up and a dangerous charger was sent with.,The charger that was sent is shocking our 13 year old. Not too happy about this.
4.0,Affordable for underserved at risk people and communities.,Training citizens in underserved communities.
5.0,Chrome book,"I got for my son this chrome book he is so excited and he is love it,working great!!!"
1.0,It died less than 6 months after purchasing.,"So I bought this in November. It died today. Obviously, I don’t recommend buying it."
1.0,Crap product crap seller,Bought 2 of them and they both stopped working and seller won't do anything about it
1.0,Battery does not work at all,Great for kids. Does not work unless plugged in. Major inconvenience
3.0,Renewed but pretty scratched.,Chrome book is very scratched including a pretty significant scratch across the screen.
5.0,"Chrome book by Dell, awesome condition","Compact, good screen clarity. Great price!"
5.0,Good buy,Great product
5.0,Great for teens,Bought for my daughter works great and she is able to get school work done and still stream netflix or hulu.
4.0,Four Stars,Works well durable my son is thrilled
5.0,Very useful,"Very nice and specially useful ,I use it to study online ."
1.0,Soso,One was bromen
4.0,Dell quality,"I wish it had touch screen, my first laptop, my phone was to hard to read (small print)"
5.0,Reburished product which worked perfectly and no wear.,Item was exactly as advertised.
5.0,value price and quality,excellent handy and friendly
5.0,Loved My New Laptop,Laptop was delivered ahead of scheduled date.  My daughter was thrilled for her new laptop.
1.0,Cardador sin funcionar,El cargador vino fallado
4.0,Wonderful computer,Very good chromebook every day I use to watch movies.
5.0,love it,it works perfect
5.0,Easy Use,I like the whole product
2.0,this sucks broke within 2 days,this sucks broke witin 2 days
5.0,Chrome book,Perfect size and product
3.0,Not touch screen,It’s alright
4.0,Not touch screen,It was nice
1.0,Stripped wire.,I just unboxed and the charging wire is stripped. It powers up ok and appears to be changing. I had to tighten one of the bottom screws. Clearly can tell that it was refurbished. I will try to set it up but it's not looking very good.
1.0,It does not looks like a certified refurbished,It does not looks like a certified refurbished. It is more like a used for a long time. Scratch everywhere.
1.0,Was also dirty upon receipt,"Worked less than a month, was delivered in a box with a cord and nothing else, Was also dirty upon receipt, the screen is separating, won’t even turn on. Not sure it was ever refurbished."
3.0,had to contact the school system where it had originally ...,had to contact the school system where it had originally been set up to get the IT administrator to release the computer for setup here
1.0,One Star,Was very excited but screen broke after only 2 months.
4.0,Four Stars,Received product on time and as advertised
1.0,It not helpful at all,It doesn’t not windows lap top and to slow to process
3.0,Battery Died Immediately,"Chromebooks were purchased for my kids as Christmas presents. They both operate fine, but the battery went dead in one of them after only two months of use. We had to buy a new battery that cost almost a third of the price of the computer!"
4.0,Product has been working great since I received it,Product has been working great since I received it. I've had it for two weeks now with no complaints. The 4GB ram makes browsing the internet quick and painless.
