ratings,rev_head,revs
4.0,overall pretty good (from someone who is only familiar with using a mac),"I'm not tech savvy, my bf actually recommended this to me. Overall its a pretty good laptop. I had to purchase it for a class I'm taking that requires the applications the laptop has to offer. I primarily use a mac book pro (early 2015) so I'm not used to the dimmer lighting of the screen of this laptop even at its full brightness. the track pad needs a little more pressure if you're right clicking or left clicking, i've had friends who borrow it, who use pc's who aren't used to having to ""press so hard"" (as they put it) and have gotten a bit frustrated"
5.0,"Great bang for your buck, recommend Linux","Number one is the price, this refurbished computer looked brand new upon arrival. The screen resolution is a 1920x1080 which is full HD. Comes with a CD-rom which are hard to find nowadays. Also lighted keyboard and a touchscreen."
5.0,easy to install software,"looks like it's brand new, very easy to set up"
5.0,"Fast Shipping, high quality purchase.","Laptop was shipped immediately and was received very fast. Everything came as advertised, looks and works as brand new. Refurbished products from this seller can be purchased with confidence."
5.0,Product is exactly as described,Love the speed of this laptop. I'm still getting used to windows 10 but I'm getting more comfortable with it. So far I'm  happy with my purchase. Great laptop for a great price!
5.0,Very happy with pic n how quick company sent it!,Very very eased with pic n how quick delivered
5.0,No problems,It works as expected.  I like having a touchscreen.  My old computer was nine years old and very slow.
5.0,Great value,As advertised great value
4.0,It’s affordable,Perfect for a student.
5.0,amaizing Laptop,I am using it from 2 days. speed is very good.
