ratings,rev_head,revs
3.0,so you'll need to buy something like a Micro SD card with 32-64 gb,"For the price, can't complain. It's a tiny, light laptop. But I honestly think my phone is more powerful."
4.0,Great Option for Students and Casual Users at a Good Price Point BUT get a MIcro SD card!,"I am pleased with this device and use it for a few activities while on the road traveling: email, word processing and web surfing (videos).  This is great for students and the form factor is small so it is perfect for travel.  However, there is some work to get it going out of the box and if you are a technical person, you can make this system run well.  As a technical person myself, I will break up my review into 2 parts - a non-technical section and a technical section."
1.0,This was an unfortunate purchase,"This computer was purchased simply for the purpose of viewing the internet.  I added Google Chrome as it is necessary to view some of the sites.  This computer has a 32GB hard drive and is designed to run on Windows 10.  However, Windows 10 and all the ""accessories"" MS includes uses up 27GB.  It takes at least 8GB to install the Windows 10 update, so that can't be completed.  I don't know how long the computer will continue to function without updates but by the time I discovered this problem, the return window had closed.  Dell isn't the only company that is producing products with this problem.  This has been a very discouraging but educational experience."
5.0,Great buy!,"Laptop arrive really fast thank you Amazon Prime! Came brand new, loaded really fast with my WiFi and with several more connections I noticed once I saw it up close. Came with a cord and it also can connect to land line high speed internet as well. I also ordered the usb Ethernet adapter cable. The laptop is fast for new Dell. Great affordable deal new 2018 11.6 inch laptop. My apps loaded very fast as well"
1.0,No charger!,I can't believe this came without a charger
5.0,Works well for everything i need it for,"This laptop is very compact. I did have to buy an external harddrive to be able to keep all of my schoolwork with me. I use this to play minecraft, listen to music, and do schoolwork."
5.0,Five Stars,"Perfect for collage, performance is really good for the low price"
5.0,Its better than some of the reviews,"This is my updated review of this computer. In my first review I was quick to read other negative reviews. I tried most of the recommendations to make this machine what it is not, with little or no results. Plus I was frustrated with a small drive. When all that didn't work, I called Dell and this is how this product got upgraded to 5 Stars in my book. Dell tested the machine online with me on the phone and diagnosed a faulty motherboard, replaced it for free (shipping free as well) and now I have what the good reviews describe: a light weight, relatively fast, small laptop. I will say it does work better with 8gig of RAM and a 64gig storage. But nevertheless a good deal: good display and keyboard."
1.0,It’s slow,It was super slow and froze all the time. I was never able to actually get work done
5.0,"Awesome price-performance ratio notebook, if you set it up right","This notebook costs just ~140€ (!) and therefore your expectations must also be within the frame of this extreme budget price point. You will get what you paid for. This means that this notebook does have certain limitations and to make this ultra-low-cost device work properly you have to know a few things about how to set up a device running Windows 10 on just 32 GB of eMMC memory. The good thing is: It's not that hard. By the way, ""32 GB eMMC"" means: Buy an SD card too, it really is necessary!"
5.0,Good budget laptop for kids,"Good budget laptop for web browsing and light work loads, purchased it for a nephew and he is happy about it. No complaints so far."
1.0,Useless,"Absolutely the worst laptop I have ever owned. It is so slow the Web pages time out. When you close a tab or turn off sound a 45 second to 1 minute delay before it responds.  You can't adjust font at all. Only magnify the whole screen. Nothing is scaled to proportion.  Absolutely hate this product. This was bought for a back up in case my Acer went wonky. It is truly not usable in a work capacity.  You might be able to answer an email but it's going to tI me out a,few times while loading."
2.0,"Budget buy, budget performance.","Ok, so I've had this for about six months and I'm already needing a new computer."
1.0,Can I say P.O.S.?,"I have had this thing long enough to know it HAS to go back. I may be an ""Old Lady"", but I am FAR from an incompetent moron.. Got set up, connected to the net, attempted to do an update. Nope. The error I get says there isn't enough room to update Win10. ok. Meanwhile, EVERY time I have to restart, or am FORCED to restart, I get a CMainframe:updatefnlockicon Error, which I have been getting since I turned this P.O.S. on. Fun, huh?"
2.0,All I want is my Microsoft word to work. ...,All I want is my Microsoft word to work. I've used the computer 3 times since I got it. the start time is slow and my Microsoft Word doesn't open properly...
1.0,"Not 3.4GHZ, only 1.6","The only reason I bought this product was because the description said 3.4ghz, this ended up false. 1.6 is NOT 3.4 😒"
1.0,not a good laptop to access the internet,"Never ever buy one of these again. Very slow. Locks up all the time, not a good laptop to access the internet, I use it for an expensive door-stop."
