ratings,rev_head,revs
5.0,Excellent Laptop !!,"Excellent Laptop !! As my current laptop stopped working, I have been looking for a replacement. With the help of my IT friends i understood that Dell Latitude 64xx series is a work horse. Very powerful machine. Little skeptical as this is my first refurbished product in any category. But this company didn't disappoint me. They had sent clear notes on how to boot the machine and register. David even sent an email asking if i need any help. I got 6430 even though amazon description says 6420. Very decent configuration. Hard Drive size is less but you cant ask more in $200 laptop. It comes with 1 year warranty, which is a big plus. Booting is very fast as the hard disk is SSD. Able to setup easily and the laptop was up and running in no time. Overall, i believe this is a very good buy and value for money. Hope Blazing Prices could support if there are any issues. Its been 1 week and the review is based on that. I will come back and write more after few months."
3.0,It's OK a fairly good value. Not much capacity left in the battery.,"I can not complain too much about the value for the money it's pretty darn good. A ~4-5 year old ""kinda"" ok laptop. Mine has a squeaky space key (simple fix with a bit of prying and synthetic lube [plastic safe]), there's crap crammed up in the docking port mount pins (very common in corporate machines), and scuffs along the back, but, I can look past the cosmetics. It is very obvious this machine was leased to some corporate IT department at some point (the leases are usually 4 years) and has quite a few miles on it. It was not supplied with a Dell official power supply, just some cheap knock off, again not a deal breaker, companies often do not return them. The fingerprint reader hardly works but I don't know if it is just the state of the technology when the laptop was produced. The most disappointing thing is that the battery only has about a third of the advertised capacity left in it (see the image). The UEFI says it's time to replace it. I have ordered a new 9 cell battery from a knock off supplier to keep the costs down. It should provide substantially more then the ~1 hour I am getting with the provided one, even if its spec is overstated. Also, when it came 60GB of the 120GB SSD was filled with the OS leaving me with only 60GB for applications and files. Just bear in mind, 120GB ends up being kind of tight after getting the OS and applications setup. I ended up buying a new 250GB SSD.  This was my first ""Certified Refurbished"" and my impressions are not quite stellar. In the end everything ""works"", the Windows 10 key was legit and the refurbish-er did a pretty good job, so I am mildly happy with the purchase. I would probably buy again because even though I there are shortcomings and I have had to buy replacement parts the price to value ratio is pretty good. If you are not into replacing parts on your laptop when you first receive it you may want to look else where."
1.0,Not worth it.,"I really wanted to be excited about these computers. I know others who have bought them and are really happy with their purchase, but that was not the case for us."
5.0,"Outstanding Deal, Performance and Condition","The unit I received was sold by Blazing Prices, and refurbished by Joysystems. Without hesitation, I can say that this is the best value (and quite possibly best performing) notebook I've owned (a MacBook Air among them). With the SSD, this boots into the Windows 10 sign-on screen in 6 seconds (from power off), and just a few more seconds to a fully ready desktop after login. Cosmetically, though not in brand new condition, it's in extremely good condition. The only places where there are a few minor scratches, are spots you'll never see. Two thumbs up to Joysystems for the refurbishing job, and Blazing Prices for the good deal."
5.0,Possibly the best deal on Amazon,"For the price, this is an awesome deal. My refurbished laptop arrived looking and running like brand new. In fact, It's considerably faster than the $800 laptop it replaced. It's missing a couple of features than would have been nice (side numbers and a webcam) but the webcam is pretty much a luxury anyway, and I have one on another laptop. The reason I bought this was that I had previously bought one for my daughter to start college with, and I was so impressed with that one that I purchased a second one. It's a workhorse of a computer and takes all that I can throw at is as a web developer and graphic designer. In fact, I'm sick that I spent $1250 on a new Toshiba back in January when this one performs just as well. I noticed that some other reviews stated problems with some sellers and units that came in with different specs than advertised. I was lucky in that mine's exactly as advertised. Providing you don't have those problems, I can't recommend this laptop highly enough."
5.0,Incredible Deal and Aesome machine!,"These Latitude E6420's are the beast! Yes, and the best. We have bought 4 of these in two separate purchases and are really happy with their endurance and performance. Two of them we have in conference rooms for various types of large led screen presentations. Another in manufacturing supporting proprietary robust applications and another for CEO remote use. Incredible awesome machines!"
5.0,"Considering they retailed for nearly $1800 new, this is a bargain in a very rugged machine!!","Certainly meets my expectations as a refurbished computer. I would say it is much closer to ""New"". Not a single wear mark on the machine anywhere. Performance is more than adequate, and the solid state hard drive is absolutely a huge win for performance. I will be installing an additional 4GB of ram into mine although it performs perfectly with the 4 already installed."
4.0,Pretty Average Laptop,It's an ok computer. I used it as a temporary machine for work and ended up going back to my Aspire e1-5323-2616 after fixing its keyboard and OS. But the lack of camera is a bit of a downer. I like harassing people on video calls.
5.0,"Solid performer, great feel on features and build","This laptop feels solid, has a nice symmetry to it, the screen size is perfect (not too big, not too small), nicely bright, and great keyboard. The biggest surprise for me was the keyboard, which has a separate numeric keypad area on the right side. Not what I had expected but a nice surprise. Sadly I can't seem to find other laptops of this model and configuration or otherwise I would buy me a second one. Came with Windows 10  Professional which is the way to go if you're to use Windows at all. Like my previous Dell E6410, this one has a secure future as a Linux Mint laptop."
2.0,"""Certified"" Refurbished","Based on the condition of this laptop, being certified means nothing. The case was chipped and deeply scratched. Above the latch is cracked so that it is difficult to open. It was missing a screw,  one of the 4 that secures the hdd. This is just plain used and in poor shape for used. Certified refurbished must mean hard drive reimaged and laptop thrown into box without a second look."
