ratings,rev_head,revs
5.0,This is a solid laptop but on the heavy side,"I upgraded this refurbished unit up to 32 GB memory and replaced the 512 gig ssd drive with a 1 TB ssd drive and reinstalled windows 10 pro, this brought the laptop up to today's standards at a lower total cost then buying a new high-end laptop. The Intel Core i7-4900MQ is a i7 4 core processor that will meet most any needs that only a hard core adobe premier user might push it's processing power."
5.0,Beast Mode!!!,Fast delivery. Fast response.
3.0,Great PC with Problems,"I love this laptop, but I have had a few problems. After a week, the screen has started going black after closing and reopening the lid. I have tried a lot of troubleshooting advice to no avail, such as updating video drivers and flashing bios. I have just tried one more thing (updating chipset driver), so hopefully that fixes it. The computer also wasn't recognizing SD cards, but after updating the mentioned driver it does. I love this PC and want to keep it, so I will try to get it to work, as the seller does not do replacements, only refunds, and the price has gone up $50 since I bought it. If the problem goes away I will gladly raise this to a 5 star review; if not, I will lower it and return the product."
5.0,Cost Effective well performing windows 10 box,I was going to build a desktop but just the cpu cost more than this laptop. no hassles starting it up. it comes registered as win 10 pro. I plan on using it for writing code
5.0,Your mileage may vary,"With multiple sellers, and probably with the same seller your machines configuration may vary.  However I was extremely pleased with my laptop."
5.0,Almost new.,"I wanted a computer to run Fusion 360 and needed real horsepower and good graphics.  This computer has exceeded my expectations .  Works perfectly and looks lightly used.  Battery works well, almost 4 hours while running fusion 360 and watching videos at same time.  This is a heavy weight and heavy duty unit designed for commercial use.  All aluminum case and a really smooth keyboard.  The wifi is amazing in this computer, it has full strength and great speed in the same places my cell phone and chromebook frequently loose connection."
5.0,Looks and performs like new.,"They must have installed a new keyboard and did other things to it because although it's a refurb, it looks brand new.  No dead pixels either.  Outperforms my new $1000 Lenovo work laptop in all areas except disk which is expected because this unit comes with rotating media which does not matter to my son because he's playing games on it; the Nvidia helps a lot.  This was a great purchase.  Can't beat the price vs. performance ratio."
5.0,"the laptop is clean looks like new, works just fine",thank you very much
1.0,"Could be excellent, but it wasn't",I bought the model with i7-4900MQ Processor but it came with i7-4810MQ :(
5.0,Great budget computer. Well worth the cost.,This is a Great machine for the people on a budget. This computer saved me over $1000. The graphics are pretty good I’m even able to play some of the most demanding games. Shipping was quick and it came packed in bubble bag this thing could’ve been dropped from 3-5 stories and survived the fall. I had to call them to find out how to activate the Windows 10 but then I read the slip they sent with the computer. They were very helpful and professional on the phone even though I was calling to ask a question they had already answered. It helps to read before you call.
