ratings,rev_head,revs
5.0,Excellent Laptop For the Price,"I love this laptop. I am using it mainly for my school work, I do full time classes at university and some are online. I needed something light and fast that I could travel with. If you are looking for something that is a powerhouse laptop at this price point you are fooling yourself. I am surprised I got this good of a deal on a laptop with a SSD in it. I bought this laptop with the mindset that I wanted something that was fast and could do a light work load because I have a powerhouse gaming Desktop PC at home, so I did not need something over the top in a laptop. I also wanted it to be light for travel. If you are looking for something that will run High FPS Games or Adobe products smoothly I 100% don't recommend this PC. This computer can handle simple games, I like to play My Time at Portia and it can run League of Legends, but most potatoes can, so it's not a gaming PC by any means, but you need to check the Games themselves and see the lowest setting you can run them on (Like you should if you are a gamer and wanting a new laptop)."
4.0,Great Laptop for Price - first impression,"I bought this laptop knowing it wouldn't be a powerhouse. This is a basic laptop that functions well for a great budget price. I bought this for the online classes I am taking and some light internet browsing, aka Pinterest, Facebook, etc. I wouldn't recommend it for gaming or for if you need any software like AutoCad, photo editing software or for work purposes. This is a great personal use computer and for school depending on your degree.  I immediately uninstalled the game pack that came with it. I wish you could uninstall the other bloatware that comes with it, unfortunately I am having a hard time finding it to uninstall. There are so many ""trials"" for games, dropbox, etc. that I don't want popping up all the time hence the 4 stars."
3.0,"Obsolete technology, not a good value","I bought this CF0014DX computer because it seemed an acceptable package at (relatively) affordable price.  I returned it because the network adapter is terrible in my environment.  After finding better options for the buck, I realize this computer is a poor investment for most people."
5.0,Nice laptop,"I bought this in a rush when my Dell died suddenly.  I basically looked at price and the reviews.  I was interested in a home laptop to use for emails, surfing, and Office applications.  I'm very impressed with what I've seen so far.  Good battery life, nice size (14"" seemed a lot smaller than my 17"" Dell, but as noted in other reviews, the design of the keyboard gives me the same keyboard area as my Dell) and it's very lightweight.  No complaints at all.  For the money I think this is a very nice laptop."
4.0,So far so good,"I've only had this for a day, but it looks great in terms of speed and ease. Looks like a good laptop for the price. I will be using it basically for writing and browsing the internet. There was a lot of MS bloatware though, that I got rid of. Only thing, description says Ash Silver, I got Gold. Other than that- looks good. Seller: TechFamily."
5.0,"Good laptop, hasn't frozen yet, even with an i3 processor.","I bought this with on a tight budget. Even though I was kinda doubtful about it having an i3 processor, I am very satisfied with it. I'm currently using it in a nursing program, where I take exams online. It hasn't lagged or frozen during my exams, yet. Hopefully it'll stay like this for the next 2 years. I don't do anything else on it except for school related stuff, and it is runs good enough for my needs."
5.0,High value laptop,I'm really only using this laptop for three things
5.0,"Good simple computer, good value for the $$$","Some reviews compared to a Macbook, which is unfair. This computer costs 1/3 price and you should expect some trade offs for saving that $1000. I am using it only for internet access and simple word processing, spreadsheet tasks. Does those jobs admirably. It is a bit slow to start up and needs a nudge to connect ""automatically"" to my trusted wifi networks. But nothing a couple of seconds patience won't overcome."
5.0,Love it,Just received today and so far I love it!  Super fast. Love that the keyboard doesn’t have the number keypad. Keys are large and easy to type on.  Screen is super clear
5.0,Great laptop for students,"I'm a college student so I needed a laptop that was lightweight, portable, good battery life, and can run multiple programs at once (i.e. Excel, Word, Chrome). I've had this laptop for almost four months now and it has met all of my needs and then some! Battery lasts all day, laptop is extremely light, and I can easily run many programs at once. I got this to replace an older Mac Book Pro, and this is an upgrade in my opinion."
5.0,Solid laptop for the money,"Laptop does what is expected. Make sure to at least upgrade to the 8MB RAM, otherwise expect a slower processing. Otherwise this is a solid low prices machine. I use it for web surfing, word, excel, and powerpoint. Not sure I would expect more from it."
4.0,Very solid so far,Ive had it for about a month. I was tryibg to find a decent laptop for around 400$ that i would be able to work off and stay mobile with. It does everything I need to run my buisness and has pretty good battary life. One thing I really like is how fast it boots up it comes on in seconds and loads programs fast. Browsing speed is really good too and im able to multitask without slowdowns. The screen is good but is subject to glare pretty easily at times. Touchpad is solid as well as the keyboard. Its not incredible in any department but if youre looking for something that can keep up with a fast paced lifestyle it works great. A solid laptop at a great price point. 7/10 in my book.
