ratings,rev_head,revs
5.0,Like previous viewers have said,"Like previous viewers have said, this laptop comes with a lot of bloatware. Right out of the box I did a Windows 10 reset and it was gone. After that, it was a screaming fast machine! It does not come with a word processing program, but Apache OpenOffice (google it) is a free download and it is almost everything that Microsoft Word is. I am not one to be heavily involved with spreadsheets/Excel, so this program was great for me...same interface as Word. For the price, you would be hard pressed to beat this laptop. Just be sure to do the Windows 10 reset (very easy...just takes a  bit of time) before you do anything else or else you will be plagued with preinstalled trials, bloatware, and silly programs."
2.0,Useless out of the box,Useless out of the box. This machine was crippled with HP bloatware/crapware that rendered it unable to function. It wouldn't make it through Windows update out of the box. After using Windows 10 Fresh Start and reinstalling the operating system without the manufacture provided crapware the computer is fine. None of the provided software other than Windows 10 is needed or what you want.
4.0,Good System if you delete bloatware,"For the price, you can't complain.  Just remove the bloat-ware and it is a solid machine."
4.0,Great... but like the others say you have to wipe it to make it functional.,All of the reviews are true both good and bad. The bones of this computer are great but the Windows 10 version and all the extra junk HP loaded on it make it function like a computer from the 90's... with dial up practically.
5.0,A GREAT DEAL,TOP GRADE MERCHANDISE:
4.0,"HP Premium 15.6"" Laptop, 2018","New version, 2018.  This laptop works right out the box.  However, I was not careful beforehand:"
1.0,Pc is very slow out of the box. Not even good for beginners. Barely plays low end games.,"So besides the long wait on shipping the product got here and it turned on no issues. But like everyone else out of the box the cpu usage was at 100%. I reset the whole thing and reinstalled windows and the problem was not cured. I bought it for the cheap price but even cheap should mean useable. If you can afford to spend more and not get this laptop, do it."
1.0,Don't buy HP,"Absolutely ridiculous purchase. Click on Chrome, IE or Firefox-3 pages open and I cannot type in any search bar. Try to read an ebook? Takes minimum of 15 mins to open the book, and then it sits for another 5 or so before you can turn a page. Want to open a word doc? Forget it. I've had this for two weeks so there's nothing to even defrag-I've run multiple virus scans etc. This is not user error. This is a bad product."
1.0,I've spent hours hunting for something I can use on the stripped piece of crap. So I'm returning it,"I bought this thinking I could use it to edit home videos, wrong! I bought this with a r/w dvd burner drive but can't use it without buying an app to use it. I have been using Windows 10 since it came out, it has mover maker, dvd player, basic word etc. this one has nothing. I've spent hours hunting for something I can use on the stripped piece of crap. So I'm returning it. Of note the ad does say  ""windows latest edition"" which must mean worthless."
1.0,Its cheap and is cheap!,"I would say very disappointed! I have spent more time trying to get things to work or stop working (getting auto hover click off is impossible , search it for windows 10) I guess you get what you pay for. It was cheap but not even worth that money."
1.0,Battery not detected.,"I bought this laptop in June 2018 and On first use I realised the laptop was very slow, eventually I got accustomed to the speed and everything was working smoothly. So we're in November now right. I leave my laptop working perfectly fine the morning then I get back home the evening the laptop can't work without the charger. The laptop keeps saying ""battery not detected"". No the laptop has not fallen. And nothing seems to be wrong with the pins at the back."
5.0,5 stars,"Like others have said, the first thing I did was restore Windows 10 to factory settings. Removed 15 unwanted programs. Then installed all my needed programs. Great laptop for my needs. No gaming, minimal [GoPro] video editing, great “work laptop.”  Fast boot-up and wake-up times."
4.0,Get rid of all those unnecessary programs first.,"I Cleaned off the bloatware (the CPU was running almost to capacity when I got this computer ) and it runs good. It  is not lightening fast, but that is expected for the price. I don't do anything fancy on a computer, so it is OK for me. The power button is a little slow to respond. So far, so good."
1.0,Please do not buy it!,"I wish I never purchased it. It runs SO SLOW, it can barely handle more than one window being open at once. God-forbid you close the laptop and open it back up...once the pin prompt FINALLY DOES come on, the system takes 10 -20 minutes to start recognizing clicks.The keyboard is very difficult to use. I was returned it on second day after I purchase! Please do not buy it!"
5.0,Works great for me!!,"I use this as a travel laptop for my art and it handles photoshop cs5 with no issues. It does come with bloatware, but once you clear those out it's a great laptop. I'll probably buy another one for my husband!"
1.0,Very laggy and slow with tons of bloat ware. **UPDATED REVIEW**,"This laptop is very slow and full of bloat ware. My 10yo bought it for mainly homework, but its very slow and laggy to where he always complains when he has to do his homework on it. He also tried installing Fornite, but it was way too slow and laggy to even play. I do not recommend even for starters."
1.0,Garbage,Bought two computers for the start up of my business. Delivery was quick as always. Fresh out of the box one laptop was fine after updating and the other had issues. The system bios has crashed several times. Blue Screen..
1.0,Junk,This laptop is so slooow don't waste your money I smashed it and threw it in the trash. Just could not wait for it too boot up one more time trying to reset it.
2.0,Not something I would buy again,"Slower than molasses, I had to completely reboot within 2 hours of owning it. It is for sure the last HP I will ever buy. I was on the phone with HP for 1 hour, and they told me to reboot it to factory new. I was told that it would take about 3 hours, but it took 7 hours. The technician told me that I should only buy direct from HP. If this is the kind of service you get from the manufacturer, I am surprised that they have any retailors who attempt to sell these overpriced pieces of junk. Amazon will always have my business, but HP just lost me."
1.0,DO NOT BUY THIS PLASTIC PIECE OF JUN,"I don’t mind the cheap plastic feel to it’s outer shell or that the mouse and camera are from the Stone Age. I have external substitutes for those already (that were very inexpensive),but aside from those points.... this is the SLOWEST computer I have EVER used. IT IS IMPOSSIBLY SLOW!! It takes 15-20 minutes to boot up and needs to be rebooted every few hours. Nothing works well and everything takes several minutes to start or perform any task.  I’ve had this for almost two months and have given up, I’ll be going back to a MacBook to recover from my experience with this terrible machine."
5.0,Worth the Price!,"For the price, this is a great machine. Once you get rid of the soul-sucking junk that HP put on there, you have a solid machine that's lightweight."
2.0,Its ok Update: getting bad,"Nothing to go crazy over. Simple light work lap top. Update: after using for the 3rd time ever I realize how crappy the battery life on this thing is. I runs out of battery in maybe a hour flat. Not to mention its crawling speeds, please don't even attempt multitasking on this laptop. Sometimes it never responds and you have to master shut down because you get no response on screen at all. I took 1 star off."
2.0,"Slow. Loud, constantly running fan.","The fan runs constantly and is loud. It's driving me nuts, and it affects the volume of things you're watching. Also many things load slowly. I read that doing a Windows 10 reset will make it run faster, but I haven't tried that yet. Additionally, he bloatware is really annoying and things keep popping up."
2.0,"I did not get the 2018 new version, windows ...","I did not get the 2018 new version, windows 10 was not updated. Most of the other apps are 2016, so in order for me to use them i have to buy the new versions. So me getting a laptop v.s. a tablet is no diffrent. So the memory is already almost  full of stuff i couldnt use. I got ride of what i could, but its still disappointing. Change the sell info its wrong!"
5.0,Great Laptop for the price,"I just picked it up and it works way better than my other laptop. I read the reviews and depending on what you use the computer for if it runs slow, but new memory... duh!! I only need it for school not daunting tasks like game playing or streaming movies"
1.0,DON'T waste your time and $$$,"I bought this computer a little under a year ago as my personal computer. It's only used for very basics; scan and print every once in awhile, online banking, keeping personal financial documents. No gaming, no major memory usage. It has been a headache!! In the past month, it has reset itself twice now, loosing a lot of documents. It's SLOW. And it doesn't want to sync with my wireless printer anymore, no matter how many times I re-download the drivers. I bought it as an economy computer because again, just basic personal needs. It has not held up to any of my expectations. Don't buy it!!"
5.0,Great for School and Movies,What i love most about this laptop is its speed when using apps; office apps and its nice glossy hd screen when I watch movies and that's that. It could be better but it has all what i need and its a great size and light. Its not big and heavy its big and feather weight. Its a pity everything cant be like this :) .
4.0,Don't listen to the naysayers. Worth the money.,"You're buying the hardware, and to a lesser extent, the Windows license. If you have a problem with the software, change it. The internal stuff in this system is perfectly adequate for most every day use. Where HP, and you, save money is the chassis/finish. It's cheap plastic and it feels like it. This machine could really use another 4GB of RAM, but is definitely worth the money as-is."
1.0,Slow,About 7 years ago I bought a netbook for a bargain. I've been happy with it but over the years the guy has started slowing considerably.
2.0,"This laptop is crap, Please help HP I haven't even had 9 months","A blue screen keeps coming up, turns computer off and boots it back up.  I just start to do something and it shuts off again.  I scanned the barcode that comes up.  Followed and NOTHING it said we can't fix.  I want a replacement then,  I haven't had 9 months.  Please write me back"
1.0,I guess you get what you pay for...,"I bought this laptop to replace a failing one. I just wanted a basic laptop to print out forms, do some light word processing, and watch Youtube. Frankly, this one does not do any of these tasks well if at all. Now to top it off the machine itself will boot ,but the Windows shell won't load. That is on top of the fact that since I have purchased it its just slow. Opening a webpage takes a full minute sometimes and I'm sitting on a 100 mb connection."
