ratings,rev_head,revs
5.0,Excellent all around.,I rarely post reviews but I think this shop has a repeat customer in me. Hopefully helpful in it's length :)
4.0,Its seriously hit or miss. I ordered two of ...,"Its seriously hit or miss. I ordered two of these. One came windows 10 one came windows 7. The windows 10 came from amazon texas distribution and windows 7 from NJ distribution. I know because i ordered on same day and they came two different carriers. The windows 10 is going back, ordered another to play roulette again."
1.0,Not real happy with the vendor,"Laptop came with a dent in the outside top cover and two dents inside where the latches for the cover engage the lower half near the keyboard. Bottom cover latches near the docking port on the underside were unlatched and only one would engage and lock. When plugged in battery started charging, but Windows said no functioning battery was found so I suspect battery was defective. Biggest problem was Windows 7 wasn't activated and there was no activation code included. Windows also said the copy of Windows installed wasn't genuine. I ran a code retrieval program that got the activation code from the registry and when I tried to activate Windows it said the activation code was a generic one and couldn't be used. Got a return label from Amazon and will send it back tomorrow, reordered another from vendor Blazing Prices and hope to get a functional computer with the second attempt. Not real happy with the vendor, leaving in a couple of days on a business trip and need this computer for work-related tasks. With the delay I'll be hard pressed to get all  my software installed and functioning before I leave. Kudos to Amazon customer support tho for quick response tho,"
1.0,Simply never buy a Certified Refurb from this vendor. Please read details,Product came to me at the office in poor condition without the proper power supply. It is HP with a Lenovo power supply which didn't even fit the power connector on the laptop.  There was sticker residue all over the lid of the laptop from an asset tag I assume.
5.0,Works great. BTW,"The laptop arrived the very next day after ordering.  A little rough in appearance.  No matter as I didn't buy it for its looks.  This unit was over $1500 new, I paid $200.  A new copy of Win-7 is over $100.  I ordered this one as it has Windows 7.  The laptop is rugged and has an added feature, biometric security.  You just run you finger over the fingerprint reader and it fills in the stored password.  I use this to interface the computers in all of my Lincolns.  Works great.  BTW, the one I received is a little bit better than the original product description.  The one I received is a HP 8470P."
1.0,I would not recommend.,They sent me three computers.  The first was defective and the other two came without plugs.  I was going to return my third computer but they never returned my call.  Now I am stuck with it.  I would not recommend.
1.0,Wrong operating system installed,The computer arrived with Windows 10 rather than Windows 7.  I despise Windows 10 and ordered a refurbished computer rather than a new one specifically to avoid it.
3.0,The computer itself works fine and has the speed I need,The computer itself works fine and has the speed I need. But the battery doesn't last long. I will need to purchase a new battery.
4.0,It's a really good deal for the money,"It's a really good deal for the money. It's very responsive and runs quickly. The fan spins up load and starts generating alot of heat if many functions are loaded. This computer works well for low spec gaming and any other minor services you may need for a laptop. I play games like Mass Effect 2, Rimworld, TF2, Shogun 2, and Brawlhalla on here no problem."
5.0,You can't go wrong with this one.,Received well packaged computer that looks brand new. Setup was easy using the enclosed 'comic book' instruction sheet. I was surprised when I found the HDD to be 450GB. Everything worked well except for 2 of the USB ports. I contracted the seller and was told to contact the refurbisher HP. After trying HP internet support maze I found the computer did not have a serial number on record with HP. I again contacted the seller and was told that a return would be OK. I did some searches using Google and found a solution. So now all the USB ports are functioning.
1.0,Monitor Screen Issues,"I was excited to open my ""new"" refurbished laptop.  Nice packaging and the laptop was in excellent condition - no visible scratches.  Unfortunately after getting the laptop all set up, within just a few hours of using the laptop, the monitor screen was having issues.  The picture would glitch, pieces of it were missing and/or distorted, and then it would come back to normal.  In addition, I order the Windows 7 Pro and received Windows 10.  I am very disappointed as this laptop had so much potential."
3.0,Dead Pixel - different version of windows than advertised - decent for the price other than that,Seems to work ok (though havent tested battery yet) - but came with a dead pixel in the screen and what was advertised as Windows 7 Pro is actually Windows 10 Home - I would rather have Win 7 Pro for I could then upgrade to Win 10 Pro without an upgrade. I can return it for the deal pixel but will likely be out another $50-$75 since it took awhile for seller to respond and all the other laptops from other sellers that I was look at are gone at this price point.
1.0,A nice little laptop,"A nice little laptop, but it is not what I wanted.  I wanted a windows 7 laptop with windows 7 as the operating system. Can you send me a Windows 7 disk so I can install that operating system?  If not, how do I return it?"
4.0,Pretty good for the price,"They sent me a paper with it that had the wrong product number, I spent 2 hours till I finally took the battery off and found the write one the 12890 and j keys don’t work but I have a Bluetooth keyboard so that’s not a big deal for me overall it was a great buy so far"
1.0,Don’t do it,"Product came with cords that did not fit product and loose hardware. Too much money for such inferiority when I could spend less than 50 extra and get brand new and better. I didn’t want to leave any review but having received emails DAILY for a review of their garbage, I figured the only way to stop these requests was to offer the truth!"
1.0,NOT A WINDOWS 7 PRO SYSTEM,This laptop was not as advertised. This laptop was NOT A WINDOWS 7 PRO system it was a WINDOWS 10. I was specifically in NEED of a Windows 7 pro system.
