ratings,rev_head,revs
5.0,Just great!,"Hello, people! I’m not a big fan of writing reviews but this product is really good. I bought this laptop for my sister, she is a college student. Great computer with touchscreen. Fast, very responsive screen. Great memory capacity and RAM, which is very important for her. And a great price for all this features! I’m very satisfied with my purchase."
4.0,Like the touchscreen,"Like the touchscreen.  Had to disable some stuff.  I really don't want to talk to my computer.  Seems to work great.  Didn't want to pay for Microsoft Office, so I found an Open Office that works well.  Sometimes I pause to look and it responds too well -- if I hover over anything it takes me there even if I just stopped to read something else."
5.0,Make sure you have unlimited Internet data transfer for downloading the Windows OS Upgrades. There are many.,"I gave this laptop five stars, because it is all that I had expected it to be and I like it very much.  HP has made all of the necessary upgrades; so now it works absolutely perfect."
5.0,My Windows updating was very fast,"Great laptop..runs fast and I love the full size keyboard.I will say the windows updating took no time at all for my computer.I noticed some reviewers were complaining it took forever to update.It could be your internet connection possibly,because I don't think it's the computer."
5.0,Amazing laptop!,"This was the first laptop I've ever purchased, and I couldn't have picked a better one. I'm not a gamer, I simply wanted a good laptop for browsing, occasionally watching movies on, and bringing work home when necessary. This one totally fits the bill. I've had the laptop for almost 6 months and have had no problems whatsoever. The touchscreen is perfect and if you'd rather use the keyboard that works great as well. I listen to music and the sound quality is good. I'm able to log into WiFi seamlessly and the Bluetooth feature is great to hook up to my other devices. It's fairly light and easy to carry either in my bag for travel or simply to another room in the house. I've read the other reviews about this laptop not being fast and taking forever for the updates to download but I've never had a problem there either and I'm a rather impatient person. Note:  Even though I know there are other free options out there, I actually paid for Microsoft Office after the free trial ran out as it's worth it for my needs."
5.0,Great Value.,"With the disclaimer that I primarily use my laptop for internet access, this is a great computer for the price.  Much faster speed and a much more ""solid"" feel versus my old laptop of a different brand.  Love the touchscreen. Though there are not a lot of bells and whistles on this model, if you use it for internet access and are not a gamer, I think you will love it.  Great value for the money."
5.0,It runs fast and I would highly recommend this computer for school work,I recently purchased this laptop for school. It runs fast and I would highly recommend this computer for school work
4.0,The computer came on time and in good shape. It started right up and I had ...,The computer came on time and in good shape. It started right up and I had no issues connecting to the internet and getting other functions to perform. The updates that were required only took a few minutes. The only downside is the contrast on the computer screen. It looks washed out and in some cases it is actually difficult to read. It appears to be pretty fast on most functions. All in all though a nice little computer for $450...
4.0,Wifi not connecting (intermittent/ slow)? SOLVED,"I read the reviews about the laptop and saw that many have complained about the wifi being slow or intermittent (or even not working). I had the same problem with this laptop and a similar model. I was able to solve the problem by updating the drivers for the network card. This is located in Device Manager under Network. If you don't know how to do this search Google....I promise there is plenty of info about this there. Other than that problem the computer is ok. It's not the fastest laptop ever, but for the price it's about what you should expect. Hope this helps somebody out there!"
1.0,Apparently people who make laptops think hard drives aren't important,"Bought it to replace an old laptop with hard drive problems. Instead, I get a laptop that turned on for the duration of set-up and then a few minutes after looking online, shuts down due to not having a boot device/hard drive installed. Ironic I bought a new laptop to escape hard drive issues only to have new hard drive issues brought right to my door(To make things worse, I paid extra for 1-day delivery). Thanks but no thanks. Will return immediately."
