ratings,rev_head,revs
5.0,This is a great laptop for the price!,This is a good little laptop.
4.0,Great machine for Linux.,"I was hoping that this machine would behave well under Linux, and so far, it has."
5.0,This Little Laptop Is Killer!,"I recently was in the market for a new workbook / laptop, I have owned several high-end Macbooks in the past but was in search of something simply for browsing, streaming and word editing without spending hundreds if not thousands of dollars."
3.0,please read before buying.,do not order this laptop because it has ONLY windows s-mode and there is no way to deactivate this unless you spend more money to purchase and upgrade. I returning this back asap!
5.0,I had to downgrade from my disturbed  15.6,Thought I ordered an 14 inch
5.0,First time user,"My daughter received this as a Christmas present. She needed her own laptop for school work. And she loves it. Easy to surf the web, check her emails and do school assignments. The only thing was that we had difficulty with Microsoft 10 not letting us download  Chrome. It took a lot of time to figure it out.  Other than that it's a great laptop for a first time user."
1.0,Defective,The screen had a big black spot that was the size of a half dollar and looked like it may spread further on to the screen asking to return at your expense for defective item.
5.0,Nice small lightweight computer!,"This is exactly what I was looking for, a nice small lightweight computer to take with me when I want to do some writing outside of my home.  I just got it so I haven't used it too much yet but so far, it works great.  The screen is small but I can use MS Word and change the font size for easier viewing.  It has two USB ports.  The screen has beautiful crisp color.  Great price from HP.  My home computer is an HP, I love their products."
2.0,DEFECTIVE! RETURNING IT. SAD NOW. :.(,"I AM VERY SAD. I have been so excited all week waiting for this computer to arrive. I opened it tonight and was pleased to see that it was very nicely packaged in its original HP box. I charged it up, turned it on, and OH NOOOO THERE IS A BIG DEAD SPOT ON THE SCREEN!! I bought this item for the sole purpose of using it for digital art. I can not use it if there's a big ol' patch of dead pixels in the way. I'm returning it and will buy a different laptop from a different vendor. So disappointing. I do not recommend."
4.0,Good value economy laptop,"Had to return first unit. Space bar would often not register a keystroke. Amazon quickly sent a replacement. Basic computer. Needed something cheap to throw in my backpack or browse online while on the couch and this fit the bill. Wish HP offered a 6gb memory version, 4 is just barely enough to run windows and a few browser tabs. Other than that works great."
1.0,Can not even set up.,Set up not possible. Ask for birth date. Enter it and would not accept  .
2.0,Space bar works terribly,"I just need this for times when I am away from home. I am so terribly disappointed because the space bar works terribly. To send it back would be so much trouble - I expect things like space bars should work just fine, but this is a pain. I have to pound on it to make it work  and it only works if I pound it in the middle.  This means I have to take my hands off and on the keys, resulting in several typos. Don't buy it."
1.0,...,Receieved a laptop with a damaged screen...
