ratings,rev_head,revs
4.0,I Like It!!!,"I received this computer this past Friday.  In the past, seems like I spent the first couple of days just updating Windows.  I was never able to do much work or just enjoy the capabilities of a new laptop.  Imagine my surprise when I started this one up and Cortana walked me through the set up (prior computer was a Lenovo (Thinkpad or Ideapad) Windows computer that had been upgraded to Win10 several years ago).  This was a much more pleasant experience.  I have been reluctant to use any type of voice actuated anything (guess I am a dinosaur).  Set up was a breeze.  I spent a couple hours Saturday updating the Dell system drivers, etc. nothing extensive and have been enjoying this new laptop considerably."
1.0,"Can't use this ""new"" machine","I purchased this 8/2 for my son's 13th birthday, which is today. He opened the laptop, very excited to set it up. Well....it is registered to another gmail account and we cannot get into the computer to use it. I guess maybe it was purchased and returned?? It is completely unusable to us without the pin and password from the previous owner. Also, this was purchased as a NEW item."
5.0,Great laptop using windows 10!,Not a bad laptop.
1.0,Dell is a dud,"I bought a Dell computer several years ago and had a bad experience with them in terms of support but thought I would give them another chance with is purchase. The price was reasonable and the specs were more than what I expected for the price. When I got it, I tried to load a basic bible program and it would not recognize the program and was super, super slow. I took it to Geek squad and they supposedly checked it out and loaded that program that I couldn't and told me it was ok. I got it home and it is still super slow to boot up. I tried to purchase 365 from Microsoft and every time I tried to buy the download, it stops nd says that there is a problem with the PC and restarts automatically. I tried the purchase 4 times and each time it did the same thing. I am junking this Dell and going back to HP. Should never have left them. Never had a problem with their PC's. Dell is a dud."
1.0,Beware,"I purchased this computer 14 days ago, brand new. After day 10 I started having issues the start menu would not come up I could not access the start menu at all. So I called Dell they walked me thru the steps of trouble shooting it. After I completed the troubleshoot the computer restrated & never booted back up. It would should show the Dell screen then go black with loading symbol. Dell said I had a Warranty & could send it to them to be fixed but it’s not guaranteed that it can be fixed. I was sold a defected computer but I’m happy that it happened this quickly because I returned it today & is waiting on my refund. My next purchase I will do a lot more research."
1.0,Too slow,Bought it as a gift for my brother but I don’t think he will have patience to use this. It’s too slow and makes weird cracking noise. The moment i turn it on the fan makes a loud noise. I
4.0,good price,"laptop very functional and effective in terms of capacity, excellent design and quality, to use daily in a day of study or work."
5.0,"Good price, easy set up and works great","Good price , easy set up and works great."
5.0,Great Laptop,Great Laptop. Very fast. And very good deal. Works great. Handles multiple tasks really well.
1.0,"Slow, very slow",Incredibly slow. Like a laptop from the 90’s. I installed 4gb extra ram which didn’t do much. Runs at close to 100% cpu with 2 browser windows open. Going to have to sell to someone who doesn’t need speed and repurchase something else
1.0,One Star,Package arrived on time in excellent condition. The computer however is shockingly slow. Basically unusable.
5.0,seems to be pretty decent.,seems to be pretty decent ..got it for my 80 year old mom so I put classic shell (like win 7) on it as she would have a rough time learning win 10 lol. The laptop starts up a little slow but once it finishes booting it seems to work pretty good she seems to be happy with it and i dont hear her complaining like with her old one lol...her old one was getting really old..it still had win 7 from when win 7 was new.
1.0,"Terribly slow, odd track pad (no buttons on track pad)","Extremely slow, after two weeks of owning it I am still experiencing 12 minute boot up times. I have contacted Dell who reviewed my computer remotely and told me everything is working fine. When I click to access the start menu and attempt to shut down, it often takes over a minute for the screen to come up. I have tried installing programs (Dell's own remote access program) and have been unsuccessful, the screen will go blank and take several minutes to restart. Sadly, in my haste I threw out the box once I had opened it so I can no longer return it."
1.0,SLOWER THAN A SLOTH,"Cannot even imagine why anyone would rate this above a 1.  If there were a negative star, I would pick it.  Its slow and continually freezes, and that's only trying to access a site through Chrome, nothing complicated.  My friend purchased it and missed the opportunity to return it due to health issues.  I'm writing this on his behalf because he can't and we will likely have to buy him another and toss this one."
1.0,One Star,It works very slowly and freezes and lasts a long time
5.0,Great Dell Laptop,"I have been pleasantly amazed at the quality of this laptop, especially for the price I paid.  I did take the liberty of replacing Windows 10 with a Linux OS, since I am not a Windows fan, but overall, this Dell has surpassed all of my expectations.  How it holds up in the long haul remains to be seen, since I've only had it three weeks, but if it keeps up as is did out of the box, I will continue to be happy with it, hopefully for a very long time."
4.0,"Good, decent computer at a good price","It seems this is getting reviews from other models as well, so I'll be clear.  This is a brand new, 15 inch laptop computer, not refurbished.  This is a decent, basic computer.  Many reviews are calling it slow.  The first startup is a bit slow, as its in setup mode and you have to get your profile and all that worked out, so it did take a while to boot up.  Every subsequent time I have opened it up, it boots very quick.  Once I had it started up, I was pleased.  There is very little bloatware (unnecessary programs installed), and everything works well and fairly quick.  It's not slow, but not fast by any means.  I had no trouble running the internet along with another program or two.  If you want it to be faster, the RAM can be upgraded to 8 GB which should do the trick (it comes with 4, but has room to upgrade it).  The picture is nice, and everything works well."
1.0,Buyer Beware,This computer was beyond slow and didn't work for me at all so I returned it. Not sure if I just got a defective one but I would not recommend this to anyone.
4.0,So far so good!,"I just received my laptop today and I'm pleasantly surprised that it does not seem laggy at all despite being a very low-cost model. I agree with some of the other reviewers who mentioned the screen in their reviews. I don't have an issue with the brightness, however, I have noticed that it seems almost as though there's a barely noticeable fog over the screen. It's not truly bothersome regardless. I am impressed with the speaker sound. It is much better than I anticipated for the price.  After just a few hours of use, I'd recommend it."
3.0,Cheap for a Reason,Over the last decade I have owned about a dozen notebooks and laptops.  I often purchased them used and then upgraded them with more RAM or improved hard drives.
5.0,Dell laptop,Had a problem right out of the box. Video card is bad.
5.0,It came earlier than expected and was in perfect condition. It runs great and has a lot ...,I ordered this laptop for mostly school and to play Sims 3. I was skeptical about ordering a laptop online and having it delivered. I started thinking about all the things that could go wrong so I got next day delivery. It came earlier than expected and was in perfect condition. It runs great and has a lot of space. The sims 3 runs pretty good on low/medium settings. Overall its the best laptop I've had in years.
5.0,Great Dell for the price,"This is my 3rd Dell, and I think its great for the price, with 1 yr Dell warranty. I ordered this Dell because my old one died after 7 years of use and it was going to cost me more to fix than buy this one, which is almost the same model."
1.0,Very slow having problems with loading and running programs but a different type,I’ve been having a lot of problems with this it’s very slow turning on and it’s not having a hard time running my excel I only use this to do payroll of 18 people and email the excel file to payroll company I don’t use it for anything else I don’t scroll internet I don’t play games or watch movies when I bought this it was inexpensive and I thought no more then I was going to use it it would be a perfect laptop at this point It takes me forever to get payroll done it use to take about 30 minutes now since I started using this laptop it’s taking over an hour and half I’ve tried to reset reinstall ever I’ve bern told to do to speed it u but nothing has worked I wouldn’t suggest to purchase this laptop I like dell but maybe it’s just my laptop or maybe it’s all of them but I wouldn’t purchase again
1.0,Cannot get support,"I purchased this laptop 3 months ago.  The power supply got damaged and all I want to do is purchase a new power supply for it.. I called Dell who says the item is not supported because it was manufactured in the United Arab Emirates.  When I purchased it I thought it came with a warranty, but the warranty is not worth it if no one will support it.  But I don't even care about that, the laptop works.. all I need is a new power supply..  but neither Amazon Prime nor Dell is willing to help me.  Dell only offers for me to send it back for a full refund.  When all I need is a new damned power supply.. I am even willing to pay for it.. I want to order 2 power supplies so I have an extra just in case.. Really wish I could get some actual good customer service instead of nothing but run around.."
1.0,Very Disappointing Performance,"Once I received the laptop, I was hoping to upload some basic programs like MS Office, but I found the laptop was very slow and did not allow me to load the MS Office product.  I called Dell Tech Support and they went onto my computer to check out the system.  There Windows 10 program and the DVD system was very out of date.  After 90 minutes of them working on the new laptop, the Dell Tech Support representative suggested that I return the laptop since the programs were very out of date.  I was expecting that this laptop would be ready to use right out of the box and it was far from that."
3.0,No Power Cord & Runs Kinda Slow,"This is a decent laptop, but seems to run kind of slow from what I'm used to. My work laptop is a Dell and I thought this was a similar laptop, but you can tell how much slower this one runs compared to my work laptop. However, for the price it is a good laptop for personal use. The one complaint I mainly have is it didn't come with a power cord and was dead when I received it and couldn't turn it on to see if it even worked. I ordered the power cord separately, got it charged, and everything seemed to work okay."
1.0,Buy any other laptop,"Really disappointed with this computer, it’s slow and freezes constantly.  Even when running just a couple basic programs (eg, Word and excel) it freezes constantly.  This is my second, and last, Dell."
5.0,Good computer,"I was able to set up everything just fine on my new laptop. It doesn't seem to run slow or anything, and I'm happy with it. I was a bit worried about the packing. The computer box was in a slightly larger box, but not padded at all, and the computer box was banging around inside the other one, but it doesn't seem to have damaged it at all, so I guess it was okay."
3.0,Seems really slow and I don't have a lot of faith in it,"It's toobad this is so slow I really needed it to use with quick books. It doesn't seem like it's coming on but it really is.  I did do some research so it should run my quick books and I really haven't given it much of a workout because it's a little bit tiresome to have to set up a new computer, Especially one that wants me to have  special accounts."
1.0,beware,"I bought this for my mom and because it had a Dell sticker on it. She is retired and on a fixed income. When I saw the price I was sceptical but it is a Dell so how bad can it be? Well it is absolutely the slowest new laptop I've ever used. I'm putting in an SSD to try and make it useable. It runs Windows 10, it runs her programs, it functions in every way like a good laptop, it  just  takes  forever  to  do  anything.  Save up and get a laptop with better components. Or buy this one if you're working on making your inner self more patient."
1.0,Turtle 🐢 Slowest Computer Ever,"Probably the slowest computer I have ever used in my life. DO NOT BUY! I promise you, you will not be happy if you are expecting a modern computer. The computer takes 5 minutes to load at start and take 1 - 3 minutes per opening of any application or program. The only good thing about this computer is the battery life. If you dont mind waiting have at it."
5.0,Great laptop!,Love this computer! The price was great as well! 💕 been using it every day for the last 6 months are so.
1.0,So slooooow,"I purchased this laptop because my old one was painfully slow.  This one is just as bad.  We've fixed the code problem that Dell knows about but doesn't address, and that worked for a while.  Now, it takes two or three minutes (sometimes longer) just to connect to the internet, you sit and wait for it to load webpages or open programs, and it's even slow at wordprocessing.  Really sloooow."
1.0,Del support sucks,This computer stopped working.It wouldn't accept the password until I put the numbers in on the number pad then I wouldn't let me enter anything with the keyboard. It was a pain. When I called Del support for assistance with the password they told me I had to buy a special disc for $110. Thanks for nothing.
4.0,Works well for basic computer needs,"I didn't need anything special. I look at facebook, and shop online. Ot works well for that. The keys on the keyboard are not like my old HP laptop. Those seemed more sturdy than this new one. I am happy with it."
4.0,Damaged Box,"The laptop works perfectly, but I wish it was packaged better. The box it was sent in was an absolute mess. It was beaten up badly. I was concerned that it wouldn't work at the start, but it worked just fine. My only concern about this was the item being safe on the road considering how fragile laptops are. Overall, it's a good budget laptop that works well enough for school and work. If you need a laptop just for those purposes then, it does the job splendidly."
2.0,Way slower than the 5 year old laptop it replaced!,This laptop is so slow that it reminds me of using dial-up internet. Don't ever try to watch a video on this. You'll be old and grey before the end!
1.0,It looks like a used one,"It looks like a used one. I am really disappointed. Everything is good with the look and the frame. But the work process is really bad. It has a red spot on the screen, i think one of the pixels doesnt work. And while i am using it, the processor malfunctions and makes beeps."
