ratings,rev_head,revs
5.0,Great Chromebook! High end features for a low price.,"For the price, this is a great Chromebook. It checks a lot of boxes and I've done my fair share of research."
5.0,Far exceeded my expectations,"Full disclosure, I am not an IT professional but use laptops, tablets, and desktop computers daily in my personal and work life. This chromebook has far exceeded my expectations. This is my first time using a chromebook. I have had a week or so to really dig into the device. I own an alienware gaming laptop, but I find myself only using it now for gaming purposes only."
1.0,Not sure how I feel about this right now.,"Brand new device, went from 64gb out the box and after the OS update i only have 49GB available. 3.7G are in use by preinstalled apps. So you can subtract at least 15GB from the advertised 64GB description. That said, if you buy the 32GB you'll be severely disappointed."
4.0,Excellent Chromebook for the money,"I am extremely impressed with this unit. Great price, and it works really well. Nicely designed, sturdy, the keyboard and trackpad are decent. Touchscreen works well. I would highly recommend it. One thing is incorrectly described in the specifications - it says there is a microSD card slot. It is actually a SD slot. I bought a microSD card hoping to put it in and have added storage space on the go, but an SD card sticks out a lot."
5.0,The most awesomely boring device you'll ever use.,Over the period of 30-60 seconds after unboxing it for the first time.
4.0,"mediocre CPU performance, but perhaps the best Chromebook for under $300","Chromebook prices range from around $100 to over $1000. Better Chromebooks have Intel Core CPUs for great performance. The much cheaper Mediatek system in this Chromebook gives it mediocre performance, especially for intensive games or for business users who open lots of tabs simultaneously and frequently switch between them. On the plus side this Chromebook has a useful 4GB of RAM, a sharp colorful IPS screen, a touch screen that works great with Android apps, a very responsive (for swiping) touchpad, and reliable WiFi (much better than my HP laptop). On the minus side, the white plastic shell looks and feels a little cheap, the screen is not very bright, and the touchpad's button feels a little clunky. In summary, if you can't afford more than $300, this is a good choice for casual users who only have a few tabs open at once and use it mostly for email, Facebook, web surfing, and streaming music or videos. If you can afford $350 to $400, you will have several choices with more powerful CPUs for more intensive users."
1.0,Can’t Download Google Play Store App,"Do NOT buy this if you will need to download apps as the Google Play Store app can’t be downloaded on this chrome book. Internet and everything else works fine, but I bought this for my kids to play Roblox and other apps, but this particular chrome book won’t allow the Google Play store."
5.0,Best in class,"I've owned several chrome books in the past 5 years, and can say that none came close to this in term of features and versatility. Of course the display could be better but for what you use it for 95% of the time, 1366 x 768 is more than adequate. Videos are sharp and clear, document display clearly and crisp and texts are sharp on the screen."
5.0,Good value at the price for everyday use as long as you are not a demanding gamer.,"I am a big fan of Chromebooks. They update themselves, can now run at least some Google apps.  They are portable, cheap enough to haul where ever you go and fit one both airplane trays and the teeny desks they give students at college.  This one is a good value at the price for everyday use as long as you are not a demanding gamer."
3.0,"It's great, with one large caveat","Let me start off with: This is the second one of these I have had. I had to return the first one I bought, because there was a problem with the sleep and the bluetooth. Sleep, because when I would close the lid, it would just power off the device, rather than putting it in suspension. Bluetooth, because when connected to a bluetooth mouse for anywhere between 5 to 30 minutes, it will bug out and refuse to work again until it's rebooted."
