ratings,rev_head,revs
5.0,Solid Quality Inexpensive Laptop,"After researching for a high quality laptop that would not break the bank, I finally chose this one. For a few months, I looked at many other manufacturers. There is a lot of 'bang for your buck' in the Lenovo Ideapad 320. Over the past few years, I've repaired laptops, built computers, and reconfigured systems. Lenovo has not disappointed with their products."
4.0,"Cruddy battery, otherwise a really good computer for the price-range.",This computer has two significant con's:
5.0,"For the price range, it does an excellent job.","I needed a new laptop as I am in a graduate program that uses statistical software, and my old laptop simply could not keep up with some of the permutation and bootstrap analyses when dealing with more than a hundred data points. With this, I can run several analyses in R back-to-back-to-back in just a few seconds, making my life much easier. As for gaming, you won't be able to run anything too intensive, but I can play Rocket League on max settings without any lag or other issues."
2.0,Laptop died in 6 months or less for me.....not good,"I have never had a Lenovo computer or laptop and Windows 10 is a new thing for me. My desktop computer is a homemade Windows 7 & really runs well with no issues.  I needed a fairly decent 15.6 inch laptop to take when I go out of town for vacations and such and decided to get this Lenovo laptop with Windows 10. This is an extremely slow computer, short battery life of maybe 3 hours [I used the ""balanced setting"" for battery life on this laptop] and this computer froze up and died on me after just 5 or 6 months of periodic light use. Seems fragile also and flimsy built. The Windows 10 is fine.....confusing but as fine as I expect. This laptop has pretty much what I needed on it....webcam, 15.6 LED screen, full keyboard, DVD burner, SD card reader, several USB ports and a 1 TB regular non-solid state hard drive installed. Getting the initial Windows 10 to load up was long...2 or 3 hours long. Several times when I powered this laptop up, it would take up to 30 minutes to finally load up windows 10. Finally a few days ago, this laptop totally froze up and sat for over 5 hours without fully starting up and died when I tried to reboot it. I was going to simply replace the hard drive, reload Windows 10 on it and go on with life....but I ended up dusting off an 8 year old [2010] Windows 7 laptop from another computer maker and modernized it with beefed up hard drive and memory and it works better than this Windows 10 laptop ever did."
4.0,"Nice screen and keyboard, short battery capacity",It is an okay laptop and nothing more.  It obviously depends on what you want to do with it.  I would not expect this to work well for gaming or other tasks requiring movement of huge data stacks back and forth.
5.0,It is not the best laptop out there,"I'm giving this five stars considering the price. It is not the best laptop out there, but for under $400 I think it is definitely one of the better ones. I have a very nice desktop pc so I was not in the market for an amazing laptop because more processor intensive tasks like video editing or gaming can easily be handled on my desktop. That being said, I have found myself using this a lot more than my desktop simply because it is convenient to have access to a laptop and this one handles normal tasks extremely well. It's fast compared to other laptops I've tried int this price range, and it doesn't feel cheap in it's construction. It can also run modded Skyrim with no issues, which is nice bonus for me."
3.0,Good for the price.,As good as its going to get.  The laptop is awesome for the price.  Fast computer and plays the games that I play on the laptop pretty good.  By no means is it a gaming laptop but it works for sims 4 and low quality games.  I use it for school work I just bought this one to replace my HP notebook that recently died on me.  I'm happy with the product but the battery life sucks the charger is short.  The lightweight is awesome and the color and make are great.  I would recommend to other people.  Lenovo is a great company and this laptop is cool.
5.0,Lenovo IdeaPad 320-15ABR,"Great Item! Delivery was a bit off but I blame USPS on that, they suck in my area."
1.0,They are not very good. Then,"Ok, I read the reviews here on Amazon, tried to save money and that was my mistake.  If you are interested in this computer, google the reviews.  They are not very good.  Then, go look at all the used 320's for sale on Amazon and ask yourself why?  Because it is dog slow.  My 8 year old notebook that I was replacing was faster than this one.  Slow to start up.  Slow to load images.  You get what you pay for, so spend a little more and be happy.  I returned this and got the ASUS VivoBook F510UA Thin and Lightweight FHD WideView Laptop, 8th Gen Intel Core i5-8250U, 8GB DDR4 RAM, 128GB SSD+1TB HDD, USB Type-C, ASUS NanoEdge Display, and could not be happier.  Blazingly fast.  $500, but I got the one with the SSD card already installed for $569.  Highly recommend it."
5.0,The search is over,"Stop what you’re doing now and get this computer! The search is over. This computer is the best thing you can get under 400 dollars. Lots of space, fast, and it will last a long time with ita top shelf technology. Good enough to game on. I would rate this computer higher than my MacBook. Perfect for college, office, or gaming."
1.0,Audio was horrible for YouTube clips,"Junk. Crashed after one week. Before that it ran very slow. I bought to only surf the internet. Audio was horrible for YouTube clips. It kept making a clicking noise, unit I to stopped running the pre-installed virus scanning software."
1.0,Lenovo is not helping!,"I am a college student!  I bought this Labtop in June , The motherboard as crashed already!  I been on the phone for days to get satisfaction ,  Sent out tech with bad motherboard replacement and know I waiting again to get a new tech to come out ! HELP!!!!!!!!"
1.0,"Green screen, doesn't work, terrible customer support","If you want to waste money and spend months going in circles, go ahead and buy this. Otherwise, steer clear of anything from Lenovo. This has been my experience so far:"
2.0,Another Lenovo disappointment,"Bought in July.  7 months later, it died.  Warranty is this: send it in.  In 9-10 days they send it back.  The warranty doesn't let you take it into a Best Buy or someplace.  The O/S stopped loading and diagnostics fail to work.  I can't even reset the O/S.  I suspect a h/w failure.  I don't care b/c I have already decided not to be bothered sending it in.  I can buy cr@ppy laptops used for $100 or less and they are probably as reliable if not moreso than Lenovo machines.  For $150, fine.  Make sure you back up everything all the time.  But for $350 it's a rip-off.  Do yourself a favor: get a used laptop off craigslist and a new 1-2 TB ext hard drive and set up backup to it.  Then run it until it breaks.  Then get another one, restore your stuff, and do it again.  Rinse and repeat.  Or spend like $1000 for a laptop that won't break but that you are sure to drop or your cat will pee on it or whatnot.  Really, these things are practically disposable.  They should be a lot cheaper.  In fact I should chuck them and stick to my phone.  It has more RAM and CPU power anyway."
5.0,You Can't beat the price,"I am truly enjoying my laptop after one month. I use it for streaming with the Elgato device and it doesn't miss a beat. You can't beat the price for what you are getting with this computer. Love the graphics when I replay my videos or watch other streamers. The quad core makes it run so much smoother than any other computer I have owned. If you need a decent computer that runs quality this is it, especially if you are starting out. I did plenty of research for 6 months on what type of laptop I needed and you are not going to beat the price even through Lenovo themselves."
3.0,I would pay a bit more for a better laptop.,"At first when I bought the laptop it was running great. After about a month it started slowing down extremely. It has a software that predicts what you are going to do next to tey to optimize your performance. Delete it. Also the brightness is horrible, i was trying to do work today at the ballfield and you can not turn up the brightness enough to see if tou were to take it outside."
5.0,Good,"I am really satisfied with my purchase. The laptop is the perfect size, it’s not too heavy and it’s slim."
5.0,need time to first update,bought for my daughter collage work she is happy  took several hours to update but worked perfect out of box after
5.0,Five Stars,Purchased as a Mothers Day gift but I've come to respect the quality and performance of Lenovo.
5.0,"Excellent price, I bought it for a beginner in art design field. Sufficient speed for gaming.","Fast delivery, thanks to Amazon. Excellent price, I bought it for a beginner in art design field. Sufficient speed for gaming."
5.0,"High Def Graphics, affordable Price",When I ordered this I was shopping for the exact same model via Canadian sites. I was actually looking at this piece from newegg when someone was able to help me compare shop and found this for me via the US store. It was 250 dollars cheaper even with the conversation factored in.
5.0,Really satisfied with this big ticket Laptop!,"It's been about 3 weeks since my purchase of my Lenova laptop and figure it's time to give my all important review. After my initial update of Windows 10 and Lenova drivers I can honestly say I am one satisfied buyer. As some earlier reviews noted, you may want to purchase a SSD to make the laptop even faster. Love the price reduction and the Lenova one year warranty. A+"
1.0,I FEEL SCAMMED!!,"I loved this laptop at first it did everything I needed it to, but it suddenly stopped working after only 4 months and the seller isn’t helping me to fix it, they just keep telling me to contact the manufacturer. Well I say that is unexecptable, I can’t even return it to get it fixed or for a refund. I feel scammed, selling me something that works just long enough to get out of any return policy, I’m so disappointed because the laptop was working really great at first, it literally just shit off in the middle of using it and will not turn back on. What am I supposed to do now I’m out over 300$ and no one is trying to help me."
5.0,Easy set up,Laptop booted right up and the set up waa super easy. In a matter of minutes it was fully running
1.0,Is this laptop supposed to work? Cause it ain't.,"Wow you guys had this thing running for a month? Mine quit working on day three. I didn't even get a chance to download anything other than software updates and drivers before I got caught in an infinite loop of loading up, then bluescreen. Couldn't even system restore for some reason. I'm guessing they flubbed up installing Windows or that's just the generalized Windows 10 experience. I was going to wait until after I send it in and and see if they'll fix it to write a review,but then I realized: Hey, this is supposed to work as soon as I open it. So yeah, I consider myself hard to disappoint considering the general motif of my life but this one slipped through the cracks."
