ratings,rev_head,revs
2.0,Refurbished? Maybe Used..,Before I start I wanted to share that I am a Director of Information Technologies and I only purchase Lenovo Think Pads for Windows laptops - so I have a lot of experience with these.
1.0,"A very risky purchase, laptops are not in good shape","Recieved my t420 from klamp electronics fulfilled by Amazon, it didn't take me more than 10 seconds after it booted for me to figure out there were multiple tiny black spots on the screen indicating dead pixels. On top of that, anytime I scrolled down a webpage or had any kind of video playing, a certain section of the screen would continually flicker. Those are major problems for me considering I paid 280 dollars for a ""certified refurbished"" laptop that wasn't supposed to have problems. I also noticed a few days after the price went back up to 320, which is a complete rip off considering I got the same t420 laptop at a local refurbishing company near me for 140 DOLLARS LESS (180$), for a laptop that looks amazing, has no signs of wear and tear and a beautiful screen, unlike the one I received from klamp electronics which was visibly heavily used, had multiple areas showing signs of wear, keys that were bent,  and an extremely defective screen. They offered to replace it after a few days of badgering them, but after I thought about it, I couldn't see why I would take another chance on a company that would send me this laptop in the first place. I ended up going on Craigslist and getting THE SAME LAPTOP, IN WAY  BETTER SHAPE FOR 140$ LESS. I realize some people have received very nice laptops from klamp but do keep in mind, YOU MIGHT NOT GET A GOOD ONE!!! terrible experience, terrible price, terrible product. Please click if you found this helpful"
2.0,Good PC - bad advertising,1st off - I really like these laptops. The machine use itself seems better than expected in performance - just what I expect from Lenovo - thank you!  : )
5.0,Excellent Value,"I am very happy with this laptop that runs great and looks like it is brand new.  I have few ThinkPad's of all sizes and wanted to replace one of my 14"" ThinkPad that had a board issue and another that was running AMD. Anyway this laptop runs great and the Windows 10 icon popped up, so I may or may not upgrade. It has an express card slot and installed a SD card reader in the slot. Battery life seems good with the extended battery."
3.0,although I purchased the laptop for business purposes I'm sure there will be times when I need to view a video and the audio was,"I purchased this laptop for business purposes and it met my expectations; however, sometime roughly a month later the hard drive was not seen by the laptop early in the booting process and I needed to return it for exchange or repair but I was past the return window policy by Amazon. I'm currently attempting to contact the vendor because, according to the details, it is within the 90-day warranty period so I'm hopeful things will flow smoothly in getting the problem resolved. On a lessor note, although I purchased the laptop for business purposes I'm sure there will be times when I need to view a video and the audio was barely audible and low quality (lower than a poor quality cell phone) so you can expect to need external amplified speakers if that is an important factor. It is important to thoroughly test your purchase during the warranty period and I did BUT I was booting from sleep mode and had no way of knowing it might not ""cold boot"". I try to extend the life of my purchases and that is a trade-off in thoroughly testing the product by testing every available function before the warranty expires."
5.0,Best Laptop I've Ever Used.,"I love this laptop because of the traditional keyboard. I have arthritis in my hands and the traditional keyboard is easier to use, also, I like the sound of the keys clicking :-)  I like everything about this laptop. It would be nice if the screen was a little larger but I've gotten use to the 14 inch screen now. I also like that the keyboard is lighted when you tap the Fn and PgUp buttons. This laptop is easy to use and has a clear crisp picture. I would definitely buy from this seller again."
5.0,You can't beat this for the Price. Will outperform Your 2 in 1 any day!!!,"I love it. I was Hesitant to order it knowing I would need windows 8 Pro or above for my job, and that this pc might be considered a bit dated. However it's the best laptop I've had in a while. Nice big heavy Duty Machine. The specs are amazing for this price point. You just can't beat it. Also I got a much smaller SSD instead of the larger HD which to me is actually a bonus."
3.0,"so-so refurbished laptop, no working dvd and bad usb ports","i love the older thinkpads! i got this refurbished t420, and with one major (and one minor) exception, i am very happy with it."
4.0,Great for the price,"Had it a few days now. I got it when priced at $188 in order to teach some kids programming on linux. For those purposes, I expect it will be fine. The machine casing is a bit dated, but you have to expect that for the price, and the casing and screen seem to be in near-new condition. The only thing uncomfortable about the machine is the trackpad -- it's rather small and feels very 2011, so you might well want to invest in an external mouse. I haven't tested the battery out yet -- that to me is of secondary concern. If your goal is to get an inexpensive machine to play around with linux distributions, then this machine is great. You dont want to go less than 8GB RAM, and you won't find much cheaper with these specs. My only qualm (and the reason it's 4/5 and not 5/5 stars) is the misleading/confusing specs. I thought that 512GB SSD (as suggested in the descriptions) for this price was too good to be true, and it is. It's 320GB HDD. Again, that's fine for the price and my purposes, but the seller lets itself down by not coming across as fully transparent."
4.0,Worth it...,"Needed a new machine for the office to replace the old Vista clunker for spreadsheets and word doc proposals. My kids run Thinkpads for school, and I was impressed by the build. My machine was running Windows 10 (not 7) and was upgraded to 8 gigs of RAM as advertised. The hard drive has enough space for work files and the years old processor is plenty snappy for office stuff. There were some scuffs here and there as well as dust in the hinges- however the machine booted up and is running flawlessly.  The T420 is a 2011 produced machine (I think?) so come on guys, at that age there will likely be some superfical scratching here and there. The keyboard feels flawless new and is really ""clicky"", and the screen is fine. It picked up the printer and mouse no sweat, and gets a wi-fi signal at a decent range. at $210, its a great option for productivity- just don't plan on DOOM at 60 fps."
1.0,Broken parts came with this unit and Windows7 activation code was not valid it automatically opened to windows 10 preinstalled,The machine looks not only used but broken: The keyboard and the sides and front and the whole outside has smudges and marks and scratches. The dvdrom falls out if you tilt the laptop on its side you have to push it back in and keep the device flat to keep it in. The monitor plug prongs are missing so the connector doesnt stay and not one of my hdmi plugs fits into the hdmi connector so i have no way to dock this machine. The worst review I want to mention though is that I only bought this so that I could have windows7 but this system's startup rejected the windows7 sticker product ID saying it is invalid so I said i'd activate later but even with Amazon help it would only install windows10. very unhappy with this. i've bought refurbished products before without problems. These are just what i've noticed in the short time i've had it.
