ratings,rev_head,revs
1.0,Highly disappointed and too embarrassed to give it to my mom ...,"This chromebook is not a “nice refurb”. It’s been abused, dropped, scratched, etc. Highly disappointed and too embarrassed to give it to my mom for Christmas."
1.0,"Received the ""referbished"" laptop with excessive signs use. Blown ...","Received the ""referbished"" laptop with excessive signs use. Blown speaker. The border of the screen was also peeling upward. The Samsung logo is also missing off the front of the laptop.  Buyer beware."
5.0,Great little machine,"Bought this machine because I needed a quick and cheap word processing computer when my aged Netbook died.  Completely exceeded my expectations, firstly by being indistinguishable from new.  It came in a Samsung branded box, had the original power adapter, and was free of any signs of previous use.  No charge in battery.  Plugged it in, signed in, and began to use it.  Very comfortable keyboard, nice looking screen.  The Chromebook experience is great.  So long as you have WiFi, you have access to the whole world of web applications.  Why use your own computer when you can use Google's?"
1.0,... received the chrome book and it works but its horribly scratched and looks so well worn,"I received the chrome book and it works but its horribly scratched and looks so well worn, can’t return it because it’s a Christmas gift. Very disappointed in the condition that it arrived in."
5.0,Great little laptop,"Great little laptop. Really worth it. Its nothing to much as in features, just google, but when you rely on your phone or tablet to do day to day work, its nice to have something with a real keyboard.  After 24hrs playing with it, its quick, the battery lasted the whole day with off and on use after a full charge. it has 2 usb ports, 2 memory card readers, and my favorite a HDMI port (you can hook it up to a TV and close it) Great for non-app web videos. Its really thin and lightweight and its small without being too small, ya know? I would totally recommend this."
5.0,Perfect first computer for a 12 yr old/ 6th grade,"Perfect first computer for a 12 yr old/ 6th grade.  Only issue is I didn't realize you couldn't do some things like Skype on it-- but then my son figured out how to do that after all.  Great camera-- light weight computer.  He also wanted to play clash of clans on it, but tough.  This is for school/ typing/ research/ etc-- and it's a great computer for that."
1.0,Screen quality is terribly blurry. Returned immediately,Junk.  Used much harder than they want you to believe! Screen quality is terribly blurry.  Returned immediately.
5.0,Chromebook is an Excellent Lap Top,"I received the product early and in perfect condition. I have been working with lap tops for the past 20 years and find the chromebook to be fast, extremely light weight and a joy to use.  I am so pleased with this unit that i bought a second one to give to my daughter. I have also recommended the chromebook to three of my friends who have also purchased the chromebook and are as pleased as I am with this product."
5.0,LOVE,"I adore this laptop!!! It runs fast, and its light weight. This laptop does everything perfectly. The only thing I didn't like about it at first is I didn't know how to right click. I figured it out though. Instead of touching the touchpad one for a normal left click, touch the touchpad with both fingers and it works just the same as a normal right click on a mouse. Needless to repeat, I LOVE THIS LAPTOP!!"
1.0,Awful,I'd give it a 0 if I could.  No camera icon. Couldn't access the camera.  No word app. Received it with the sd card slot broke.  It's horrible.
1.0,I am not happy that I had to pay shipping back for something ...,"This is the second one that I have ordered, first one did not work at all and I returned.  This one the computer works but the charger did not.  So I returned charger and am still waiting to get a replacement charger to me.  I am not happy that I had to pay shipping back for something that has been non working twice.  I just wish I knew status of getting a replacement charger and a refund on shipping.  Can't use a computer that you can't charge....."
1.0,"Not Certified Refurbished, Its USED JUNK!","9/7/18 WARNING! Do not buy, I read all the reviews and still decided to buy it. My thinking was maybe they had fixed the problem. I was wrong, it was the junk everyone else posted. I looked at the pics and I believe they just keep sending the same one back out."
