ratings,rev_head,revs
5.0,Buy It!,Its fast and user friendly as all get out. I have a couple more expensive laptops with larger screens I purchased a few months before this one and I hardly ever touch those anymore. I have one set up in my  home office along with a desktop mainly for looks while the other functions as a guest laptop. But the Samsung stays with me. Haha. Im a Samsung phone user and android kinda fella and I reckon until they let me down...Ima be Sam Williams on Samsung for life!
5.0,"Simple, Speedy, Does What It Needs to Do","Up until now, I've only ever used Windows computers - desktop and laptop varieties. I was always under the assumption I wouldn't like Chromebooks because I wouldn't be able to download things, but I'm happy to say I'm now a Chromebook fan."
2.0,K03US version of XE500C13 is the only version worth buying,XE500C13 versions:  S03US verses K03US
3.0,I've used this exact same model bought from a store before and was overall very happy with it,"I've been using this for over 2 months now. I've used this exact same model bought from a store before and was overall very happy with it. When that one got damaged I ordered another one online and for some reason, this one freezes multiple times a week, is temperamental when I want to turn it on and can be very slow sometimes. I use it the exact same way I used the previous one, very lightly, so I'm not sure what's the problem but it's not too bad I guess."
2.0,I really haven't used it.,This device does not support Kindle apps. Just getting that out of the way....
1.0,Issues,I recently purchased a Chromebook thru Amazon. The computer is slow and the cursor hardly moves. I didn’t order a refurbished computer but it appears this may be refurbished.
4.0,Good value,"A good value - feels very much like a laptop. Good keyboard and screen. I probably should have done more research - thought it would run all Android apps. It runs many, but not all."
5.0,Five Stars,Son is having a good time with it. Easy to use.
4.0,Pretty cool but...,"The computer is great! Lightweight, quick and if you have an android; it syncs to your phone. The only problem is that the laptop sometimes freezes up. At times mine may freeze up to five times within the hour. I just hold the power button and hit the refresh button and everything is back to normal. I would recommend it for High school and under or undergrad (if you want to push it)."
5.0,Perfect travel companion.,My first Chromebook and I am really pleased.  Does everything my desktop does.  Printing is from cloud only and wireless.  Took 2 minutes to set up and works perfectly.  Highly recommend. 😁
1.0,Don’t buy,"I wish I could do 0 stars. Do not buy! It’s SOOOO SLOW! The whole point of me buying this was to be faster than my 7 year old dell laptop. It wasn’t. That laptop loaded everything faster than the chrome book. And this is loading webpages, email, email attachments, documents, pictures, etc. Filling out a web form on this, forget it, I had to switch to a different device. I actually googled it and it is a thing with this chrome book. The boards say to do a couple of upgrades and speeds so pick up but they did not. Not worth the money. I bought an Acer chrome book after and it’s phenomenal. It’s actually does what it’s meant to do."
5.0,Best traveling laptop,The battery life isn't great but it'll last at least 8 hours.  The screen is a little small but it's a good size for traveling.  Love the Chromebook that is virus free.
5.0,This one is faster than his old one and has a very nice screen. The texture is nice as well,My son needed a new chromebook for school. This one is faster than his old one and has a very nice screen. The texture is nice as well
3.0,Disappointing.,"Usually the Samsung products I've had have all been as expected however, this laptop was hard to get the best angle for viewing maybe because it has a non glare screen? In addition, the quality and clarity of the screen image was mediocre. Windows OS was kinda sluggish too. I returned for a different laptop brand."
4.0,Decent for the size,"I bought this for my husband since he though our normal lap top was too big to take back in forth to college.  It’s okay, it serves its purpose but it takes a lot of getting use to.  Scrolling down a page is probably my biggest dislike with this lap top.  I would recommend getting a wireless mouse with it.  I can’t tell you how many times I have yelled at this lap top to scroll down lol.  For some reason husband can’t get the internet to work on it at the college so he is still toting the bigger one. Oh well, at least we have an extra lap top now."
4.0,... not what I thought however it's been working just fine for me,"It's not what I thought however it's been working just fine for me. I am enjoying it so far,  I recently received it so for now I am just going to give it 4 stars. It was an oversight on my part I will be keeping it because it's not bad for the price."
5.0,Great for kids who never had a computer before,Purchased this for our daughter for Christmas and it gets the job done. Great for kids who never had a computer before!!
5.0,Great Chromebook,Battery life is excellent; processing speed is fast.  Very easy to set up.  Very satisfied overall with this Chromebook.
2.0,only good for 6 months,It worked perfectly up until a few months in. Then I noticed something wrong with the screen.  I had bought this one once before and he first time it happened I thought I did something . so I bought another one and treated it even better but the same thing happened where after a while when I went to open the screen the were black spots. it would change every time I opened the top of the Chromebook. It lasted almost exactly 6 months on both of them.
5.0,Compact and efficient,"This is perfect for classes and doesn’t take up room in my backpack so my science books can fit without a problem. The only issue is the WiFi sometimes will not pair up with my schools WiFi so I have to use my phone hotspot, but other than that a great buy."
4.0,Nice,Nice computer as long as you have wifi. Last one you could buy GB with out having wifi. My mistake for not reading everything.
1.0,🤷🏾‍♀️ Idk if it works,Received the product and it had a cracked screen. Can’t tell you if it works because... cracked screen 😕
5.0,Great buy,Got mine. Brand new and works great. Perfect for little tasks. Easy to use.
5.0,"Quality, guarantee, delivery",I love this as I use google chrome more than anything..... THANKS SO MUCH
5.0,Perfect for my son,"We bought this for my son.  He loves it.  Perfect size for him.  He uses it for school, for fun and for writing.  It is a great product with a fantastic battery life."
5.0,Great for traveling,I use this as a travel computer because I spend a lot of time on the road. It's been perfect for checking email and watching movies occasionally.
2.0,compatibility problems,This one is fine if all you want to do is browse the internet and have a keyboard.  But there are way too many apps that don't work on the Chrome OS.
3.0,It's not Window.,"It's my mistake, I thought its regular laptop with Wondow."
5.0,Definitely a great product for the price!!!,I bought this for my daughter and she loves it. It’s the perfect size for her. It’s a great little laptop!! And it is a great price!!
4.0,Great for the basics! Perfect coffee shop computer!,"This is perfect for basic work including blog posting, internet shopping, Pintrest pinning and stuff like that. Perfect for the price too. Only shortcoming is that it feels like it's made cheaply. I'm terrified of dropping & breaking it into bits."
5.0,GREAT PRODUCT.,I love google chromebook. Bought this for my kids. They have beat it to death and still running like a champ.
5.0,Great product,I gifted this to my mother in law and she loves it. It's a great product for the price
1.0,The grinch delivered these!!!!,"I bought one for my daughter and one for my son for Christmas. After the holiday, I went to set them up and my sons screen was broke internally and my daughter can’t use the “3”. This is past the return option because I planned ahead for the holiday and now I’m stuck with two expensive coasters. Don’t buy this item!!!!!"
3.0,"It’s a chromebook, but it’s old .",This wasnt what I was looking for . It doesn’t even look the same as the picture. False advertising at its best ! I needed the newest one available (like in the picture) but that’s not what I received .
4.0,Good but only one problem,It's pretty good there's only one problem the charger is a little wonky and the Chromebook does not look like the one on the picture but it's good.
5.0,Quality for a great price!,Nothing to dislike.  It's a fast chromebook and works as advertised.  Well made construction.
5.0,Pretty good buy,I was pretty happy with my purchase! I was disappointed at first thinking there was no option to right click without connecting a mouse. But a simple google search taught me all you have to do is tap the scroll pad with 2 fingers. I haven't had any other issues so far.
1.0,Never Again,Arrived not working. Very slow
5.0,School laptop,"Ordered for my teen, working great so far!"
5.0,Works great,good product
4.0,Great for price!,Screen led was ruined after dropping once but other than that perfect laptop 🙌🏾
5.0,Perfect quality,This was stated used but I swear its brand new. All the packaging was still on it. Very good price!
2.0,Pop up ads,The pop up ads on this computer are extremely annoying!  I got this computer for my kid to do her homework so she wouldn't be on mine.  But I still have to let her use mine because of the constant pop up ads installed on this laptop. Grrrr..
5.0,Excellent,Bought for my boys and they love them
5.0,Very useful on the go,Very good work quality for meetings on the go
5.0,Great investment,College daughter loves this
5.0,Nothing,Excellent
5.0,Love it,Beautifully package great quality
5.0,😁,👍
4.0,Good,Now received my Chromebook liking it so far but the real test will be when school has reopened!!! Updates will be made at a later date
5.0,Good computer.,Good chromebook. As advertised
5.0,Five Stars,Great deal. Wife loved it.
5.0,awesome and worth every penny!!,all computer stuff :}} awesome big thanks!!
5.0,Good,Good
5.0,Received it early,My daughter loves it
5.0,I like it,Its kool
5.0,Holds a charge and very light weight.,100% Satisfied! Thank you!
5.0,Great value Chromebook,This is my first chromebook I purchased. I found it easy to use especially with the apps. The screen is perfect and the battery life seems great.
1.0,Won’t hold a charge after 5 months of light use.,"Product is generally as advertised for ease of use.  However, after 5 months it won’t hold a charge and I can’t get a response from the seller.  Buyer be cautious."
1.0,dont by reworked items,product was a rework and it said it was missing software
5.0,Great value,"It's much better than my first Cromebook, which I've had for five years.  Much faster and holds a charge much longer. it's a great value."
5.0,Good value,Perfect for doing homework for kids
5.0,Great product,Loved it!
5.0,Worth every penny,Love the price
1.0,Camera eye was smashed in.,My camera was smashed in couldn't see anything but blur. They said it was brand new.
4.0,Chromebook 3,Product arrived as described. Functions wonderfully so far.
4.0,Good Buy,Brought this for my 10 year old. She loves it. She’s on it constantly and takes it everywhere. Good buy for a kid
5.0,It's the real product,I got out for my daughter and she love it
5.0,Better price than Walmart,I like the compactness of the computer. I will use it for printing church bulletins and when I travel.
5.0,Highly recommend,Love this product! Highly recommend. I am a teacher and find it super useful and lightweight.
5.0,Great computer for kids,Perfect for our school age child for homework and light research.
5.0,Five Stars,Daughter loves this.  It meets all of her computing and browsing needs
5.0,It’s a great basic laptop,"It’s a great basic laptop !!! It has a lot on it to do , thin and light !"
5.0,Satisfied,Good buy
5.0,"Light, Quick, and Inexpensive","Quick and simple, easy to operate and store.  An excellent value for the price."
5.0,Fast little laptop,Lightweight and fast
5.0,Basically good.,The price- pretty cheap. And it was ready to run right out of the box.
2.0,Lags,It lags when I’m watching Netflix or streaming anything.
5.0,Love it,Great price and equipment! Just what I need it.
1.0,Where is my refund?,"Send it back stractes all over the outside,  not as described  where is my refund?"
5.0,Perfecto para la escuela,Buen artículo se ajusta al precio muy versatil para tareas lijeras
5.0,Everything its ok,Good conditions faster laptops
5.0,Durable,Great for my children school stuff
5.0,A good machine.,"It is a beautiful computer, fast, light, and has a nice design."
5.0,Computadora,La kiero no la boy a devolver
4.0,Pretty good,It's pretty good so far
4.0,Compact!,Love it!
3.0,Camera doesn’t work good,Need a better camera
4.0,This is not a full functioning laptop but a great substation for a tablet,This was purchased for my daughter. Does everything we expected it to do. This is not a full functioning laptop but a great substation for a tablet.
3.0,An android.,It’s small and lightweight. Easy to use and customizable. Everything is linked to google. Wouldn’t suggest for Apple users. I wish I would’ve had the money for a MacBook.
1.0,I bought a lemon,"I bought this to replace another chrome book I had for years.  This chrome book acts like my broken one,  It's going back! I was forced to give it one star!"
5.0,It’s their first notebook,My Granddaughters loves it
5.0,It working good,Nice
5.0,Good laptop for what I need,Just as described
4.0,Four Stars,Perfect for my high schooler!
1.0,It doesn't work,It doesn't work
5.0,Five Stars,I love it very very very much
2.0,"I’ll make a better choice next time. This is constantly locking up, freezing","This is slow, locks up all the time, and was not the best choice."
5.0,Five Stars,Excellent product
5.0,Solid feel with good battery life.,"This is my first chromebook and for its intended purpose of checking e-mail, web browsing, and working with google productivity apps it has been perfect.  There are a few quirks to chrome OS that take some getting used to and I would not consider this an adequate replacement for a PC.  Speed is just fine, I have not noticed any significant lag, but I also have not used it for anything very taxing. The device itself has a quality feel.  It is lightweight but does not feel flimsy there is no flex in the screen or body when opening.  The keyboard is adequate though somewhat cramped.  The screen is adequately bright and looks nice straight on.  Off axis viewing is not great, colors tend to fade when viewed from more than about 30 degrees.  I haven't really measured the battery life, but with occasional use it can go multiple days between charges.  For the price I paid on Prime Day I am extremely pleased with this device.  It has almost completely replaced my tablet."
5.0,"We use for ROBLOX, Amazon Prime movies, shopping, fantasy football and more","I am not an electronic expert at all. I purchased this on Amazon prime day since our home laptop is 12 years old and wasn’t supporting the kids at school. It’s our first chrome book. We love it , my husband and two boys. My kids play ROBLOX on it and a few other games. I use for amazon shopping. My husband use for his fantasy football. We use to watch Amazon Prime movies when we are at the beach (no cable) each weekend. So far it’s held a pretty good battery life. Also it connects to WiFi great. When we are in the RV at the beach we use our wireless hotspots and Verizon jet pack for WiFi. After we put the password for each network in once it automatically connects to whatever four networks we use. I highly recommend. Will probably be purchasing another one for Christmas so each kid can have his own or when they both need co outer at same time for school work. We love it."
3.0,Chrome Book that defaults to other browser pain in the rear.,Bought my second Samsung Chromebook. This new one automatically goes to a web browser other than Google when I open a new search page making it necessary to click on the Google icon. I have eliminated all other browsers using the settings menu but the problem persists even after re-starting. Could it be that Samsung was paid a fee  for this bug?
