ratings,rev_head,revs
5.0,Perfect pack,"Update after a few weeks of use: I still love this pack! I have my transit pass tucked into one of the cup holders so I can easily reach it when I get on the train/bus. ALSO, I've added a picture of some rain that sat on the fabric, and hasn't absorbed after a 30 min train ride."
1.0,When it first arrived I was pleasantly surprised to find the zippers were all very big and the quality felt great. This pack is,"I was initially a little concerned about purchasing this pack because of the negative reviews regarding the zipper quality. When it first arrived I was pleasantly surprised to find the zippers were all very big and the quality felt great. This pack is big and has more than enough room for my laptop, tablet, books, and all my other small stuff."
1.0,Both of our teens love this backpack,"Both of our teens love this backpack. Unfortunately, the zipper broke on one. We wrote to Swiss Army because it was only 1 year old and under warranty. Unfortunately they did not respond, so we just bought another. It's roomy and works very well for a student in high school or college. We do have another that has not broken , so hoping it will not happen again."
5.0,Five Stars,
4.0,"Very nice pack, but beware there are very subtle difference between some models.","This is a virtually identical review I wrote for the model SA1923, which I now use."
1.0,8 months of light use and tearing on the zipper.,"So I purchased this backpack around April 2017 as I needed one to transport my laptop whenever I needed to do some work outside my place of work (like a coffee shop). In short, I rarely used the backpack the whole 8 months I owned it. The backpack load are normally a slim 15"" Lenovo laptop and accessories, portable drive and bottled water; nothing too heavy. So today I noticed there was half an inch tear on the zipper stitches (with fraying) in the 2nd front compartment of the backpack. Sure it's a small tear (that could get bigger if not replaced/repaired) but this is supposed to be a well built backpack, but after 8 months of light use,  it is falling apart. It isn't a cheap backpack either and one expects many years of use from it. This would be the last time I will be purchasing this brand of backpack. Hard earned money down the drain."
1.0,SURPRISED BY POOR QUALITY,I received this product 9/2/2017. I am a full time biology student and wanted a backpack that could withstand the heavy textbooks if I decided to carry them--Which I often do not for the sake of my back!
1.0,Don't waste your time or money,Two bags ripped. The warranty process is a joke and their partners are worthless. Not worth spending anymore time or money with this company. Putting these in the trash where they belong. Recommend searching online for sturdy bags with companies who actually stand behind their products.
1.0,Zipper popped after 5 months!,"So I'm hoping I can get help with the manufacturers on this one. I LOVE Swiss Gear and have purchased several of their backpacks in the past. They have always lasted several years and seemed durable. My 11 year old used my old one and liked it so much he asked for one for school this year? Knowing how tough kids can be on bookbags I decided this bag would be perfect for him, because it's generally a very durable product. Well here we are just 5 months into the year and both front zippers came off the bag while he was at school and he could not carry his books home. Not sure what happened with this particular bag because I've had 3 of them in the past. Backpacked all over Europe with all 3 and NEVER ran into this. Is this bag under warranty still? Do we have any recourse or am I just out of a bag and out of my money too? :("
2.0,Used for 7 months and the zipper broke!,"I purchased the SwissGear Travel Gear Scan Smart Backpack for our son's first semester in college. He started using the backpack in the Fall Semester 2016 and my son just came home this evening from Spring Break 2017 and he informed us that he needed a new backpack because the zipper broke on the compartment that holds his laptop. Not only did the zipper break but the zipper actually separated from the backpack material (See picture). It's a gorgeous backpack and full of great pockets and compartments but definitely not durable.  I have had a Swiss Gear Computer Back for over 10 years that I still use for work. My backpack has been all over the world, Japan, Kuwait, Australia, New Zealand and my 10 year old SwissGear backpack works as good as new. I am SO disappointed that my son got less than 7 months use out his."
