ratings,rev_head,revs
1.0,Even the replacement is defective! Buyer beware :(,"After years of using Amazon for hundreds of orders, this is my very FIRST negative review:"
5.0,Best value for the money,I've had the Vivobook for a week. I love this machine. I have hhr combined SSD and 1 TB HD. I did my research on the specs and this is the best value I could find for the money.
5.0,Great Laptop! Thankfully I read the comment section for amazing advice!,"Wife and I were looking for a solid at home laptop that can be used for work if necessary. Saw this was Amazon's Choice and popular laptop. After reading the reviews and recommendations, bought Crucial 8GB Single DDR4 2400 MT/s (PC4-19200) DR x8 Unbuffered SODIMM 260-Pin Memory - CT8G4SFD824A. This is a quick laptop and thankful for all the helpful recommendations."
1.0,Horrible way to run a company so I returned the ...,Volume was not working. I called Asus support 2 days after receiving my laptop. They said I probably needed to add some additional drivers or get some driver updates. They would help me only if I bought an ongoing support contract with them. I refused. Told them I had it for 2 days and it is a brand new machine and that they should support it. Their answer was that because I bought it from Amazon it was not their problem. They would have done it for me at no cost if I had bought the laptop directly from Asus. Horrible way to run a company so I returned the item and am looking at hp laptops.
4.0,Solid laptop with one major flaw,"Nothing to say that hasn't already been covered by those reviewers far more knowledgeable than I other than the keyboard was designed by a total sociopath. No, this is not an exaggeration. A sociopath."
1.0,Faulty after 2 weeks: Not charging,"I purchased this laptop on the 11th of June 2018 and today is the 25th, which means I have had it for just about 2 weeks."
5.0,This computer is great. I am very satisfied with it and i ...,"This computer is great. I am very satisfied with it and i would definitely recommend it, especially for the price!"
1.0,Don't believe Everything You Read.  Do you research......,"Within the first few days of getting used to my laptop the monitor died and I had to send it back to ASUS.  ASUS customer support was through CHAT and cumbersome.  After a week, they sent my computer back to the wrong address and it was ridiculously complicated to finally get the laptop back."
5.0,Thoughts on this Asus VivoBook,I ordered the version that comes with a 128 SSD hard drive pre-installed because I don't feel comfortable taking apart a laptop and installing things myself. So far I'm very happy with it.
4.0,High guality machine for a great price.,"I've owned this laptop for a week. The laptop is as advertised. The screen display is great, the laptop is very thin and light, easily fits into my bookbag at 15.6"". It came with 128 GB SSD and a 1 TB HDD drive. The Intel Core i5-8250U is awesome; although, I think I would be a little more comfortable with 16 gb of ram and a little more solid state storage (256ish) to make it run just a tad faster, but I can't complain at all for the cost. I haven't done anything too strenuous, but I like to have a little extra room for hardcore multitasking and/or gaming since I'll be starting graduate school in a few days. Windows 10 feels fresh with their updates. Heck, I might even use Edge. Just kidding. I love is the fingerprint scanner. This is my first laptop with a fingerprint scanner, and on this ASUS it's very fast so that is convenient. The laptop has been very quiet, and hasn't heated up on me yet. It feels very nice holding it in my lap because there is plenty of space for the palms of your hands to rest while you type if you're leaning back."
5.0,"Portable... 15.6, SSD, 8th gen i5.. This is it","This computer is fantastic.  I did a lot of researching looking for laptops in varying sizes (13.3, 15.6, 17.3).  I was looking for an SSD and i5 8th gen CPU, and at a great price.  After arrival this computer easily beat my expectations.  The computer is super fast (thanks SSD) and has no problem running large excel spreadsheets and access files.  I looked at more expensive laptops and almost pulled the trigger on the $750 Zenbook.  I'm more than happy with this ""Cheaper"" alternative that all of my needs.  SSD, 8th gen i5 CPU..  Laptop is super light and slim too which makes it ultra portable"
1.0,No backlit keyboard and screen isnt very bright!,"I have had issues since day one. Ive had for almost a week and enough is enough. On day one, I had been using it for maybe 2 hours and it randomly shut off. I had it on my desk and was watching youtube videos and it went black. I was able to turn it back. I didn't want to think to much into it and just wrote it off.  Then the next day, same thing, screen goes black and it dies. It has happened a total of 5 times in 5 days. Im returning it. Maybe I got a dud, but I don't want another Asus laptop. I will constantly be thinking about how it will probably fall apart in a few moths. Think its best to return and buy Samsung. Aside from that, laptop seems fine. The screen is very dim however. Feel like at max brightness it just isn't enough. No backlit keyboard is kinda a bummer but I digress. The issue is that I got a faulty laptop and that's why the negative review."
5.0,and I am very happy with it so far,"I just got my new laptop in the mail last night, and I am very happy with it so far. I read the reviews before I bought it, and I think a lot of the reviewers bought the version of this computer with just the regular hard drive. I sprung the extra ~$90 for the 128 gb sold state hard drive.  When I plugged in and started the new computer up, I found it was very fast.  So far everything is working very well, and I am happy with it. For this budget price, I think this is really an excellent buy!"
4.0,Overall a solid performer and doesn't feel cheap,"I'm very satisfied with this laptop. Being so thin and so light, yet is has a build quality that I think rivals others in the price range. An 8th Generation Intel i5, 8GB of RAM, and a 1080p display that's vivid and crisp, paired with speakers that aren't that bad and chiclet keyboard that's responsive?"
1.0,Asus Black Screen of Death (Update),"This is an update of my initial review below.  My Asus Vivobook worked great for exactly four months, until May 15, when I got the Asus Black Screen of Death.  I've had many laptops, tried everything I know to revive it, but this laptop is completely dead after four months of service."
1.0,I thought it was a bad hdmi connection,The laptop seems okay until I tried to connect an external monitor via hdmi. The screen flashes for a second every 30 seconds or so.
1.0,Damn!!! Brand New ASUS VivoBook Won't Work!,"I spent months researching and reading reviews to get a new laptop in the $500-$600 range. I went with the ASUS Vivobook based on the good specs, better HDD and RAM, reviews, and because I could pay for it over several months. Now I just got the laptop yesterday. Today, I went through the initial install and went to download Google Chrome on my Brand New ASUS VivoBook. Everything was fine and I went out for an hour. Then when I came back NOTHING!! The power button turns on but the laptop screen Just Stays Black. Tried a hard reboot. Still Nothing."
3.0,good performance laptop with bad keyboard layout,"Cons - NO light to indicate Caps lock. Delete and Power button too close to each other and looks the same, I accidentally pressed the power button couple of times."
1.0,"Well, I was warned. Disspaointed.","This laptop is beautiful, and that's about it. It was to be a gift. I set it up and installed a background and pw since I'd be flying with it, and that's all. It was fully charged and I only turned it on a total of 3 times before the screen went blank. I didnt download any programs whatsoever. First time was to set it up and make sure it worked. Second was to show a friend (at which point I noticed it took s little long to boot up and response time was slow) and third was yesterday as my flight departs in a few days, to make sure everything was good"
4.0,Great battery life and very responsive system.,"Absolutely love this laptop. Fast boot, runs for 8+ hours on battery. Use for CCTV MANAGEMENT, Sage Accounting Software. No backlit keys but keyboard is sturdy built. Uses ssd for OS and apps and HDD for data. Highly recommend. This unit does not come with an Ethernet port."
1.0,Asus no longer my laptop of choice,"I have owned 3 Asus laptops and the first 2 were really great. I purchased my third in October of 2018 and it's already dead. I have used it 2 dozen times and when I opened it to work 2 days ago, the battery hadn't been charging. Today, I tried several things to get it to start charging again, including a chat with Asus support. After 1 1/2 hours of chat, they couldn't help me fix it. I started a very long process to return for repair.  BTW: If you do choose to chat with Asus support be advised it will take a VERY LONG TIME. I think they take multiple chats at once and keep you holding forever.  I am completely bummed and despite returning this unit for repair, I will most likely buy another brand altogether. I've attached images of the condition the laptop is in at the time of return. The support person mentioned something about the laptop being in it's original condition, and I don't want there to be any misunderstandings. This laptop has been used very little, and has not been damaged in any way."
4.0,Well worth it!,First is all this is a great laptop. I got it for $569.99 which made it a good price for all the specs that you get.
4.0,"Arrived in good condition, on time","Pro: High capacity internal HDD (1 TB), does not heat up after prolonged use, OS is on an SSD=ready to use in a heartbeat; lightweight."
5.0,Desktop Replacement,"I have a Sony Vaio that is going on ten years old - purchased in February of 2009. It's a very good PC, and has been my constant travel companion. So, it's beat up. It's got a 320GB HDD, a bluray player which no longer works because the s/w theft software is obsolete, and the thing is literally falling apart. For $1600, I've definitely gotten my money's worth."
5.0,"SSD version: fast, lightweight, great for light gaming",DISCLOSURE: laptop I had before this Asus was a 6-year-old poor quality Lenovo that I spent almost $1000 on in 2013. TBH I could have bought a $300 laptop and it'd probably be faster and feel more premium than my old Lenovo.
4.0,Value for money with one nice surprise,"I suppose I would rate this at 3-1/2 stars if I had the option, but it's a 4 rather than 3 mainly because it includes a TPM chip that was not advertised. That is a huge bonus for me. And after the great warranty experience, 4 stars is what it should be."
1.0,DONT PURCHASE ! Very Disgruntled + ANGRY !!,"LOOKS GOOD BUT NO GOOD !! Doesnt even deserve 1 star !!!. I ordered this laptop in Oct 2018 In prep for my online studies which started last week. Turned on the Pc to start charging and personalizing email set up and after 10 mins in the middle od set up, The screen went blank witbout any warning. Funny that I could still hear email notifications while the screen remained blank..It never came back on.. I turned the lap top on and off a few times to get it to restart and still nothing. Finally took it to a specialist today to get it checked out and now being told "" BAD NEWS "" your PC have Motherboard Issues ?? Like seriously ??. What is worst , I live in the Caribbean and had a 3rd party bring my order to me from my Us mailing address  !! I DO NOT have the luxury of returning items free of charge and I need my laptop to study !!! AMAZON PLEASE HELP !! HELP !! HELP !!"
4.0,pretty decent basic laptop,I wanted to try this out given the price and the fact it does have the quad core i5 processor.  It really is a big step up in performance.
5.0,Good value for money.,What I like about it is that having a Solid State Drive means that starts quickly and having 8GB RAM means that it operates fast even when numerous programs are running and when memory hungry programs are running. What is a minor issue is that the fairly heavy power supply plugs directly into the power point meaning that the extra weight can cause the power supply to come loose easily. It would be better to have a short cord between the plug and the power supply so that this looseness doesn't happen.
4.0,"Good performance, portability, display and wifi","Good performance, portability, display and wifi"
5.0,So far...,So good. I really can't find anything to complain about except for the lack of DVD drive but the after market plug in devices are very affordable if you need one and I knew that when I bought it. I like that it's Bluetooth so I was able to connect my JBL Charge 3 to it. The speakers on the laptop are superb anyway. I use my laptop to produce videos from my Cyberlink software and have had zero issues with lag time or producing. Good product overall.
5.0,"Really great laptop, 100% buy if looking for a powerful, sleek looking and affordable laptop","I'd say the best affordable laptop out there: powerful, fast, sleek looking and perfect in every aspect. Bought the one with an ssd included, this laptop is awesome for work, couldn't be more happy."
1.0,Super low sound and stutters on 10 year old game. C'mon.,"I'm amazed how bad this machine is for the money, and for being described as a ""mid-level gamer."" The display is less sharp than my Kindle fire HD10, by a long shot. The audio is almost impossible to hear. It is slow to do everything. Here's the kicker: it is doing a terrible job running Dragon Age. Yes. It stutters on a 10 year old game. The last laptop I bought from Walmart cost me $450 and this one is not as good, except for being very thin. The form factor is nice, but the power key is in the upper right, easy to hit when using backspac nor page up. Don't buy this machine. Thanks Amazon for your great return policy!!!"
4.0,Good Computer for Your Buck,"I was nervous to buy this after the reviews were so low, but I've liked it. I don't know why everyone is complaining about it. So what if it doesn't have a backlit keyboard? I have one on my other computer, and I've permanently disabled it because it was annoying me so much. This computer is fine. I upgraded from my old laptop that was almost five years old. This computer was amazing compared to that one. It's fast and it's quiet. I use it for business purposes, like work. I also use it for Word Documents and basic web surfing. I'm assuming most people you rated this so low wanted a fancy gaming computer. This is a not a gaming computer. It's a quiet and basic computer for basic tasks. It works great for what I need it to do."
4.0,Lightweight.  Fast.  A little bit difficult to set up at first.,I've had this laptop for a couple of weeks now (not much has changed)...  Here are my pros and cons:
5.0,Solid Laptop At a Reasonable Price,"I've only had this Laptop for a little over a week so I can't speak for it's long term durability but so far it's a solid machine. I use my Laptop for Some music production (Cubase 10 paired with an Akai MPK Mini), moderate gaming on low settings (Starcraft 2), and your general social media and MS office applications and even with just 8MB of memory this guy handles everything I need like a champ.  This is my first experience with an SSD, I got the 128MB + standard storage, and I'm impressed. I'd have to wait to see its long term reliability to see if I'd buy it again, but so far so good."
3.0,Install malware and scan for viruses immediately before using,super thin - love the color - had to completely remove the operating system though - too many viruses already on the computer when received - had to get my own operating system and re- install everything
4.0,This is a great laptop that boots and is logged on in under ...,"This is a great laptop that boots and is logged on in under eight seconds (if you use the fingerprint scanner) and launches apps lightning-fast.  Battery life is four hours. Cons are that the keyboard is not back-lit, there is little key travel, there is no physical indication that caps lock is on and there is no number pad. If you don't mind those things, put some serious thought into buying this laptop."
