ratings,rev_head,revs
4.0,Good for the Price!,"I don’t write very many reviews but when spending quite a bit of money on something, I do like to try and give a good, unbiased opinion on it. I am very familiar with technology and computers as I build desktop PCs for personal and business use but I’m not quite as familiar with the world of laptops. I will try and hit each important category but they will be no particular order. First off, I would like to describe exactly what I was looking for."
4.0,Good laptop for students: Lightweight and powerful enough,I've had this laptop for a month now and it works great. It's nice and lightweight and easy to carry around on campus. I use it mainly for school and a little gaming on the side when I'm not at home. Don't expect to be playing on high settings. I only play League of Legends and Fortnite on it and it runs fine on medium or low settings. The charger is nice and light and the whole laptop is macbook-esque from the design to the charger. The only thing I wish they took from the macbook charger was the prongs to coil the wire around and the power prongs to fold in. The battery life is alright. I've used it for a whole 3 hour class and was left at 80% and charge it every other day.
5.0,Prime day deal,"Bought this on prime day for 100.00 dollars off I’ve been in desperate need of a laptop so I jumped on this deal almost immediately, I like the size very light and small but still a good size screen at 14 inches, very fast takes seconds to start up and so far all programs run fast, fluid, and smooth. I usually only game on my consoles PlayStation or Xbox but wanted to try out the power of this pc just for fun and it ran fortnite pretty good not great but good. This is my first week so I will update review through out the year to let you know how it handles on basic wear and tear of use."
4.0,Fantastic performance for the price!,"I've only had the product for a few days but I can already tell this purchase was well worth. Laptop is super light, boots quickly, and so far has handled everything I've thrown at it including some light gaming. Also received the computer and its color is not as gold as I thought it would be from the pictures which is a bonus as well."
5.0,"very good product, well done!","very light for 14inch. the combination of ssd and i7 8th core make everything you do on it superfast. I actually tested some very large excel spreadsheet processing on it after i bought it two days ago, and simply amazing, very very fast. the keyboard design is great too. i dont feel my fingers get cramped, with LED backlight very nice. the software that helps extend the longevity of the battery also works great. not too much junk software either. it comes with WPS office suites which is a great alternative to Microsoft office. the charger is small and lightweight too. very trendy look with light gold color. overall, i am extremely pleased by this product! well done!"
4.0,"Good, even great for the price but it's definitely not perfect",Purchased during Prime day for 699 and its a great deal for the specs. Like it a lot. I sold my iPad pro for this one and didnt regret much. Below are the pros and cons of the S410UN and I tried to benchmark it using my 2016 12' Macbook and iPad pro.
2.0,"Great laptop, but better value exists elsewhere","So far this is a pretty great laptop. It's replacing my Asus Zenbook, but I'm not sure the faster processor and bigger screen is that much of an improvement. The battery life seems significantly shorter than the Zenbook and the i7 processor isn't really a noticeable improvement over the i5 for my uses. If you do a lot of gaming or something I'm sure the better processor makes a difference, but if you're a student and do a lot of writing, web research, that sort of multitasking, etc, the i5 is fine. If I had to do it again, I'd probably save a little money and get the newer Zenbook. This is still a great little laptop that works fast and smooth, and really quiet so far with very little fan noise. I just thought the bigger screen and faster processor would be worth the extra money (about $50 over the Zenbook, as it's priced right now), but the added weight and shorter battery life essentially make it a wash."
5.0,Great small laptop,"I've had several laptops so far. The first ones were ""desktop replacements"". Great for power but heavy and next to nothing on battery life."
5.0,Love the Asus Vivo--Boots up in 10 seconds,"Love the Asus Vivo--Boots up in 10 seconds....Lightning fast...Color is great...Speakers very good...very light …only minus is there doesn't seem to be an indicator light when the ""caps lock"" is activated.  I give it a 5 rating...."
1.0,Do NOT buy this computer if the WARRANTY is a selling point for you!!,THREE RMAs. SAME PROBLEM. STILL NOT FIXED!!!
1.0,Died after 4 months,"I had this computer for 4 months and it completely crashed out of the blue one day. I work from home, never really move my computer it sits on my desk but I do use it a lot. It went completely black, no lights, etc. It was a motherboard issue. I understand sometimes computers have faulty parts and that's all fine but I went through Asus support and I will tell you they have the worst customer support I have ever dealt with (and I've had Time Warner Cable before so that says something)."
3.0,GLITCHY laptop,"I wish this laptop came exactly as it promises. What I've received is a glitchy laptop. Maybe this is an anomaly, so I've requested a replacement for this laptop. If I no longer encounter the glitches (stated below) in the replacement laptop, I will update this review."
4.0,Bad music production and DJ experience.,"Everything about this laptop is perfect unless your using this for music production or DJing. I really liked that laptop but when I run fruity loops studio or rekordbox, I would get static/distortion. The amount is minimal but there shouldn't be any at all for a powerful laptop. I tried everything from updating drivers, changing the buffering, and reinstall. All my music sounds like it's being played thru VNYL records with some minor distortion. If your using this laptop for anything other than DJing or music production, it is the best laptop available."
4.0,"Good computer, however battery die in 2 weeks","I really like Asus, the products are not cheap and  I used all the time, however, the new ASUS VivoBook S Thin & Light Laptop, 14"" FHD, Intel Core i7-8550..  I paid extra for two day shipment,  however, i am  disappoint,, first  power cord stop working in roughly less than 10 days, computer is okay  but unable.  what is ASUS quality ?"
5.0,Awesome,For the money I have no complaints. I wanted a laptop to do all my everyday basic tasks with no lag and  it does a decent job running csgo when I feel the need to kill some s*!t
5.0,"Read a little further to see what you are getting for an extra $100, BEFORE you order!","I returned an  ASUS ZenBook 13 Ultra-Slim Laptop, even though it was a very good computer, HOWEVER, this ASUS VivoBook S Thin & Light 14"" Laptop IS EVEN BETTER, and well worth the extra $100 it cost me.  I don't think I will be returning THIS VivoBook - never!!!  Thanks for a super nice & great performing laptop..."
5.0,Get if you enjoy a loud fan,"Seems like okay laptop,  feels cheap quality build for the price.  The only thing that bugs me is that if you run anything more demanding than netflix, then the fan will be LOUD, and the bottom heats up really quick."
4.0,Great Value!,Great Value!
1.0,Track pad is junk .... not worth the Money,"i got this on Sep 30  2018 , on Nov 22nd 2018 the track pad stopped working ."
1.0,I HATE THIS LAPTOP. Problem after problem.,"it's constantly disconnecting from the wifi, and often disables the wifi adapter on its own so I have to troubleshoot to fix it. Half the time troubleshooting doesn't work, and I lose whatever I was working on. It often takes 3 mins to restart the laptop as well, which seems strange to me."
5.0,Five Stars,"Great speed, very light, has all the bells and whistles, except for CD drive."
1.0,Brand new and already off to be repaired,"I bought this for college. 1/2 way through the first semester the battery looks to have died (according to Amazon tech help). I've had it a few months and it's already sent off to be repaired. That is absurd and beyond unacceptable. I need this for class and I'll be lucky if I can get it back within 10 business days. Amazon has been great, but i'll not be recommending Asus anytime soon."
1.0,Not worth the money you spend.,"I usually buy cheaper laptops, and this was the one time I actually spent decent money to treat myself. BIG mistake. Sound quality is poor, tracker pad BARELY works. I've only had this thing for a few months and have been very careful with it (as I've actually spent decent money on it) and it's breaking down faster than anything I've used before. Most expensive laptop I've bought, and the WORST by far."
3.0,"Good functionality, poor build","The first thing I noticed upon startup is that there is heavy discoloration all the way around the bezel whenever there is a black screen. The type of discoloration you see when you poke an LCD screen. It is not noticeable any time other than a black screen, but it is extremely distracting when watching darker videos. It appears to be caused by too much pressure around edges of the LCD. Hard to see from the photos due to the limitations of photographing an LCD screen, but you can see it in the bottom right-hand corner as well as the left side of the screen. This discoloration goes all the way around the screen but can't be seen in the photos due to reflection."
4.0,Great hardware for the price but crappy Windows 10,+good trackpad and actually recognizes gestures
4.0,Excellent Laptop with Minor Shortcomings,"I bought this laptop used on Amazon as ""Used -  Acceptable"" and it came in great condition. The scratches on the top could only really be seen at a certain angle in the light. A wrap/skin could just cover this up no problem (which is what I did)."
4.0,Worthy Laptop,"I have just a few complaints about this Laptop, but keep in mind the same comparable Laptop online will cost you $200 dollars more."
1.0,battery problem,screen quality seems pretty good. But battery hasn't worked like on and off after just several months. Screws attached started falling off just after 2 months....so cheaply made. So regret buying this for my kid who really wanted a good gaming laptop!
