ratings,rev_head,revs
5.0,~A Great Bargain for the Casual User,"I travel a lot and wanted a lightweight laptop for casual personal use e.g. watching shows on Amazon Prime/Netflix/Hulu, checking e-mail, occasional Skype, and general web browsing. I also did not want to pay an arm and a leg for one either. This 14.1 Fusion5 T90 Laptop suits me just fine!."
1.0,"Product is ""weak""; Customer service is non-existent!","I was initially pleased with this computer, but soon became disenchanted! Within a  month of using it, Windows 10, MS 365, and McAfee simply disappeared along with the ability to access wifi and  volume control. I called Microsoft several times and visited one of its stores to reinstall Windows 10, but the Fusion5 drives had also vanished. Fusion5 does not have a ""contact"" phone number (Amazon can't even reach them!) and they did not respond to ""contact"" emails on their site.  The price was right, the product is WRONG!! Purchase this computer at your risk!"
4.0,"Good for the money, easy set up","I am a broke college student and my family chrome book finally crapped the bed so I needed a cheap personal laptop to do my schooling on. At first when I opened the box I was worried about the quality because it's so light weight. Quality turns out to be great, Cortana helped me set everything up Wich I was great ful for because I am not tech savvy at all. It seems to be working great so far, fast connection and great sound. So far so good. If I run into any problems I'll be sure to update."
5.0,Well Worth the Price.,"Does exactly what I require of it. At the price ($205 at the time of my purchase) it offers far more value for the dollar than most other laptops I have seen on Amazon. The full-HD screen alone is a wonderful feature, combined with the 4gb of RAM, a USB 3.0 receiver, and relatively peppy processor (Intel Atom X5 - 1.66MHz) you have a lightweight travel laptop that I'm honestly hard-pressed to bring up a valid complaint about. One arguable blemish in design is the lack of onboard space, but that is easily remedied by way of the door on the underside of the unit, which allows one to install their own 2.5"" HDD. I personally won't be needing to do so, but it feels worth pointing out as I see other reviewers have brought up the space issue."
5.0,Nicer than expected Netbook,"This netbook has a great display, and is exactly as described by the seller.  I first tried a 128GB SSD, and this was not seen at all by the Netbook.  I removed it, and installed a 64GB SDHC card, which was also not available to the computer.  After formatting the SDHC card NTFS on my home computer, the Netbook immediately saw it and installed it as a 64GB D: drive.  I did not try pre-formatting the SSD to NTFS and trying it again."
5.0,"Fast, Lightweight....GREAT!!!","This is a wonderful, small computer.  I can take it everywhere.  It is fast, easy to setup and use and comes with all the basics.  The only thing I am just a little disappointed in is that it doesn't come with a touch screen.  That aside, it's everything I could ask for in a small laptop."
1.0,Caveat Emptor,"Poor quality, came with letter P key not working. Touch pad was tinny feeling, did not want to work on right clicking, sometimes froze. Didn't discover problems til a month after delivery, due to it being a gift for granddaughter for school use. Found issues when she went to set it up for school. Was told by seller that I could return it for a refund, so I returned it. Then they said I waited too long and refused to refund, but returned it to me. Amazon refunded it, minus a late fee. Avoid this product, poorly made."
4.0,Good quality for the price,"I am using this as an everyday laptop as a teacher because it is windows and it is handling the task with flying colors. Battery lasts for all meetings, lightweight, and relatively fast response.  The TF card slot is great for hiding files and folders to keep the screen clean and the laptop free of files."
2.0,Not 100% convinced I made a good purchase,"I bought this laptop about 2 weeks ago and have been using daily. I've been using for internet browsing, videos and typing reports."
4.0,More bang for your buck.,Ove
5.0,I can't believe what a great little laptop this is,"I can't believe what a great little laptop this is.  Very small, light.  Everything I was hoping, the charger is not a big bulky power supply either.!"
